台北國際 0.00642(238/332)	發展協會 0.0062(222/250)	外貿協會 0.005597(201/230)	同業公會 0.00535(194/274)	經濟發展 0.004335(154/1042)	科技大學 0.003539(128/370)	生物科技 0.003512(129/170)	運動中心 0.003265(125/172)	社區發展 0.002414(85/104)	南港展覽館 0.002277(82/97)	
歷史新高 0.015987(543/928)	基金經理人 0.015595(518/824)	市長參選人 0.010989(374/712)	副總統吳敦義 0.007978(263/356)	資料顯示 0.007105(233/536)	貨幣政策 0.007075(238/346)	歐洲央行 0.005811(196/212)	企業獲利 0.00557(178/251)	法人表示 0.00548(179/447)	調查結果 0.004245(142/226)	
相關單位 0.013646(459/708)	當地居民 0.006705(226/356)	週三台北 0.00445(149/610)	2014年8月 0.003857(137/796)	上午6時 0.003085(101/624)	8月21日 0.002937(97/134)	發布新聞稿 0.002522(88/180)	房祖名 0.002462(83/83)	中共海軍 0.002403(82/100)	國民黨發言人 0.002225(81/185)	
人工生殖 0.005931(197/203)	金融債 0.002649(88/122)	華山基金會 0.002619(87/109)	台北捷運 0.002409(82/288)	不孕夫妻 0.002378(80/83)	生技產業 0.002318(76/216)	捷運公司 0.001837(65/218)	沒有人 0.001806(56/320)	永續經營 0.001746(58/140)	把握機會 0.001656(57/120)	
民進黨主席 0.006295(223/598)	政治人物 0.005952(216/498)	陸委會副主委 0.004979(177/222)	參選人柯文哲 0.00495(173/540)	張顯耀 0.00495(175/192)	高雄市府 0.003491(125/212)	家庭因素 0.002919(102/102)	副主委張 0.002719(95/100)	特任副主委 0.002318(81/81)	移送調查局 0.002032(71/71)	
高雄氣爆 0.034945(2304/2368)	氣爆事件 0.019383(1281/1320)	高雄市政府 0.010999(733/1468)	氣爆意外 0.006013(398/402)	李長榮化工 0.005469(361/362)	2014年8月 0.005046(335/796)	石化氣爆 0.004684(309/310)	發生氣爆 0.004397(291/302)	高雄發生 0.004155(275/278)	氣爆傷亡 0.00414(274/274)	
媒體報導 0.01256(417/830)	業者表示 0.004855(150/346)	大考中心 0.00188(60/60)	嘉義市長 0.001848(57/106)	董氏基金會 0.001786(56/92)	空氣汙染 0.001629(55/64)	大漲 0.001598(48/130)	緊急應變 0.001566(48/130)	事件發生 0.001535(57/300)	7月19日 0.001535(43/108)	
新北市 0.029496(1482/2388)	新北市長 0.02427(1204/1236)	市長朱立倫 0.01961(967/1004)	訪台 0.015676(773/858)	市長陳菊 0.00918(455/884)	召開記者會 0.00688(340/822)	大陸國台辦 0.006739(338/628)	陸委會主委 0.00573(282/396)	張志軍訪 0.00571(280/370)	主委王郁琦 0.005609(274/390)	
基隆市長 0.012026(475/789)	參選基隆 0.005697(225/225)	市長選舉 0.00357(146/299)	黨中央 0.003368(133/490)	議長黃景泰 0.003216(130/384)	諮詢委員 0.003038(121/144)	國民黨基隆 0.002988(118/118)	市長參選人 0.002963(122/712)	國安會諮詢 0.00276(109/109)	委員謝立功 0.002456(97/97)	
今天說 0.008172(273/628)	共同決定 0.00343(115/135)	人民決定 0.002833(98/115)	國安會秘書長 0.002833(99/180)	國台辦發言人 0.002535(85/133)	公共建設 0.002148(76/258)	台灣未來 0.001909(58/194)	包括台灣 0.001909(61/176)	發言人范麗青 0.001879(66/103)	國家發展 0.001849(63/208)	
馬政府 0.007818(244/612)	103年6月 0.005028(176/604)	活動期間 0.004446(139/322)	為例 0.00374(115/836)	人數為 0.003281(106/136)	工作人員 0.003035(98/512)	產業園區 0.002943(96/180)	環保團體 0.002484(83/136)	彰南產業 0.00233(76/76)	求職者 0.002085(68/264)	
幸福人壽 0.00536(187/187)	新聞專輯 0.005217(184/388)	國寶人壽 0.004586(162/295)	考試委員 0.003325(115/247)	開罰 0.002379(82/208)	中央公園 0.002293(80/200)	環保局表示 0.002265(73/154)	巴西世界盃 0.002121(70/100)	空品淨化區 0.002007(70/70)	勒令停工 0.001949(68/70)	
新興市場 0.022748(829/942)	行動裝置 0.006059(222/422)	台灣經濟 0.004214(149/728)	發言人陳以信 0.003388(132/285)	地緣政治 0.003277(115/218)	外銷訂單 0.00314(114/118)	市場債 0.002424(88/88)	記者會表示 0.002258(78/210)	中元普渡 0.002258(86/114)	搶市 0.001983(71/151)	
黨中央 0.005278(176/490)	營收達 0.002899(97/239)	商業營業額 0.002899(94/99)	共同管道 0.002654(86/125)	人士指出 0.002441(78/370)	在野大聯盟 0.002319(79/211)	創下歷年 0.002227(75/94)	舉行記者會 0.002105(68/308)	月正成長 0.002075(68/95)	密切聯繫 0.001953(68/111)	
新北市 0.011248(388/2388)	交通部觀光局 0.003592(121/300)	石化產業 0.003592(132/321)	房仲業者 0.003286(120/216)	生活機能 0.002896(100/184)	台灣觀光 0.002757(102/266)	世界遺產 0.002506(90/90)	風景區管理處 0.002061(76/110)	雲嘉南 0.001866(64/88)	永慶房產 0.00181(65/65)	
國家公園 0.011126(367/484)	系列活動 0.003391(116/226)	公共建設 0.003005(103/258)	森林公園 0.002945(98/152)	新台幣兌 0.002797(81/259)	防空飛彈 0.002707(92/115)	台北外匯 0.002261(76/76)	無障礙 0.002231(72/150)	公園管理處 0.002231(72/94)	議員參選人 0.002112(68/121)	
新藥 0.013253(442/454)	大陸市場 0.008744(281/674)	氣候變遷 0.007141(237/360)	生物多樣性 0.005114(172/248)	永續發展 0.005083(170/262)	企業社會 0.003752(122/220)	金酒公司 0.003359(111/116)	金酒廈門 0.002572(85/85)	廈門公司 0.002512(83/83)	市場規模 0.002391(78/170)	
中央氣象局 0.012117(604/604)	短暫陣雨 0.011475(572/572)	氣象局表示 0.007924(395/395)	提醒民眾 0.007844(390/426)	午後雷陣雨 0.00668(333/335)	國是會議 0.00644(314/468)	太平洋高壓 0.006179(308/308)	經貿國是 0.005898(294/440)	瞬間大雨 0.005396(269/269)	外圍環流 0.005376(269/269)	
創下歷史 0.003867(132/248)	資料顯示 0.002741(97/536)	值得注意 0.002222(86/376)	工業電腦 0.002136(78/143)	節約能源 0.002107(73/73)	主任徐佳馨 0.002107(76/81)	年成長 0.001991(68/157)	國關係 0.001962(67/174)	登錄興櫃 0.001905(66/111)	今天報導 0.001789(66/244)	
台獨黨綱 0.01313(486/491)	高雄市長 0.0113(430/772)	市長賴清德 0.010062(373/388)	主席蔡英文 0.009901(367/566)	支持者 0.008879(336/526)	台南市長 0.007937(296/298)	總統大選 0.007157(275/460)	服貿協議 0.005516(211/822)	凍結台獨 0.004951(184/187)	兩岸政策 0.004843(184/215)	
社會住宅 0.012633(439/792)	市場需求 0.005297(185/440)	電子商務 0.00524(180/722)	文教基金會 0.003796(134/284)	彰化縣長 0.003428(121/174)	縣長卓伯源 0.003314(118/134)	現金股利 0.003258(120/282)	彰化縣政府 0.003116(110/220)	回饋社會 0.003059(113/190)	國際社會 0.002974(108/252)	
103年7月 0.012313(442/586)	公路總局 0.008641(308/324)	當地時間 0.00449(160/250)	投資金額 0.002768(100/252)	弱勢團體 0.002598(89/140)	客家文化 0.00257(88/254)	8月27日 0.002259(84/146)	台東縣政府 0.00209(70/110)	選舉委員會 0.002033(72/140)	台資企業 0.001977(69/156)	
台北市長參選人 0.013789(455/1282)	2014年7月 0.012965(416/760)	統一渡假村 0.006254(205/205)	縣長參選人 0.005766(193/253)	鹿港文創 0.004851(159/159)	創會館 0.004607(151/151)	月餅禮盒 0.004546(150/162)	蛋黃酥 0.003081(102/117)	資產配置 0.002593(87/152)	6月30日 0.002075(76/252)	
合併營收 0.012872(446/1277)	103年8月 0.012786(447/580)	103年6月 0.010171(339/604)	區域經濟 0.009166(319/394)	夥伴協定 0.007384(257/257)	經濟整合 0.004942(179/303)	跨太平洋 0.004827(168/168)	交換意見 0.004597(166/358)	經濟夥伴 0.004224(148/149)	經濟合作 0.004166(141/480)	
7月1日 0.007365(236/602)	資本市場 0.005672(192/343)	搭車 0.004692(154/292)	櫃買中心 0.004544(154/209)	報告指出 0.004514(163/344)	送禮 0.002911(99/190)	主題樂園 0.002911(102/132)	全家便利商店 0.002465(89/126)	中心表示 0.002346(74/148)	喜憨兒 0.002198(74/74)	
臉書 0.021145(692/1060)	今天表示 0.016379(531/1074)	新產品 0.007119(229/521)	下午4時 0.006968(230/536)	人士說 0.005068(172/238)	中心主任 0.004314(148/414)	太陽花 0.003982(138/416)	花學運 0.00368(123/382)	雲端服務 0.003469(119/176)	成為全球 0.002986(100/246)	
作業系統 0.003235(111/167)	社福團體 0.003146(109/218)	一段時間 0.002998(100/334)	台灣彩券 0.002849(97/101)	彩券公司 0.001811(61/65)	人民銀行 0.001543(54/139)	桃園機場 0.001543(57/370)	中正紀念堂 0.001454(49/92)	公開發行 0.001454(50/55)	補充水分 0.001395(47/310)	
自由經濟 0.015492(535/770)	經濟示範區 0.014248(483/708)	特別條例 0.004918(172/392)	示範區特別 0.003851(129/296)	資源回收 0.003644(120/238)	台灣前途 0.002874(100/264)	解決問題 0.002755(91/356)	7月31日 0.002607(92/288)	小股東 0.002163(77/202)	社保基金 0.002133(75/82)	
財團法人 0.006211(201/290)	都市計畫 0.004536(146/444)	購物中心 0.003927(136/358)	管理委員會 0.00344(112/188)	美國市場 0.002771(93/133)	達人 0.00271(87/414)	監督管理 0.002679(88/108)	營養午餐 0.002558(82/158)	國民黨中常會 0.002527(83/204)	再生能源 0.002436(86/444)	
戶政事務所 0.005619(195/200)	河靜鋼鐵 0.003707(128/128)	7月1日 0.00336(121/602)	台塑集團 0.002925(98/292)	機會獲得 0.002491(86/120)	中心主任 0.002404(85/414)	抽獎活動 0.002288(80/122)	便民服務 0.00197(68/84)	水上樂園 0.001709(51/93)	出生登記 0.001535(53/53)	
中國大陸 0.068733(3921/4584)	國家主席 0.010827(622/624)	大陸國家 0.010445(606/634)	主席習 0.006343(357/484)	翠玉白菜 0.005909(340/346)	美國總統 0.005857(340/462)	故宮博物院 0.00544(312/316)	國立故宮 0.004918(283/285)	總統歐巴馬 0.004814(271/400)	總統朴槿惠 0.00365(209/228)	
中華電信 0.026235(1046/1046)	年增 0.007018(283/694)	台灣大 0.005157(206/214)	為例 0.005031(208/836)	新車 0.004981(206/358)	台灣大哥大 0.004955(198/198)	集團旗下 0.004628(182/382)	大股東 0.003874(151/356)	市場預期 0.003597(142/358)	遠傳電信 0.003572(141/182)	
家扶中心 0.010353(342/353)	主辦單位 0.008783(292/532)	官員說 0.003441(115/324)	加密手機 0.003169(105/105)	下午3時 0.001962(66/246)	通過環評 0.001872(60/94)	航空城捷運 0.00166(55/55)	特種部隊 0.00157(55/90)	日租套房 0.001419(47/47)	審慎樂觀 0.001419(48/148)	
環境影響 0.003253(114/160)	開發單位 0.002817(96/122)	總統大選 0.002091(66/460)	分離主義 0.001917(63/179)	水污染 0.001859(57/90)	影響評估 0.001801(64/152)	環保局表示 0.001655(59/154)	污染防治 0.001655(64/94)	洽詢電話 0.001597(52/302)	跨領域 0.001568(56/98)	
弱勢家庭 0.004259(128/316)	電力公司 0.003264(103/152)	慈善基金會 0.002052(64/255)	台灣產業 0.001803(58/228)	高收益債 0.001679(55/144)	詐騙集團 0.001648(53/76)	大陸地區 0.001648(51/226)	副主委張顯耀 0.001586(51/149)	環境教育 0.00143(44/160)	績效獎金 0.001399(44/65)	
