郝龍斌 0.038743(1269/1432)	台北市長郝 0.011239(374/440)	今天上午 0.006305(189/430)	台北市政府 0.005909(195/372)	影像較少 0.005117(170/498)	龍斌說 0.004173(136/140)	器官捐贈 0.00399(131/131)	龍斌表示 0.003716(122/122)	台灣民眾 0.003412(112/560)	中央銀行 0.002528(86/188)	
基金經理人 0.01643(682/824)	企業獲利 0.005861(240/251)	法人表示 0.005272(212/447)	貨幣政策 0.00515(211/346)	資料顯示 0.004463(184/536)	歐洲央行 0.004439(176/212)	地緣政治 0.004193(170/218)	經濟數據 0.003924(158/206)	國營事業 0.003507(144/210)	全球股市 0.003164(121/159)	
來台 0.047458(2423/2678)	兩岸關係 0.029119(1485/1526)	國台辦主任 0.015767(804/968)	主任張志軍 0.014962(764/954)	台灣民眾 0.007913(397/560)	和平發展 0.007422(376/390)	大陸國台辦 0.00595(304/628)	經濟發展 0.005439(281/1042)	兩岸經濟 0.004202(214/280)	陸客來 0.004182(213/216)	
馬英九總統 0.009869(297/714)	勞動部 0.005048(160/460)	國際機場 0.004077(133/308)	企業社會 0.003916(114/220)	小股東 0.002783(81/202)	社會責任 0.002427(72/338)	南山人壽 0.002201(66/126)	河野談話 0.002201(68/68)	新創公司 0.001974(61/84)	交通工具 0.001748(48/144)	
新北市 0.023334(1051/2388)	合宜住宅 0.020821(935/944)	八德合宜 0.005984(269/269)	社會住宅 0.005739(266/792)	副縣長 0.005272(243/562)	涉貪 0.00505(221/343)	桃園縣政府 0.004872(215/354)	營建署長 0.004605(207/207)	遠雄集團 0.004516(203/203)	住宅政策 0.004338(191/286)	
新北市長 0.026849(1107/1236)	市長朱立倫 0.021758(888/1004)	新北市 0.017964(731/2388)	訪台 0.017475(708/858)	市長陳菊 0.010989(466/884)	市長胡志強 0.009325(377/654)	召開記者會 0.008787(348/822)	大陸國台辦 0.00744(297/628)	台中市長 0.006266(250/622)	國家安全 0.005996(243/422)	
標準時間 0.069474(3455/3482)	台北標準 0.069434(3451/3480)	時間下午 0.035269(1758/1758)	時間上午 0.026582(1327/1782)	新鮮事 0.026562(1324/1324)	天下新鮮 0.026241(1308/1308)	2014年6月 0.017293(848/920)	中央社2014年 0.017133(849/854)	週四台北 0.015929(793/804)	達志影像 0.015869(788/828)	
12年國教 0.010375(387/404)	十二年國教 0.009364(352/352)	免試入學 0.007315(275/275)	民進黨主席 0.005374(206/598)	政治人物 0.005028(189/498)	參選人柯文哲 0.004629(174/540)	特色招生 0.004443(167/167)	基北區 0.002847(107/107)	老爺酒店 0.00274(102/128)	志願序 0.002714(102/129)	
服貿協議 0.005112(167/822)	主委曾銘宗 0.00508(168/226)	金管會主委 0.005049(167/230)	教育訓練 0.002241(74/118)	俄羅斯總統 0.002209(70/114)	頒獎典禮 0.001957(66/172)	兩岸服貿 0.001925(59/293)	差別收費 0.001578(52/61)	集會遊行 0.001483(44/103)	中國公司 0.001483(47/47)	
新興市場 0.01178(372/942)	搶市 0.003095(99/151)	送禮 0.002432(76/190)	8月21日 0.002306(73/134)	空品淨化區 0.002211(70/70)	今天宣布 0.002116(66/202)	健康管理 0.00199(63/98)	品牌形象 0.001674(52/114)	台灣市場 0.001611(55/286)	跨部會 0.001611(50/132)	
高雄氣爆 0.036276(2298/2368)	氣爆事件 0.02021(1281/1320)	高雄市政府 0.018225(1153/1468)	2014年8月 0.007955(495/796)	氣爆意外 0.006317(400/402)	李長榮化工 0.005702(362/362)	石化氣爆 0.004852(309/310)	發生氣爆 0.004521(281/302)	氣爆傷亡 0.004316(274/274)	專輯轟街 0.004064(258/258)	
鐵路電氣化 0.008263(310/310)	花東鐵路 0.007862(294/294)	普悠瑪號 0.007648(286/286)	到台東 0.004172(156/192)	台灣市場 0.003209(111/286)	普悠瑪列車 0.003075(115/115)	加油打氣 0.002407(90/192)	弱勢團體 0.002353(86/140)	台北到 0.002166(84/104)	7月16日 0.002113(83/114)	
