消息人士 0.00721(222/378)	馬術治療 0.002251(69/69)	相關訊息 0.001892(59/178)	人士透露 0.001827(56/190)	新興亞洲 0.001795(58/110)	財務狀況 0.001762(49/114)	中國政府 0.001631(50/282)	捷運局長 0.001599(48/66)	沒有辦法 0.001566(49/244)	輕鬆完成 0.001566(47/54)	
行政院長江 0.016616(564/728)	長江宜樺 0.0147(511/702)	民進黨立委 0.013985(485/734)	江宜樺 0.00715(250/300)	醫師柯文哲 0.00675(233/264)	台大醫師 0.006035(214/236)	柯文哲說 0.00469(165/334)	柯文哲表示 0.004519(158/166)	高速公路 0.004462(152/264)	媒體詢問 0.003518(131/280)	
都市計畫 0.004356(143/444)	天氣熱 0.00248(79/108)	房祖名 0.002321(72/83)	創歷史 0.002067(68/376)	調查報告 0.001971(63/242)	基礎建設 0.001876(55/262)	大陸地區 0.001717(63/226)	警方表示 0.001685(54/132)	爆料 0.001622(50/130)	兩岸金融 0.001558(48/67)	
中國大陸 0.042991(2786/4584)	來台 0.027374(1776/2678)	兩岸關係 0.022958(1496/1526)	國台辦主任 0.013371(864/968)	主任張志軍 0.012787(837/954)	台灣民眾 0.006216(413/560)	和平發展 0.005878(384/390)	大陸國台辦 0.005663(373/628)	自由貿易 0.005386(353/474)	經濟發展 0.005232(353/1042)	
馬英九總統 0.009241(281/714)	資本市場 0.004687(136/343)	103年6月 0.004324(132/604)	宣布參選 0.003532(109/273)	工作人員 0.003202(93/512)	人數為 0.00307(91/136)	櫃買中心 0.003037(93/209)	台北市民 0.002409(73/150)	執行力 0.002343(63/170)	太陽花學運 0.002046(61/75)	
民進黨主席 0.010054(293/598)	政治人物 0.009062(271/498)	參選人柯文哲 0.006258(192/540)	觀光旅遊 0.003899(114/342)	歡迎民眾 0.003625(103/204)	應用程式 0.003386(103/186)	經濟部工業局 0.003283(99/216)	中國領空 0.003078(90/90)	競選辦公室 0.002599(80/181)	開發商 0.002462(67/186)	
黨中央 0.006832(212/490)	競選總幹事 0.005599(176/188)	在野大聯盟 0.005377(172/211)	新竹縣長 0.001898(57/96)	到台灣 0.001898(60/276)	台北市長參選人 0.00174(58/1282)	聲明指出 0.00174(50/184)	嘉義市長 0.001677(55/106)	柯文哲競選 0.001613(50/108)	前副總統呂秀蓮 0.001582(51/67)	
台灣省政府 0.003077(90/102)	今天報導 0.002975(86/244)	派人 0.002838(79/162)	國關係 0.002428(69/174)	小股東 0.002359(69/202)	永續發展 0.002291(64/262)	金屬中心 0.001881(56/65)	慈善基金會 0.001812(56/255)	錢林慧君 0.001676(49/62)	今年6月 0.001641(41/328)	
消費滿 0.004215(128/248)	經濟對話 0.004215(129/149)	電信業者 0.00347(102/284)	高架化 0.003081(94/131)	中共海軍 0.002724(83/100)	中美戰略 0.002724(84/101)	鐵路高架 0.002594(83/97)	汽車旅館 0.002562(79/86)	美國國務卿 0.002108(66/250)	地方人士 0.001978(62/158)	
國際社會 0.004632(146/252)	季財報 0.002907(89/162)	今年2月 0.002716(87/266)	大股東 0.002428(73/356)	信義房屋 0.002205(65/151)	新創公司 0.002141(69/84)	選舉結果 0.002141(65/85)	金額為 0.002109(68/182)	投資公司 0.002045(64/142)	開發銀行 0.001949(60/119)	
金管會主委 0.006706(225/230)	主委曾銘宗 0.006676(223/226)	再生能源 0.006556(216/444)	服貿協議 0.004902(166/822)	貿易協議 0.00418(140/339)	服務貿易 0.003909(130/313)	曾銘宗表示 0.003067(102/102)	主辦單位 0.002767(91/532)	8月1日 0.002406(78/438)	目前台灣 0.002346(79/224)	
好戰分子 0.004312(165/165)	官員表示 0.003628(140/444)	美國總統 0.002524(101/462)	美國官員 0.002498(97/136)	總統歐巴馬 0.002498(92/400)	亞太電信 0.002471(94/223)	安全部隊 0.00234(87/89)	好戰份子 0.001972(76/80)	聖戰士 0.001946(74/111)	蘋果公司 0.001867(67/117)	
台灣市場 0.004071(127/286)	遠雄建設 0.003846(121/146)	遠雄集團 0.002917(90/203)	前立委顏清標 0.002725(85/90)	下午5時 0.002564(72/530)	清算行 0.0025(78/78)	預估值 0.002308(77/183)	董事長趙藤雄 0.002212(63/168)	今年3月 0.002084(68/370)	手機遊戲 0.002051(65/122)	
大陸國家 0.007927(326/634)	主席習 0.007927(343/484)	國家主席 0.006426(275/624)	總統朴槿惠 0.004972(217/228)	南韓總統 0.00401(174/186)	中國大陸 0.003705(170/4584)	中國國家 0.003565(153/206)	聯合聲明 0.00204(87/89)	日本首相 0.001923(85/204)	選舉委員會 0.0019(78/140)	
馬總統 0.004967(153/2302)	就職典禮 0.003129(97/176)	資源回收 0.003097(99/238)	季獲利 0.002839(85/202)	新任總統 0.002645(81/140)	總統馬英九 0.002194(72/1040)	7月3日 0.002194(64/140)	友邦薩爾瓦多 0.001742(54/54)	中美洲友邦 0.001677(51/52)	興誼專案 0.001677(52/54)	
新北市長 0.025986(1195/1236)	新北市 0.023961(1104/2388)	市長朱立倫 0.020955(963/1004)	訪台 0.013287(606/858)	市長陳菊 0.011109(503/884)	召開記者會 0.008147(363/822)	市長胡志強 0.00806(381/654)	災害應變 0.006818(314/384)	台中市長 0.005751(272/622)	大陸國台辦 0.005664(255/628)	
媒體報導 0.003434(89/830)	市場競爭 0.002301(69/112)	工程進度 0.001867(55/83)	停班停課 0.001801(54/54)	特別條例 0.001734(48/392)	救人 0.001667(51/190)	調查發現 0.001634(37/210)	研究報告 0.001634(48/106)	學生們 0.001634(52/176)	王女士 0.001534(46/46)	
今天表示 0.019105(550/1074)	太陽花 0.008728(249/416)	花學運 0.008247(236/382)	行政院發言人 0.004261(126/224)	發言人孫立群 0.004192(128/262)	國民黨中央 0.00378(107/184)	政務委員 0.003162(94/222)	台灣國際 0.003058(89/200)	前總統李登輝 0.002474(69/83)	發生嚴重 0.002371(71/162)	
通訊軟體 0.005275(165/188)	營收為 0.00429(129/321)	新台幣兌 0.002828(88/259)	台北外匯 0.002415(76/76)	外匯市場 0.002383(73/97)	今天開盤價 0.002097(66/66)	總統選舉 0.002066(65/93)	經紀公司 0.001939(60/94)	舉行總統 0.001939(62/83)	外匯交易員 0.00178(56/56)	
8月1日 0.005087(146/438)	黃埔建軍 0.004986(147/148)	壽險公司 0.00475(145/273)	主席習 0.004279(126/484)	陸委會主委 0.004077(121/396)	主委王郁琦 0.004009(117/390)	人士指出 0.003504(109/370)	海外投資 0.002662(78/167)	知情人士 0.002055(62/176)	中國主權 0.001853(54/57)	
市場需求 0.005235(168/440)	今年3月 0.003372(101/370)	國防部長嚴明 0.002762(82/141)	營收可望 0.002537(77/209)	業績成長 0.002312(71/230)	營收比重 0.002312(68/168)	永續經營 0.002056(65/140)	颱風來襲 0.001959(59/92)	營業利益 0.001927(57/152)	融資餘額 0.001863(59/114)	
合併營收 0.027457(922/1277)	季合併 0.005353(176/341)	今天下午 0.004511(147/406)	年增 0.004451(141/694)	營收新台幣 0.004271(138/173)	法人預期 0.003549(117/190)	固態硬碟 0.002496(84/133)	6月合併 0.002496(80/145)	歸屬母公司 0.002226(74/74)	法人表示 0.002135(70/447)	
科技大學 0.009611(281/370)	經濟發展 0.005233(163/1042)	行動裝置 0.005003(149/422)	防空飛彈 0.003127(97/115)	同業公會 0.003028(89/274)	產學合作 0.002535(75/158)	大企業 0.002205(62/174)	中共中央 0.002041(59/272)	公會理事長 0.002041(68/272)	就業市場 0.001942(59/150)	
大股東 0.006139(193/356)	產業發展 0.00371(107/754)	報導指出 0.003545(120/498)	賴市長 0.003053(95/120)	台南市政府 0.002725(86/206)	資產配置 0.002659(78/152)	商業銀行 0.002561(81/157)	金融服務 0.002495(80/172)	相關問題 0.002167(71/116)	市長賴清德 0.002134(56/388)	
石化管線 0.012934(528/528)	石化專區 0.012787(522/522)	市長參選人 0.006467(268/712)	石化產業 0.003871(151/321)	地方政府 0.00316(123/1190)	經濟部長杜紫軍 0.002964(119/134)	高雄市政府 0.002842(130/1468)	審議委員會 0.002597(110/290)	民調結果 0.002572(102/326)	高雄氣爆 0.002499(95/2368)	
台北國際 0.005431(157/332)	台灣高鐵 0.005174(162/252)	開發單位 0.002925(90/122)	高鐵公司 0.002732(84/168)	主管機關 0.002314(66/1112)	自然生態 0.00225(68/138)	移轉訂價 0.002057(64/64)	生物科技 0.001864(60/170)	營養午餐 0.001704(52/158)	違規項目 0.001704(53/53)	
台中市長 0.006957(232/622)	代表處 0.006219(201/286)	弱勢族群 0.003571(123/240)	現金股利 0.003571(116/282)	立法院長王金平 0.00354(120/308)	社會福利 0.00351(118/286)	胡市長 0.003356(111/161)	解決問題 0.002863(96/356)	達成共識 0.002863(89/202)	事件發生 0.002648(82/300)	
季營收 0.016303(935/943)	智慧型手機 0.008073(464/1126)	季成長 0.007166(414/430)	法人預估 0.005754(326/342)	合併營收 0.005719(316/1277)	供應鏈 0.004882(269/584)	平板電腦 0.004098(230/636)	創歷史 0.004028(227/376)	資本支出 0.003609(211/305)	歷史新高 0.003383(204/928)	
統一渡假村 0.006729(201/205)	鹿港文創 0.005323(159/159)	議長黃景泰 0.005055(147/384)	創會館 0.005055(151/151)	媒體訪問 0.005021(148/222)	字頭 0.004519(138/188)	接受媒體 0.004385(129/314)	新台幣兌 0.003883(116/259)	市長選舉 0.003749(118/299)	股份有限公司 0.003147(95/288)	
相關單位 0.013621(437/708)	氣候變遷 0.007964(252/360)	當地居民 0.007838(264/356)	生物多樣性 0.007142(224/248)	成為台灣 0.002465(78/226)	體驗活動 0.002086(62/232)	海峽兩岸 0.002086(69/350)	事故發生 0.00196(55/122)	集團旗下 0.001896(68/382)	山坡地住宅 0.001833(58/58)	
運動中心 0.003935(124/172)	捷運公司 0.003775(117/218)	台北捷運 0.003487(108/288)	救難人員 0.002592(77/106)	募款晚會 0.0024(75/75)	回饋金 0.002304(70/136)	和平電廠 0.00224(69/70)	台北市政府 0.002144(63/372)	托育資源 0.002112(66/83)	事件發生 0.001856(62/300)	
彰化縣政府 0.003152(96/220)	報名參加 0.002664(83/224)	副縣長 0.0026(82/562)	回饋社會 0.002242(71/190)	吳副總統 0.00208(62/82)	主辦單位 0.002047(71/532)	縣長卓伯源 0.001852(57/134)	旅行業者 0.001852(56/138)	大陸組團社 0.00182(54/86)	回應表示 0.001787(62/146)	
人力銀行 0.009558(296/324)	應變中心 0.00856(261/470)	主辦單位 0.008013(249/532)	主計總處 0.006469(202/372)	行政院長江宜樺 0.003894(124/196)	調查顯示 0.003798(115/290)	社會新鮮人 0.00309(99/144)	台北市議員 0.002414(81/208)	官員指出 0.002382(75/162)	小跌 0.002349(76/180)	
台北市長參選人 0.021636(700/1282)	經濟發展 0.006472(206/1042)	台灣人民 0.005315(168/464)	網路簡訊 0.004534(146/146)	民主法治 0.004252(137/149)	總統說 0.004127(131/350)	參選人柯文哲 0.00344(109/540)	求職者 0.003314(107/264)	兩岸人民 0.002939(98/194)	總統表示 0.002814(96/240)	
幸福人壽 0.006044(187/187)	國寶人壽 0.005365(168/295)	金融海嘯 0.00362(111/272)	女王頭 0.003555(110/110)	上午11時 0.002812(89/404)	生技產業 0.002489(78/216)	大陸政府 0.002424(76/234)	競爭激烈 0.002166(73/186)	接管國寶 0.001778(55/55)	立院黨團 0.001616(45/134)	
地方政府 0.024819(916/1190)	社會住宅 0.021343(792/792)	合宜住宅 0.016007(606/944)	新北市 0.014363(537/2388)	住宅政策 0.00636(235/286)	北市政府 0.004527(169/188)	租金補貼 0.004123(154/222)	副縣長 0.003854(145/562)	營建署長 0.003557(131/207)	高房價 0.003369(130/164)	
重大新聞 0.010347(332/332)	推播通知 0.010316(332/332)	通知快 0.010285(330/330)	快下載 0.010285(330/330)	人工生殖 0.006171(199/203)	感染者 0.004519(141/150)	報導指出 0.003366(101/498)	高市府 0.003055(102/336)	愛滋感染 0.002774(89/89)	疾病管制 0.002681(86/86)	
解決方案 0.005704(169/466)	太陽光電 0.004664(139/174)	國際市場 0.003188(92/254)	季營運 0.002986(89/237)	預計今年 0.002785(83/280)	今年度 0.002651(83/268)	8月8日 0.002517(64/140)	綠建築 0.002483(80/196)	未來發展 0.002315(68/246)	無線充電 0.002181(65/127)	
