發言人孫立群 0.005697(171/262)	行政院發言人 0.005046(152/224)	作戰區 0.004102(126/126)	公共建設 0.003581(116/258)	政務委員 0.003386(109/222)	雲端服務 0.003288(96/176)	青年顧問團 0.003093(95/95)	孫立群表示 0.002735(83/96)	投入救援 0.002637(80/90)	議員參選人 0.002572(86/121)	
基本工資 0.021752(688/700)	主管機關 0.015429(493/1112)	物價指數 0.006292(196/292)	工資審議 0.005944(188/188)	消費者物價 0.00528(164/226)	股份有限公司 0.005059(148/288)	太陽光電 0.004521(139/174)	審議委員會 0.003257(104/290)	電子產品 0.002814(90/234)	基層員工 0.002814(89/95)	
環境影響 0.003209(101/160)	為目標 0.002751(91/178)	身心障礙 0.001932(62/520)	自然生態 0.001867(58/138)	影響評估 0.001801(53/152)	主管機關 0.001769(49/1112)	福利基金會 0.001703(52/120)	自動監測 0.001638(50/54)	委員會主席 0.001638(50/96)	財政健全 0.001572(49/126)	
訪台 0.003316(95/858)	吸引民眾 0.002399(67/90)	人工生殖 0.002399(66/203)	旺旺集團 0.002293(65/82)	發生嚴重 0.002258(67/162)	透天別墅 0.001658(48/52)	來台灣 0.001588(48/286)	8月20日 0.001588(49/200)	造成嚴重 0.001552(47/196)	羊膜穿刺 0.001552(44/44)	
自由經濟 0.015156(526/770)	經濟示範區 0.013669(475/708)	台獨黨綱 0.006549(219/491)	特別條例 0.006148(219/392)	示範區特別 0.004719(168/296)	影像較少 0.004175(158/498)	台灣高鐵 0.004032(143/252)	成為台灣 0.003575(138/226)	台灣前途 0.003403(122/264)	解決問題 0.002803(109/356)	
解決方案 0.005569(170/466)	新竹米粉 0.003547(107/109)	國際市場 0.003381(101/254)	經濟部長張家祝 0.00305(91/318)	季營運 0.00295(89/237)	達志2014年 0.002917(87/258)	學生們 0.002752(87/176)	未來發展 0.002486(79/246)	旗魚酥 0.002188(66/66)	月餅禮盒 0.002055(61/162)	
今天說 0.004503(137/628)	去年10月 0.003343(90/148)	綠建築 0.002934(85/196)	今年10月 0.002695(78/126)	十二年國教 0.00232(64/352)	苗栗縣政府 0.002252(71/126)	經濟部長張家祝 0.001877(57/318)	日前表示 0.001877(57/94)	雙邊關係 0.001808(54/126)	颱風外圍 0.001774(52/137)	
103年6月 0.012215(355/604)	交換意見 0.004151(119/358)	分離主義 0.003539(107/179)	彰化縣政府 0.003403(101/220)	回饋社會 0.00262(79/190)	陸委會副主委 0.002586(78/222)	報名參加 0.002518(73/224)	副縣長 0.002314(73/562)	開發商 0.00228(61/186)	張顯耀 0.002246(64/192)	
外銷訂單 0.003938(114/118)	官員說 0.003904(109/324)	主辦單位 0.003489(100/532)	供民眾 0.002453(71/188)	亞洲市場 0.002177(65/132)	不少人 0.002142(71/226)	開放民眾 0.001866(55/178)	徵才活動 0.001797(46/124)	海外生產 0.001797(52/61)	捷運局長 0.001728(49/66)	
強陣風 0.005295(156/311)	環境保護 0.00451(135/274)	社會福利 0.003553(103/286)	施工單位 0.002938(93/120)	提出申請 0.002084(54/196)	事件發生 0.001811(48/300)	員工加薪 0.001811(54/130)	6月18日 0.001674(48/100)	進行相關 0.00164(48/96)	今年五月 0.00164(49/104)	
經濟發展 0.008462(269/1042)	戶政事務所 0.006266(192/200)	7月1日 0.004167(130/602)	台灣民眾 0.003553(115/560)	台灣省政府 0.002907(89/102)	7月31日 0.002842(83/288)	兩岸經濟 0.002455(74/280)	受到影響 0.00239(66/282)	出生登記 0.001712(53/53)	新推出 0.001647(47/86)	
鐵路電氣化 0.009478(310/310)	花東鐵路 0.008989(294/294)	普悠瑪號 0.008745(286/286)	台北股市 0.007827(254/355)	股市今天 0.006299(205/247)	到台東 0.004801(157/192)	成交金額 0.003578(114/456)	普悠瑪列車 0.003516(115/115)	當地居民 0.002905(106/356)	台股今天 0.002844(93/146)	
工商協進會 0.002744(78/94)	登錄興櫃 0.002676(78/111)	7月15日 0.002127(59/172)	金融業者 0.001853(55/66)	聯華食品 0.001647(48/50)	上班上課 0.001441(41/146)	協進會理事長 0.001441(42/44)	度過難關 0.001407(39/96)	人士認為 0.001407(36/130)	受訪者 0.001372(39/294)	
高雄氣爆 0.037957(2299/2368)	氣爆事件 0.02115(1275/1320)	高雄市政府 0.014034(853/1468)	高雄市長 0.008932(552/772)	2014年8月 0.008222(475/796)	氣爆意外 0.006604(400/402)	李長榮化工 0.00596(362/362)	市長陳菊 0.005465(326/884)	石化氣爆 0.005118(310/310)	主席蔡英文 0.00459(280/566)	
新鮮事 0.022105(689/1324)	天下新鮮 0.021911(681/1308)	國家公園 0.009386(291/484)	市場需求 0.007379(227/440)	復興航空 0.005729(174/668)	人士說 0.005179(162/238)	下午5時 0.00479(151/530)	今年3月 0.003463(102/370)	大陸市場 0.003302(103/674)	安全衛生 0.002946(90/120)	
公路總局 0.009455(284/324)	黨中央 0.006017(182/490)	在野大聯盟 0.002579(78/211)	工務段 0.002017(60/61)	警方表示 0.001984(54/132)	報告顯示 0.001984(60/150)	遊樂設施 0.001984(57/83)	新創公司 0.001785(53/84)	希望政府 0.001719(44/108)	環境教育 0.001653(54/160)	
中華電信 0.016015(509/1046)	台灣人民 0.006531(205/464)	經濟發展 0.006468(212/1042)	金融機構 0.005225(164/352)	集團旗下 0.005007(148/382)	公司董事長 0.005007(161/320)	中國人民 0.004478(146/334)	民主法治 0.004261(138/149)	科技公司 0.003981(133/262)	總統說 0.003608(118/350)	
中華電信 0.014594(500/1046)	電信業者 0.006963(237/284)	台灣大 0.006151(212/214)	台灣大哥大 0.005165(176/198)	遠傳電信 0.003975(136/182)	行動上網 0.003888(134/143)	暑假期間 0.003714(123/302)	觀光產業 0.003598(110/384)	8月8日 0.002931(97/140)	亞太電信 0.002756(95/223)	
自由貿易 0.006889(197/474)	醫藥大學 0.002296(60/90)	醫療團隊 0.002261(62/92)	中國醫藥 0.002226(64/92)	幹細胞 0.001908(57/92)	辦公大樓 0.001696(49/114)	相關訊息 0.001625(42/178)	飯店業者 0.001519(42/130)	工業生產 0.001449(42/61)	平面媒體 0.001413(32/100)	
議長黃景泰 0.008232(222/384)	災害應變 0.007793(214/384)	接受媒體 0.006805(192/314)	媒體訪問 0.005451(155/222)	基隆市議長 0.004829(130/219)	市長選舉 0.004207(113/299)	媒體詢問 0.003842(102/280)	女學生 0.00289(75/128)	和平電廠 0.002561(70/70)	馬術治療 0.002525(69/69)	
8月7日 0.005302(148/280)	僑教中心 0.003846(111/111)	經濟部工業局 0.003119(89/216)	8月9日 0.002356(69/94)	行動裝置 0.002253(69/422)	惠明盲校 0.002149(62/86)	來台 0.001906(48/2678)	銀髮俱樂部 0.001906(56/56)	助理教授 0.001802(51/112)	市民活動中心 0.001698(49/51)	
馬總統 0.06451(1985/2302)	副總統吳敦義 0.007646(229/356)	總統說 0.007486(232/350)	總統馬英九 0.006297(201/1040)	人事同意權 0.005526(163/405)	總統表示 0.004916(155/240)	都市計畫 0.003888(121/444)	區段徵收 0.003823(123/170)	國民黨主席 0.003727(120/218)	專案小組 0.003566(106/266)	
購物中心 0.007186(207/358)	投資者 0.006178(194/362)	全國電子 0.004432(133/135)	通訊軟體 0.004197(126/188)	台北捷運 0.00413(127/288)	捷運公司 0.003996(115/218)	美國國防部 0.003996(120/166)	事件發生 0.002351(71/300)	台北市政府 0.002116(59/372)	堅決反對 0.001948(54/114)	
家扶中心 0.009469(311/353)	達人 0.00475(147/414)	受訪者 0.004349(147/294)	民調顯示 0.003671(119/194)	立法院長王金平 0.003208(94/308)	總統大選 0.003177(101/460)	南韓總統 0.002961(96/186)	新民調 0.002869(84/117)	總統朴槿惠 0.002715(88/228)	民意調查 0.002098(74/108)	
103年8月 0.01617(459/580)	再生能源 0.004719(140/444)	日本政府 0.003713(110/384)	研究人員 0.003436(97/174)	華山基金會 0.003227(94/109)	高市府 0.003193(91/336)	8月14日 0.003019(82/132)	募款晚會 0.002568(75/75)	預估值 0.002395(70/183)	作業系統 0.002325(65/167)	
電力公司 0.003156(92/152)	網路投保 0.002705(78/78)	信心指數 0.002427(70/131)	小漲 0.002081(60/153)	業者吳榮和 0.002011(58/58)	國內投信 0.001561(43/60)	新基金 0.001561(45/56)	台灣投資人 0.001491(43/65)	附加價值 0.001457(45/214)	研發中心 0.001457(42/95)	
身心障礙 0.009378(280/520)	島國前進 0.003685(111/155)	張志軍來 0.002994(91/268)	沒人 0.002797(81/364)	弱勢族群 0.002731(78/240)	8月29日 0.002665(77/118)	租金補貼 0.002665(84/222)	自由時報2014年 0.002567(81/316)	沒有辦法 0.002106(63/244)	行政院政務 0.002106(66/116)	
推播通知 0.010103(332/332)	重大新聞 0.010073(331/332)	通知快 0.010042(330/330)	快下載 0.010042(330/330)	應變中心 0.00773(253/470)	成交金額 0.005873(199/456)	黃埔建軍 0.004504(148/148)	嚴部長 0.0042(138/148)	上市公司 0.004139(132/260)	房地產市場 0.003561(117/232)	
海外市場 0.002552(76/174)	台北市立 0.002246(68/114)	立動物園 0.001838(56/60)	基隆市政府 0.001804(53/125)	新創事業 0.001736(49/135)	櫃買指數 0.001668(50/106)	專業人才 0.0016(52/76)	農業發展 0.0016(43/84)	總市值 0.001531(42/78)	銷售金額 0.001463(42/89)	
相關影音 0.040047(1139/2756)	新聞相關 0.038281(1110/2914)	桃園機場 0.006887(207/370)	農曆七月 0.003638(100/127)	召開記者會 0.003496(101/822)	上午6時 0.002402(65/624)	一段時間 0.001978(68/334)	8月19日 0.001943(54/94)	經濟發展 0.001801(46/1042)	舉行記者會 0.00159(48/308)	
主委王郁琦 0.0076(240/390)	陸委會主委 0.007443(238/396)	協會理事長 0.006877(216/388)	麥德姆颱風 0.004742(149/322)	主席習 0.00424(136/484)	國營事業 0.0038(121/210)	8月1日 0.003298(108/438)	報導說 0.002795(91/262)	特任副主委 0.002544(81/81)	中共海軍 0.002512(85/100)	
國是會議 0.014795(462/468)	經貿國是 0.013961(436/440)	發表聲明 0.007414(225/404)	加密手機 0.00337(105/105)	經濟研究院 0.0026(82/106)	上市櫃公司 0.002343(71/152)	經濟問題 0.002183(69/76)	聲明指出 0.002151(65/184)	高雄市副市長 0.002054(63/116)	今年6月 0.00199(57/328)	
行動裝置 0.006444(180/422)	再生能源 0.006195(171/444)	宣布參選 0.003845(102/273)	宏達電 0.003133(88/211)	巴拿馬運河 0.00292(86/126)	國家主席 0.002635(75/624)	主辦單位 0.002421(58/532)	就業市場 0.00235(66/150)	趴趴 0.00235(65/66)	台北市民 0.002279(63/150)	
