時間上午 0.01466(431/1782)	翠玉白菜 0.011742(346/346)	故宮博物院 0.010723(316/316)	國立故宮 0.009672(285/285)	上午6時 0.007669(237/624)	國立博物館 0.006346(187/187)	神品至寶展 0.005057(149/149)	赴日 0.00448(132/218)	發表聲明 0.004446(130/404)	發布新聞稿 0.004174(121/180)	
高架化 0.003995(113/131)	新車 0.003815(101/358)	中心主任 0.003563(95/414)	鐵路高架 0.003383(93/97)	派人 0.003347(89/162)	朱市長 0.002808(80/128)	相關規定 0.002268(53/272)	遷村 0.001944(57/118)	網路金融 0.0018(50/50)	約新台幣 0.001728(46/228)	
來台 0.047888(1797/2678)	觀光產業 0.005268(200/384)	陸客來 0.004922(184/216)	觀光工廠 0.003884(146/174)	主席習 0.003406(128/484)	股份有限公司 0.003352(130/288)	電子產品 0.003219(124/234)	做公益 0.003193(118/262)	到台灣 0.002581(85/276)	台灣旅客 0.002474(93/108)	
消息人士 0.008841(244/378)	短暫陣雨 0.007137(201/572)	補充水分 0.004225(121/310)	8月1日 0.003728(111/438)	化學物質 0.003409(93/152)	中央公園 0.002947(80/200)	高等法院 0.002734(84/160)	中共海軍 0.002344(67/100)	世界展望會 0.002237(64/82)	8月21日 0.001953(56/134)	
保險公司 0.005888(168/406)	生物多樣性 0.003455(98/248)	氣候變遷 0.003209(100/360)	官員表示 0.002962(85/444)	年減 0.002927(83/207)	七股海鮮節 0.002327(66/66)	中國市場 0.002257(67/186)	集會遊行 0.002151(62/103)	提供客戶 0.002116(57/129)	國家公園 0.001939(60/484)	
無人 0.012737(379/540)	今天下午 0.004959(138/406)	暑假期間 0.004246(123/302)	高雄市府 0.004042(114/212)	美國國務卿 0.003465(102/250)	觀光產業 0.003431(98/384)	國務卿凱瑞 0.003091(89/226)	8月13日 0.003091(91/136)	軍事行動 0.003023(89/134)	國防部長嚴明 0.002819(87/141)	
12年國教 0.00954(321/404)	免試入學 0.008148(275/275)	特色招生 0.004178(139/167)	十二年國教 0.004(134/352)	加密手機 0.003111(105/105)	志願序 0.003022(103/129)	級分 0.002933(98/130)	基北區 0.002815(93/107)	選填志願 0.002519(85/112)	特招考試 0.002222(75/75)	
總統說 0.010747(320/350)	台灣人民 0.008213(243/464)	總統表示 0.007672(226/240)	經濟發展 0.006793(214/1042)	兩岸人民 0.004563(133/194)	民主法治 0.004529(134/149)	大陸當局 0.003008(86/134)	中國人民 0.002974(84/334)	六四事件 0.002839(84/84)	馬總統 0.002467(81/2302)	
身心障礙 0.010364(322/520)	租金補貼 0.003745(114/222)	8月29日 0.002842(84/118)	生物多樣性 0.002341(71/248)	財政健全 0.00224(66/126)	體驗活動 0.002073(61/232)	營養午餐 0.001939(56/158)	明年度 0.001839(51/94)	縣長選舉 0.001839(52/106)	健全方案 0.001739(49/92)	
石化專區 0.015812(522/522)	石化管線 0.010299(345/528)	行動裝置 0.005362(180/422)	石化產業 0.003605(113/321)	請民眾 0.00315(95/170)	高雄石化 0.002514(80/152)	石化業者 0.002424(80/100)	選舉委員會 0.002302(81/140)	達人 0.002242(76/414)	國關係 0.00209(63/174)	
週三台北 0.00516(146/610)	瞬間大雨 0.003416(100/269)	請注意 0.002798(80/202)	高雄市民 0.002798(76/180)	手機市場 0.002471(69/192)	外貿協會 0.002398(61/230)	商業同業 0.002289(63/190)	消防人員 0.002108(56/176)	大雨發生 0.002035(55/133)	7月25日 0.002035(54/114)	
台塑集團 0.009122(283/292)	願景 0.004722(146/326)	河靜鋼鐵 0.004111(128/128)	觀光旅遊局 0.003244(106/200)	自行車道 0.003116(100/152)	觀光景點 0.003084(90/214)	公共自行車 0.002827(88/100)	巡弋飛彈 0.002795(83/103)	經營團隊 0.002538(86/160)	集團董事長 0.002152(70/472)	
信義房屋 0.004246(124/151)	集體自衛權 0.003444(102/381)	金額為 0.003143(86/182)	不動產企研室 0.002742(82/86)	新北市 0.002608(83/2388)	國民黨中常會 0.002574(84/204)	專案經理 0.002474(73/102)	主任徐佳馨 0.002474(76/81)	舉行記者會 0.002173(59/308)	投資公司 0.002173(66/142)	
市場需求 0.007699(237/440)	今年3月 0.005016(159/370)	中國國民黨 0.004696(144/416)	大陸市場 0.004089(117/674)	營收達 0.003195(97/239)	業績成長 0.003163(99/230)	商業營業額 0.002907(91/99)	營收可望 0.002748(86/209)	7月4日 0.002428(77/204)	相關訊息 0.0023(75/178)	
地方政府 0.02515(711/1190)	弱勢家庭 0.006669(181/316)	金酒公司 0.004115(116/116)	桃園縣政府 0.00376(123/354)	女學生 0.003264(93/128)	金酒廈門 0.003016(85/85)	廈門公司 0.002945(83/83)	慈善基金會 0.002767(77/255)	9月30日 0.002306(69/108)	采瑞公司 0.002235(63/63)	
新聞專輯 0.004131(117/388)	疾病管制 0.002936(86/86)	大飯店 0.002902(92/448)	季獲利 0.0028(80/202)	工業指數 0.002629(77/125)	管制署 0.002595(75/76)	7月24日 0.002458(72/96)	登革熱疫情 0.002219(65/71)	國民待遇 0.001878(55/55)	入夏 0.001707(49/63)	
年增 0.008837(269/694)	為例 0.006712(195/836)	業者表示 0.006105(189/346)	陳震遠 0.005093(151/151)	高速公路 0.00506(147/264)	壽險公司 0.00479(136/273)	市場預期 0.004756(139/358)	人士指出 0.003913(112/370)	陳震武 0.003744(111/111)	新車 0.003609(115/358)	
經濟成長 0.018667(800/864)	經濟成長率 0.009031(384/416)	新北市 0.00831(347/2388)	大陸經濟 0.0081(350/492)	全球經濟 0.004585(204/366)	中國大陸 0.003934(161/4584)	中國經濟 0.002467(105/197)	經濟合作 0.002421(111/480)	今年經濟 0.002328(100/100)	小跌 0.002258(96/180)	
再生能源 0.007862(217/444)	大飯店 0.00716(202/448)	凍人協會 0.002247(65/148)	台電公司 0.002071(61/112)	國際大 0.001966(57/82)	公會理事長 0.00172(45/272)	大天使 0.00165(47/47)	大學校長 0.001545(39/122)	妹遊戲 0.001545(44/44)	總統候選人 0.001439(42/112)	
彭博報導 0.006711(208/394)	大台中 0.006142(195/218)	競選總部 0.005477(178/358)	台中市長 0.005129(145/622)	參選人林佳龍 0.004654(147/147)	受歡迎 0.003831(121/242)	市長胡志強 0.003419(103/654)	市長參選人 0.003134(108/712)	民進黨台中 0.003039(91/99)	經濟部長張家祝 0.002913(93/318)	
公路總局 0.009246(306/324)	國家公園 0.003838(120/484)	審議委員會 0.003475(110/290)	系列活動 0.003264(106/226)	當地時間 0.003022(95/250)	官員表示 0.00269(96/444)	交通管制 0.002659(89/125)	彰化縣長 0.002599(86/174)	小股東 0.002357(76/202)	觀光旅遊 0.002085(69/342)	
服務中心 0.004667(123/326)	外貿協會 0.003871(106/230)	專家學者 0.002424(68/186)	合作備忘錄 0.002171(60/178)	週一台北 0.00199(59/470)	政務次長 0.001809(46/148)	水資源 0.001737(47/190)	主計總處 0.001628(48/372)	協助台灣 0.001628(44/102)	網購 0.001484(41/136)	
社會住宅 0.017976(570/792)	成為台灣 0.004051(123/226)	為例 0.003924(124/836)	高市府 0.002849(89/336)	世界遺產 0.002849(90/90)	新產品 0.002785(86/521)	海峽兩岸 0.002216(66/350)	就業機會 0.002184(67/432)	住宅政策 0.002184(68/286)	沒有人 0.002026(66/320)	
七夕情人節 0.003215(84/184)	世足賽 0.00265(69/400)	自來水公司 0.002544(68/110)	國營事業 0.002049(62/210)	快速道路 0.001837(51/158)	調查發現 0.001696(45/210)	運動公園 0.001696(49/92)	愛到 0.001449(42/46)	送愛 0.001449(43/71)	龍王鯛 0.001413(38/41)	
主管機關 0.01082(334/1112)	嚴部長 0.004802(139/148)	石化管線 0.003956(119/528)	自由貿易 0.002536(77/474)	人士指出 0.002502(72/370)	順利完成 0.002232(64/132)	行動代號 0.002164(64/89)	相關規定 0.00213(56/272)	小火車 0.002097(62/91)	藍色大門 0.001961(58/58)	
新產品 0.008213(239/521)	一段時間 0.006788(187/334)	成為全球 0.005804(163/246)	物聯網 0.003564(105/188)	國際大廠 0.002919(82/150)	領導品牌 0.00258(75/104)	永續經營 0.002172(64/140)	競爭優勢 0.002071(62/154)	開賣 0.001969(59/207)	策略聯盟 0.001969(63/160)	
推播通知 0.011319(332/332)	重大新聞 0.011319(332/332)	快下載 0.011217(330/330)	通知快 0.011183(330/330)	災害應變 0.006682(200/384)	受訪者 0.00583(171/294)	修正草案 0.004057(115/286)	民調顯示 0.003921(118/194)	報導指出 0.003785(118/498)	新民調 0.003307(93/117)	
國營事業 0.003436(104/210)	弱勢族群 0.003403(107/240)	江院長 0.002902(88/166)	社會各界 0.002435(77/190)	社保基金 0.002335(70/82)	新台灣 0.001868(55/64)	台灣國策 0.001868(56/56)	國策智庫 0.001802(54/54)	稽徵機關 0.001702(48/72)	事業預算 0.001635(49/49)	
值得注意 0.007724(228/376)	台北國際 0.007182(206/332)	資料顯示 0.006369(192/536)	管理委員會 0.003422(111/188)	財團法人 0.003185(88/290)	監督管理 0.002981(88/108)	報導說 0.002405(76/262)	民進黨提名 0.002372(71/125)	金融監督 0.002134(64/72)	南港展覽館 0.002067(61/97)	
沒人 0.00576(170/364)	競選團隊 0.003004(85/193)	風景區管理處 0.002686(72/110)	調查報告 0.002474(70/242)	蓬勃發展 0.002226(65/174)	賞花 0.001979(56/56)	產業用地 0.001979(54/77)	日常生活 0.001802(53/178)	財務長 0.001767(48/80)	縣市首長 0.001732(46/124)	
購物中心 0.009745(276/358)	下午4時 0.008145(224/536)	103年6月 0.0052(144/604)	今天說 0.0048(133/628)	受害者 0.004364(127/176)	雲端服務 0.004182(110/176)	工作人員 0.003746(90/512)	勞動局 0.003673(104/106)	貿易協定 0.0036(96/328)	人數為 0.003164(88/136)	
石化產業 0.004735(135/321)	國家風景區 0.003168(95/140)	經濟部工業局 0.003134(96/216)	遊客中心 0.002542(67/137)	主辦單位 0.002402(65/532)	交通部長葉匡時 0.002228(61/184)	希望未來 0.001985(58/196)	國道收費員 0.00195(55/164)	遠通公司 0.001915(55/90)	8月31日 0.001776(55/144)	
