今天下午 0.00617(172/406)	集體自衛權 0.004993(142/381)	美日 0.003424(96/196)	8月8日 0.003068(84/140)	報導指出 0.002854(79/498)	日本政府 0.002854(79/384)	租金補貼 0.002747(81/222)	身心障礙 0.002675(78/520)	大陸股市 0.002568(72/100)	停火協議 0.002319(65/110)	
國際油價 0.006694(198/207)	中油公司 0.005772(169/212)	無鉛汽油 0.005055(148/148)	發表聲明 0.004679(134/404)	公共建設 0.003757(110/258)	中國政府 0.003313(95/282)	聲明指出 0.00304(88/184)	浮動油價 0.002869(84/84)	國內油價 0.002801(82/82)	超級柴油 0.002664(78/78)	
幸福人壽 0.006008(187/187)	國寶人壽 0.004819(148/295)	社會住宅 0.004755(144/792)	2014年7月 0.00453(138/760)	國際機場 0.003888(124/308)	金酒公司 0.003566(111/116)	社福團體 0.003213(93/218)	金酒廈門 0.002731(85/85)	廈門公司 0.002667(83/83)	公司表示 0.002602(79/290)	
新北市長 0.035148(1228/1236)	市長朱立倫 0.028227(988/1004)	新北市 0.024767(887/2388)	訪台 0.013041(460/858)	新北市政府 0.011668(409/470)	召開記者會 0.009609(340/822)	市長陳菊 0.009552(343/884)	台中市長 0.006492(227/622)	市長胡志強 0.006235(214/654)	朱立倫表示 0.005892(206/206)	
今天表示 0.016276(544/1074)	社會責任 0.006592(231/338)	太陽花 0.006417(219/416)	花學運 0.005601(199/382)	好戰分子 0.004667(161/165)	企業社會 0.00458(153/220)	做公益 0.00388(136/262)	報告指出 0.00353(110/344)	送禮 0.003063(101/190)	經濟部長張家祝 0.002946(100/318)	
注中獎 0.008482(237/237)	中獎號碼 0.006692(187/187)	號碼為 0.004903(137/137)	江院長 0.003364(90/166)	行政院長江宜樺 0.00315(84/196)	今彩 0.002971(83/83)	社會各界 0.002935(83/190)	台北市議員 0.002899(81/208)	想做 0.002684(69/122)	業者吳榮和 0.002076(58/58)	
營養午餐 0.004432(117/158)	空氣品質 0.004323(114/186)	主辦單位 0.002688(65/532)	供民眾 0.002325(70/188)	服務中心 0.002216(51/326)	美國官員 0.002216(64/136)	洽詢電話 0.001962(61/302)	開放民眾 0.001926(51/178)	自動監測 0.001853(50/54)	市長陳菊 0.001708(48/884)	
推播通知 0.011294(331/332)	重大新聞 0.01126(332/332)	通知快 0.011226(329/330)	快下載 0.011226(330/330)	強陣風 0.005273(156/311)	資源回收 0.004252(126/238)	報導指出 0.003538(110/498)	行政法院 0.002484(73/75)	高等法院 0.002313(71/160)	通過環評 0.002245(67/94)	
接受媒體 0.007128(209/314)	媒體訪問 0.004833(142/222)	議長黃景泰 0.00459(132/384)	呼籲民眾 0.004381(122/250)	市長選舉 0.003721(104/299)	今年7月 0.00299(83/302)	基隆市議長 0.002677(77/219)	生物多樣性 0.002434(69/248)	購物中心 0.00226(65/358)	消費市場 0.002156(59/120)	
無人 0.005752(154/540)	投資金額 0.004067(98/252)	台資企業 0.003297(88/156)	產業鏈 0.002455(66/130)	6月30日 0.002455(60/252)	人機 0.002272(64/134)	積極發展 0.001979(58/94)	當地民眾 0.001576(38/174)	遠通電收 0.001502(42/128)	台東縣政府 0.001356(36/110)	
財團法人 0.005904(163/290)	管理委員會 0.004955(135/188)	小股東 0.003936(109/202)	監督管理 0.003479(99/108)	加油打氣 0.002987(84/192)	金融監督 0.002531(72/72)	選舉委員會 0.002355(66/140)	鼓勵民眾 0.002249(66/168)	石油海外 0.001898(54/54)	南山人壽 0.001828(52/126)	
