災害應變 0.007212(199/384)	電信業者 0.00375(101/284)	大賣場 0.002236(59/164)	立委葉津鈴 0.001875(54/64)	空軍司令部 0.001875(49/95)	路跑活動 0.001659(48/148)	今年10月 0.001623(52/126)	公益路跑 0.001443(39/64)	羅許基金會 0.001443(40/46)	國際舞台 0.001407(34/80)	
103年6月 0.006277(170/604)	氣候變遷 0.006095(166/360)	交換意見 0.005188(135/358)	6月13日 0.002721(77/132)	今年2月 0.002395(64/266)	吳縣長 0.002213(61/110)	供民眾 0.002032(59/188)	開放民眾 0.001923(51/178)	不少人 0.001851(48/226)	老董牛肉麵 0.001778(49/49)	
高雄發生 0.0033(91/278)	上市櫃公司 0.002883(73/152)	移轉訂價 0.002427(64/64)	看球 0.002124(59/98)	銷售成長 0.001859(52/59)	健康管理 0.001707(47/98)	新統計 0.001669(42/120)	產險業者 0.001669(42/57)	7月14日 0.001593(41/140)	汽車製造商 0.001593(43/53)	
台中市長 0.009675(312/622)	市長胡志強 0.006283(211/654)	競選總部 0.005811(176/358)	大台中 0.005246(165/218)	參選人林佳龍 0.004618(147/147)	受訪者 0.004429(139/294)	民調顯示 0.003927(129/194)	台灣高鐵 0.003707(116/252)	胡市長 0.00333(111/161)	高鐵公司 0.003298(104/168)	
注中獎 0.008394(237/237)	中獎號碼 0.006587(187/187)	戶政事務所 0.005844(165/200)	貿易協議 0.004604(132/339)	服務貿易 0.004356(125/313)	號碼為 0.00425(121/137)	7月1日 0.003577(104/602)	目前台灣 0.003223(90/224)	台灣省政府 0.003188(90/102)	今彩 0.00294(82/83)	
推薦新聞 0.011676(409/552)	成交金額 0.009912(359/456)	台北股市 0.004704(170/355)	加權股價 0.004536(162/162)	嚴部長 0.004144(148/148)	金額新台幣 0.004088(144/191)	股價指數 0.003808(133/234)	上市公司 0.003752(136/260)	集中市場 0.002884(103/106)	聲明表示 0.002828(96/156)	
兩岸關係 0.029312(1516/1526)	國台辦主任 0.018729(967/968)	主任張志軍 0.018438(954/954)	來台 0.016504(879/2678)	大陸國台辦 0.008416(435/628)	訪台 0.007952(396/858)	和平發展 0.005534(283/390)	台灣民眾 0.00505(261/560)	關係和平 0.004102(212/212)	張志軍訪 0.003986(200/370)	
高雄市政府 0.012541(345/1468)	勞動部 0.011455(311/460)	社會責任 0.006626(180/338)	企業社會 0.006626(175/220)	國家安全 0.006402(168/422)	洽詢電話 0.005279(147/302)	工作機會 0.004642(131/320)	事業單位 0.002845(77/128)	預估值 0.002546(68/183)	經營者 0.002471(60/110)	
基隆市政府 0.003247(97/125)	江院長 0.003247(90/166)	大股東 0.003073(82/356)	彰化縣政府 0.002968(83/220)	國民黨中常會 0.002654(73/204)	副縣長 0.002654(78/562)	回饋社會 0.002619(69/190)	資產配置 0.002095(60/152)	農會總幹事 0.00206(63/90)	報名參加 0.001921(56/224)	
七夕情人節 0.005938(158/184)	8月2日 0.00575(152/244)	中華民國駐 0.005412(142/162)	代表處 0.005262(135/286)	雲端服務 0.004435(119/176)	原物料 0.003082(83/190)	官員說 0.002218(58/324)	業者吳榮和 0.00218(58/58)	中央社103年 0.00203(54/55)	提供中央社 0.001955(52/65)	
伊波拉病毒 0.010426(292/292)	網路簡訊 0.005213(146/146)	人死亡 0.002393(68/280)	7月13日 0.002393(65/84)	環評委員 0.002321(66/92)	醫護人員 0.002286(62/156)	伊波拉疫情 0.002178(61/61)	開發單位 0.002071(61/122)	颱風外圍 0.001857(50/137)	出血熱 0.001607(45/58)	
台北市長參選人 0.017481(465/1282)	高雄市政府 0.007551(195/1468)	今年4月 0.007211(191/366)	公車路線 0.005701(150/200)	交通局長 0.005475(148/251)	奈米製程 0.005059(133/178)	智慧型手機 0.002983(69/1126)	路跑活動 0.002756(69/148)	公共住宅 0.002643(72/98)	季財報 0.002454(66/162)	
智慧型手機 0.015608(487/1126)	平板電腦 0.008973(281/636)	夥伴協定 0.006854(223/257)	新聞專輯 0.005857(192/388)	合作夥伴 0.004985(161/298)	區域經濟 0.004954(165/394)	跨太平洋 0.004362(143/168)	經濟夥伴 0.00405(130/149)	太平洋夥伴 0.00405(132/151)	經貿關係 0.003614(114/149)	
中國大陸 0.097037(3969/4584)	國家主席 0.010255(418/624)	美國總統 0.008541(344/462)	大陸國家 0.008101(338/634)	媒體報導 0.007391(298/830)	總統歐巴馬 0.006657(275/400)	主席習 0.005017(200/484)	報導說 0.004675(196/262)	大陸國務院 0.004161(166/322)	競爭對手 0.003573(144/326)	
週三台北 0.005474(140/610)	靖國神社 0.005356(136/136)	國營事業 0.003702(85/210)	瞬間大雨 0.003584(94/269)	請注意 0.00319(82/202)	大雨發生 0.002245(58/133)	成為台灣 0.002166(55/226)	參拜靖國 0.002009(51/51)	注意瞬間 0.001733(44/117)	神社參拜 0.001615(41/41)	
總統馬英九 0.020185(592/1040)	麥德姆颱風 0.006211(176/322)	國道收費員 0.005659(164/164)	勞退基金 0.003727(108/108)	遠通電收 0.003623(105/128)	今天上午 0.003313(101/430)	6月30日 0.003209(90/252)	收費員自救會 0.003175(92/92)	遠通公司 0.003106(90/90)	交通部長葉匡時 0.003071(94/184)	
罹難者 0.015818(451/784)	科技大學 0.008144(224/370)	行動裝置 0.007022(193/422)	人受傷 0.005828(160/330)	人死亡 0.003294(89/280)	中國人民 0.003149(86/334)	就業市場 0.002389(64/150)	行動通訊 0.002244(65/148)	言論自由 0.002208(61/100)	大企業 0.001919(50/174)	
相關單位 0.016941(454/708)	當地居民 0.008678(251/356)	中心主任 0.003132(86/414)	國民黨中央 0.002906(75/184)	附加價值 0.002566(73/214)	美國國務院 0.002151(52/132)	產業用地 0.001849(49/77)	受難者 0.001774(48/85)	生活品質 0.001698(47/202)	人口販運 0.001698(46/46)	
行動電源 0.003833(99/160)	環境保護 0.00299(76/274)	下午2時 0.002147(48/222)	天氣熱 0.00184(51/108)	組合基金 0.001533(37/173)	8月中旬 0.001342(35/86)	金屬中心 0.001342(37/65)	拾得物 0.001303(34/34)	騎腳踏車 0.001227(33/82)	內需市場 0.001227(28/69)	
國是會議 0.015894(461/468)	經貿國是 0.014963(433/440)	區域經濟 0.005965(169/394)	都市計畫 0.004448(138/444)	經濟研究院 0.003207(95/106)	經濟整合 0.00269(75/303)	經濟合作 0.002414(73/480)	金融海嘯 0.002345(73/272)	全球化趨勢 0.002034(59/59)	區域經貿 0.002(58/61)	
7月1日 0.00503(131/602)	優於預期 0.003822(104/237)	經濟復甦 0.003744(98/222)	搭車 0.003588(80/292)	8月1日 0.00312(79/438)	高收益債 0.003081(82/144)	景氣復甦 0.002691(74/178)	積極推動 0.002613(68/410)	試營運 0.002496(65/212)	8月8日 0.002418(70/140)	
新興市場 0.012585(563/942)	高收益 0.010861(485/485)	基金經理人 0.010166(463/824)	收益債 0.007367(329/329)	地緣政治 0.004546(209/218)	投資組合 0.003381(150/156)	債券基金 0.003292(147/147)	組合基金 0.002889(132/173)	收益債券 0.002822(126/126)	為例 0.002799(122/836)	
資本市場 0.004769(143/343)	消費滿 0.003897(135/248)	信義房屋 0.003834(125/151)	國泰人壽 0.003117(104/159)	櫃買中心 0.002993(95/209)	不動產企研室 0.002681(86/86)	住商不動產 0.00265(83/125)	專案經理 0.002556(83/102)	主任徐佳馨 0.002525(81/81)	線上報名 0.002494(82/100)	
壽險公司 0.007867(229/273)	人士指出 0.004073(118/370)	富邦人壽 0.003551(104/116)	國家公園 0.003168(89/484)	海外投資 0.003133(91/167)	南山人壽 0.002158(64/126)	中國人壽 0.002019(55/72)	知情人士 0.001984(58/176)	壽險業者 0.001984(56/83)	島國家 0.001845(53/53)	
航空公司 0.022783(762/808)	復興航空 0.01482(495/668)	長榮航空 0.004701(160/186)	澎湖空難 0.004042(134/226)	罹難者 0.003952(115/784)	全球市場 0.003024(95/174)	發表聲明 0.002964(98/404)	美國商會 0.002605(91/106)	復興空難 0.002335(77/81)	馬公機場 0.002246(75/108)	
主計總處 0.009386(242/372)	國際機場 0.00598(160/308)	經濟發展 0.005942(144/1042)	科技大學 0.002877(70/370)	同業公會 0.00265(69/274)	產學合作 0.002158(54/158)	區產中心 0.002044(54/54)	生命財產 0.002006(53/154)	公會理事長 0.001855(53/272)	產企業 0.001741(46/46)	
合宜住宅 0.017388(911/944)	中央氣象局 0.011516(604/604)	短暫陣雨 0.010906(572/572)	氣象局表示 0.007531(395/395)	提醒民眾 0.00734(389/426)	午後雷陣雨 0.006349(334/335)	太平洋高壓 0.005872(308/308)	外圍環流 0.005129(269/269)	熱帶性低氣壓 0.005072(267/267)	補充水分 0.004976(261/310)	
服務品質 0.006565(166/268)	和平發展 0.003741(96/390)	國家公園 0.002939(85/484)	亞太地區 0.002748(77/222)	七股海鮮節 0.002519(66/66)	行動代號 0.002443(64/89)	藍色大門 0.002214(58/58)	接受媒體 0.002176(61/314)	派人 0.002061(57/162)	中央災害 0.002061(53/184)	
台北市長參選人 0.018766(817/1282)	參選人連勝文 0.016681(728/728)	國民黨台北市長 0.012923(564/564)	參選人柯文哲 0.007928(342/540)	柯文哲說 0.007401(321/334)	在野整合 0.006393(282/294)	醫師柯文哲 0.006049(264/264)	台大醫師 0.005385(236/236)	參選台北市長 0.004514(197/197)	競選總幹事 0.004102(181/188)	
投資金額 0.007198(197/252)	審議委員會 0.004236(111/290)	大陸投資 0.003562(93/123)	世足賽 0.003374(80/400)	郭台銘表示 0.003112(81/98)	官員表示 0.003074(80/444)	議員參選人 0.002737(75/121)	台資企業 0.002624(67/156)	產業鏈 0.002437(60/130)	到台灣 0.002362(64/276)	
新鮮事 0.035216(1322/1324)	天下新鮮 0.034816(1308/1308)	達志影像 0.021002(787/828)	時間下午 0.013948(510/1758)	影像較少 0.013229(498/498)	標準時間 0.011579(448/3482)	台北標準 0.011552(436/3480)	週五台北 0.010355(391/466)	下午5時 0.007852(287/530)	達志2014年 0.006868(258/258)	
國際社會 0.003411(94/252)	資料照片 0.003411(92/164)	國防部長嚴明 0.003111(87/141)	今年2月 0.002362(69/266)	發展協會 0.002324(57/250)	黃色小鴨 0.002099(55/67)	新任總統 0.001987(54/140)	選舉結果 0.001912(46/85)	一般民眾 0.001837(50/240)	電子票證 0.001837(48/164)	
運動中心 0.005919(153/172)	亞太電信 0.005274(134/223)	指數上漲 0.003946(101/293)	經濟數據 0.003339(87/206)	亞太電 0.003225(85/91)	今年營收 0.002315(57/145)	觸控面板 0.002315(62/111)	消費者信心 0.002277(59/151)	全球股市 0.002239(61/159)	觀光產業 0.002163(55/384)	
購票 0.004357(109/238)	經濟部長張家祝 0.003644(92/318)	今年暑假 0.002456(63/116)	機械手臂 0.002456(61/100)	7月31日 0.001862(50/288)	外匯市場 0.001704(44/97)	熱銷 0.001545(41/108)	離職員工 0.001505(39/47)	昨日表示 0.001426(41/100)	公司今年 0.001387(35/71)	
中油公司 0.005748(166/212)	無鉛汽油 0.005156(148/148)	國際油價 0.00432(129/207)	7月7日 0.003205(81/170)	浮動油價 0.002926(84/84)	國內油價 0.002857(82/82)	超級柴油 0.002717(78/78)	桶裝瓦斯 0.002613(76/84)	柴油價格 0.002508(72/72)	當地時間 0.002474(77/250)	
高雄氣爆 0.04027(2335/2368)	氣爆事件 0.022443(1308/1320)	高雄市政府 0.014744(849/1468)	氣爆意外 0.00689(402/402)	李長榮化工 0.006235(362/362)	石化氣爆 0.00534(310/310)	2014年8月 0.005288(318/796)	發生氣爆 0.00515(302/302)	氣爆傷亡 0.00472(274/274)	專輯轟街 0.004444(258/258)	
今天表示 0.026254(724/1074)	太陽花 0.009364(259/416)	花學運 0.008571(243/382)	道瓊工業 0.005726(157/173)	指數上漲 0.00551(154/293)	智慧手機 0.005186(146/348)	指數下跌 0.005006(140/209)	島國前進 0.004646(129/155)	美國經濟 0.00461(127/216)	創新高 0.004034(109/652)	
