資源回收 0.003298(87/238)	生物多樣性 0.002453(60/248)	生態旅遊 0.002293(55/117)	客家文化 0.002132(53/254)	高雄市環保局 0.001287(31/70)	農業發展 0.001287(31/84)	生活型態 0.001207(32/68)	穩坐 0.001207(29/40)	今年特別 0.001167(25/120)	成為台灣 0.001126(23/226)	
家扶中心 0.011909(317/353)	綠建築 0.003565(91/196)	人力需求 0.002996(79/112)	弱勢家庭 0.002086(53/316)	旅遊旺季 0.001859(47/158)	8月20日 0.001745(45/200)	農曆7月 0.001669(44/136)	審議委員會 0.001593(42/290)	人身安全 0.001555(42/110)	實質薪資 0.001555(40/82)	
103年7月 0.018527(492/586)	認購權證 0.005063(131/240)	海軍陸戰隊 0.004913(138/172)	考試委員 0.004576(120/247)	優於預期 0.003263(87/237)	法人認為 0.003151(85/206)	獲利了結 0.002888(79/142)	國泰證 0.002776(74/102)	全民國防 0.002551(65/111)	積極布局 0.002513(62/116)	
企業社會 0.004528(119/220)	社會責任 0.003106(85/338)	觀光工廠 0.002882(77/174)	勞動部 0.002844(78/460)	經營者 0.002508(67/110)	調查報告 0.00247(69/242)	七股海鮮節 0.00247(66/66)	國家公園 0.002171(54/484)	股份有限公司 0.002059(52/288)	獲利能力 0.002059(52/89)	
下午4時 0.012682(320/536)	影像較少 0.009942(251/498)	達志影像 0.004971(126/828)	系列活動 0.004306(108/226)	國家公園 0.004188(107/484)	救人 0.003366(89/190)	當地民眾 0.003132(82/174)	台大醫院 0.002897(77/150)	大陸網友 0.002192(58/92)	漲幅達 0.002114(56/81)	
大飯店 0.013429(343/448)	購物中心 0.012408(308/358)	今年7月 0.008914(220/302)	7月1日 0.004202(105/602)	台北市議員 0.003495(90/208)	晶華酒店 0.002945(81/140)	行政院長江宜樺 0.002945(75/196)	消費市場 0.00267(63/120)	財富管理 0.00267(76/218)	全國電子 0.002513(62/135)	
時間上午 0.014466(434/1782)	2014年7月 0.014098(424/760)	翠玉白菜 0.011587(346/346)	故宮博物院 0.010549(314/316)	國立故宮 0.009477(283/285)	上午6時 0.006899(199/624)	國立博物館 0.006262(187/187)	赴日 0.005224(159/218)	神品至寶展 0.00499(149/149)	發表聲明 0.004554(142/404)	
大陸地區 0.006219(163/226)	汽車旅館 0.0029(75/86)	河野談話 0.002595(68/68)	南韓政府 0.002328(62/102)	來回機票 0.002289(71/125)	鼓勵民眾 0.002175(55/168)	即日起到 0.002175(62/114)	醫療器材 0.002099(53/212)	大台北地區 0.001679(43/176)	8月11日 0.001641(41/98)	
經濟發展 0.005649(154/1042)	美國商會 0.003692(100/106)	生技產業 0.003101(83/216)	同業公會 0.002695(78/274)	科技大學 0.002437(65/370)	次長杜紫軍 0.002178(61/142)	影響台灣 0.002105(54/252)	區產中心 0.001994(54/54)	公會理事長 0.001846(47/272)	旅遊業者 0.001846(52/148)	
無人 0.007147(196/540)	弱勢家庭 0.006162(161/316)	今天下午 0.003245(84/406)	下午2時 0.002954(80/222)	行政長官 0.002954(81/96)	慈善基金會 0.002553(71/255)	為主題 0.002225(59/138)	無線充電 0.002152(58/127)	公民提名 0.002042(56/56)	駐美 0.00186(52/122)	
市長參選人 0.010297(254/712)	民調結果 0.007754(191/326)	103年6月 0.007504(166/604)	一段時間 0.005253(125/334)	業者表示 0.003961(100/346)	經濟部長張家祝 0.003752(96/318)	中央社翻譯 0.002543(58/318)	駐美 0.002293(53/122)	作業系統 0.002168(51/167)	美代表 0.002001(47/104)	
身心障礙 0.008243(241/520)	103年6月 0.005094(143/604)	嚴部長 0.004564(126/148)	人數為 0.003149(88/136)	工作人員 0.003113(92/512)	疾病管制 0.003043(86/86)	共同管道 0.00283(83/125)	管制署 0.002654(76/76)	登革熱疫情 0.002441(69/71)	財政健全 0.002406(66/126)	
智慧型手機 0.013035(474/1126)	監督條例 0.012016(440/689)	兩岸協議 0.010748(406/581)	自由貿易 0.010114(362/474)	平板電腦 0.00926(338/636)	協議監督 0.00915(323/503)	服貿協議 0.008543(312/822)	區域經濟 0.007882(285/394)	經濟合作 0.007524(276/480)	經濟整合 0.007193(268/303)	
