今天表示 0.017383(459/1074)	太陽花 0.006654(179/416)	花學運 0.00572(154/382)	大陸官方 0.00501(137/286)	房地產市場 0.003813(102/232)	經濟復甦 0.00344(91/222)	社會福利 0.003402(95/286)	網站上 0.002692(74/128)	空品淨化區 0.002617(70/70)	景氣復甦 0.002542(68/178)	
爭取連任 0.004282(111/196)	電信公司 0.002842(73/158)	電動機車 0.002297(54/80)	成交張數 0.00218(56/66)	核四公投 0.00218(56/56)	筆電 0.002141(51/160)	漲跌幅 0.002063(51/59)	老爺酒店 0.00183(48/128)	類股漲 0.001791(46/46)	加權指數 0.001752(44/219)	
主席習 0.009672(319/484)	大陸國家 0.008214(273/634)	中國大陸 0.007708(287/4584)	國家主席 0.007351(233/624)	總統朴槿惠 0.00622(211/228)	人受傷 0.005476(182/330)	自由貿易 0.005357(186/474)	南韓總統 0.00491(170/186)	靖國神社 0.004018(136/136)	今天表示 0.00372(129/1074)	
發展協會 0.007085(193/250)	台北國際 0.006611(174/332)	高市府 0.003543(101/336)	社區發展 0.003214(85/104)	氣候變遷 0.002776(73/360)	南港展覽館 0.002374(66/97)	生物科技 0.002301(55/170)	慈善基金會 0.002155(64/255)	基金會董事長 0.002119(55/148)	山好 0.002082(58/62)	
高雄市政府 0.026077(649/1468)	相關單位 0.018958(486/708)	國家安全 0.008319(205/422)	新台幣兌 0.008199(208/259)	台塑集團 0.00724(182/292)	週三台北 0.00596(145/610)	字頭 0.00472(115/188)	公車路線 0.00452(106/200)	編列預算 0.00432(100/180)	當地居民 0.00376(102/356)	
新產品 0.01287(341/521)	台灣經濟 0.009735(267/728)	量身 0.004573(121/180)	國際大廠 0.004462(119/150)	僑教中心 0.003872(105/111)	成為全球 0.003651(100/246)	穿戴裝置 0.003024(81/234)	中國市場 0.003024(85/186)	年減 0.002987(83/207)	物聯網 0.00295(81/188)	
新高紀錄 0.005372(137/370)	信義房屋 0.00487(122/151)	5月營收 0.004754(122/311)	6月營收 0.004715(123/319)	不動產企研室 0.003169(82/86)	主任徐佳馨 0.002937(74/81)	專案經理 0.00286(74/102)	投資公司 0.002821(70/142)	金額為 0.002667(73/182)	召開股東會 0.002474(64/151)	
恆春半島 0.005349(139/274)	報名參加 0.00381(101/224)	發表聲明 0.002732(70/404)	公司合作 0.002694(69/130)	回饋社會 0.002617(64/190)	今年6月 0.002386(60/328)	副縣長 0.002348(64/562)	彰化縣政府 0.002348(58/220)	大品牌 0.002309(61/125)	打造出 0.002232(57/188)	
智慧型手機 0.03215(931/1126)	平板電腦 0.016881(477/636)	公路總局 0.00767(224/324)	合作夥伴 0.005989(168/298)	供應鏈 0.005394(164/584)	穿戴式裝置 0.003993(113/198)	手機品牌 0.003748(107/112)	換機 0.003538(106/183)	手機晶片 0.003327(96/178)	成長動能 0.003222(91/402)	
台北捷運 0.007903(202/288)	捷運公司 0.006831(173/218)	媒體詢問 0.005957(147/280)	創下歷史 0.005441(138/248)	服貿協議 0.005123(119/822)	工業電腦 0.003932(99/143)	年成長 0.002701(65/157)	台北市政府 0.002542(59/372)	自由貿易 0.002462(63/474)	目前台灣 0.002462(63/224)	
台北市長參選人 0.015549(442/1282)	鐵路電氣化 0.010955(310/310)	花東鐵路 0.01039(294/294)	普悠瑪號 0.010107(286/286)	到台東 0.005548(155/192)	器官捐贈 0.00463(131/131)	普悠瑪列車 0.004064(115/115)	弱勢團體 0.003357(96/140)	台北到 0.002792(81/104)	電氣化通車 0.002721(77/77)	
服貿協議 0.01026(377/822)	貿易協議 0.00886(307/339)	台灣經濟 0.008545(301/728)	服務貿易 0.008374(289/313)	民進黨主席 0.00806(279/598)	發言人陳以信 0.007717(269/285)	中國國民黨 0.007288(256/416)	兩岸服貿 0.006431(227/293)	主席蔡英文 0.00563(205/566)	蔡主席 0.004287(151/151)	
活動期間 0.008978(231/322)	7月1日 0.003914(96/602)	7月30日 0.003645(90/158)	全家便利商店 0.0033(86/126)	購物中心 0.002532(65/358)	庇護工場 0.002494(64/96)	台北市立 0.002341(59/114)	網購 0.002302(61/136)	提出申請 0.002264(56/196)	陳菊表示 0.002264(59/138)	
社會責任 0.007123(195/338)	企業社會 0.006942(187/220)	8月1日 0.006219(175/438)	美國海軍 0.003471(95/122)	中共海軍 0.003399(95/100)	高架化 0.00311(84/131)	鐵路高架 0.00311(84/97)	事件發生 0.002748(76/300)	達人 0.002459(67/414)	尖峰時段 0.002242(59/92)	
人力銀行 0.01169(320/324)	調查顯示 0.005261(140/290)	社會新鮮人 0.005115(140/144)	觀光旅遊 0.003909(110/342)	工作機會 0.003544(93/320)	開發商 0.002959(86/186)	求職者 0.002923(74/264)	董事長張忠謀 0.002704(75/134)	台積電董事長 0.002448(69/116)	營收新台幣 0.002375(63/173)	
合併營收 0.029083(1234/1277)	季合併 0.00794(337/341)	年增 0.007149(320/694)	法人預期 0.003609(157/190)	歷史新高 0.003493(144/928)	季業績 0.003446(145/315)	6月合併 0.003377(145/145)	6月營收 0.003051(132/319)	營收為 0.002701(128/321)	營收達 0.002631(111/239)	
舉行記者會 0.00557(139/308)	一般民眾 0.00366(84/240)	上市櫃公司 0.00305(73/152)	台聯黨團 0.002968(76/151)	不少人 0.002806(70/226)	世界先進 0.002602(62/76)	巴克萊證券 0.002399(60/64)	民主國家 0.001993(50/122)	方便民眾 0.001911(47/93)	給人 0.001911(50/120)	
預估值 0.002924(71/183)	洽詢電話 0.002123(52/302)	產品出貨 0.002043(51/98)	自動監測 0.002003(50/54)	創園區 0.001722(43/118)	行動電源 0.001682(42/160)	排放量 0.001642(41/106)	回台 0.001642(38/202)	永續發展 0.001642(42/262)	國際舞台 0.001562(38/80)	
來台 0.052663(1848/2678)	觀光產業 0.006302(224/384)	陸客來 0.005275(184/216)	觀光旅遊 0.004591(158/342)	台旅遊 0.002595(92/92)	自由行 0.002509(90/186)	交通部觀光局 0.002452(80/300)	台灣旅客 0.002452(86/108)	大陸旅客 0.002367(83/98)	穩定成長 0.002338(88/200)	
呼籲民眾 0.006753(186/250)	環保局表示 0.005461(146/154)	資源回收 0.003543(101/238)	政府環保局 0.002952(81/112)	污染防治 0.002915(77/94)	水污染 0.002694(75/90)	勒令停工 0.002583(70/70)	防治法 0.002251(62/68)	早鳥優惠 0.002251(59/71)	訂票 0.00214(60/104)	
上海福喜 0.003393(85/85)	亞洲市場 0.002355(56/132)	公司今年 0.001916(49/71)	台北國稅局 0.001717(43/45)	農曆7月 0.001677(43/136)	兆品酒店 0.001677(42/42)	持股比重 0.001597(39/98)	谷關溫泉 0.001557(39/45)	立委陳其邁 0.001517(35/89)	流浪犬管理 0.001517(38/38)	
罹難者 0.004953(121/784)	中國政府 0.003355(85/282)	選舉委員會 0.003195(81/140)	志工們 0.002477(62/93)	中國企業 0.002357(59/84)	發表聲明 0.002317(62/404)	弱勢族群 0.002157(52/240)	新竹縣長 0.001917(45/96)	藍光 0.001877(40/133)	報導稱 0.001877(50/160)	
嚴部長 0.006002(148/148)	小股東 0.005556(135/202)	現金股利 0.005394(132/282)	中國國家 0.003812(91/206)	旺旺集團 0.003285(79/82)	獲利表現 0.00292(70/178)	配發現金 0.002879(70/144)	慈善基金會 0.002474(57/255)	南山人壽 0.002352(58/126)	執行長林鴻池 0.002312(59/149)	
電子商務 0.00493(132/722)	經濟部工業局 0.0035(93/216)	業者表示 0.001995(60/346)	發展中心 0.001581(43/126)	6月27日 0.001543(41/104)	無毒 0.001506(37/140)	慈禧太后 0.001468(38/44)	受到影響 0.00143(46/282)	嘗鮮 0.00143(40/56)	知情人士 0.00143(35/176)	
地方政府 0.028962(884/1190)	社會住宅 0.0191(595/792)	高速公路 0.005655(168/264)	租金補貼 0.00434(130/222)	就業機會 0.002762(78/432)	線上報名 0.002597(80/100)	內政部長陳威仁 0.002367(73/144)	沒有人 0.002269(63/320)	快速道路 0.002203(62/158)	投資說明會 0.002071(63/63)	
新鮮事 0.023443(701/1324)	天下新鮮 0.022914(694/1308)	復興航空 0.022053(668/668)	影像較少 0.006556(194/498)	下午5時 0.005066(160/530)	罹難者 0.003874(120/784)	馬公機場 0.003576(108/108)	週四台北 0.003013(92/804)	澎湖空難 0.002848(93/226)	復興空難 0.002616(79/81)	
罹難者 0.012709(318/784)	商業同業 0.004488(112/190)	同業公會 0.002741(64/274)	空軍基地 0.002224(56/100)	學生們 0.002185(59/176)	發布新聞稿 0.002145(52/180)	詐騙集團 0.002145(54/76)	傳統文化 0.002026(49/108)	受到影響 0.001986(50/282)	輕旅行 0.001748(49/90)	
調查報告 0.002587(59/242)	再生能源 0.002003(47/444)	米其林指南 0.001878(45/45)	高雄氣爆事件 0.001836(47/78)	吸引大 0.001669(42/96)	密切聯繫 0.001669(42/111)	退選 0.001628(40/118)	新聞中心 0.001419(36/62)	原油價格 0.001419(32/61)	不符規定 0.001294(31/82)	
主任張志軍 0.009765(368/954)	國台辦主任 0.009638(381/968)	主委王郁琦 0.008998(353/390)	陸委會主委 0.008896(349/396)	經濟發展 0.007081(280/1042)	大陸國台辦 0.006391(251/628)	台灣民眾 0.005905(239/560)	陸委會副主委 0.004908(189/222)	張顯耀 0.004806(185/192)	兩岸經濟 0.004781(185/280)	
新北市 0.059932(2036/2388)	新北市長 0.036152(1236/1236)	市長朱立倫 0.02922(998/1004)	訪台 0.013689(469/858)	市長陳菊 0.011583(389/884)	召開記者會 0.009243(310/822)	市長胡志強 0.007225(239/654)	台中市長 0.006874(231/622)	大陸國台辦 0.005558(194/628)	朱立倫表示 0.004622(141/206)	
