人力銀行 0.011488(299/324)	調查顯示 0.005647(144/290)	相關規定 0.004448(120/272)	江院長 0.004448(107/166)	社會新鮮人 0.004139(109/144)	董事長張忠謀 0.002901(73/134)	保險公司 0.002708(69/406)	1月1日 0.002553(63/104)	今年5月 0.002437(67/354)	台積電董事長 0.002321(63/116)	
今天下午 0.007376(261/406)	好戰分子 0.00481(165/165)	官員表示 0.004606(155/444)	無人 0.004111(140/540)	財團法人 0.003819(132/290)	下午2時 0.003178(113/222)	金酒公司 0.003149(109/116)	停火協議 0.003032(105/110)	美國官員 0.002741(92/136)	國家安全 0.002741(90/422)	
新聞專輯 0.007501(192/388)	巴西世界盃 0.003474(89/100)	公共運輸 0.002764(72/190)	國泰世華 0.002251(58/193)	旅遊業者 0.002132(53/148)	代理孕母 0.001935(49/61)	淡海輕軌 0.001935(49/58)	基隆市政府 0.001816(49/125)	今年3月 0.001737(37/370)	財金智慧 0.001698(43/43)	
中央公園 0.004463(117/200)	外銷訂單 0.004307(112/118)	麥德姆颱風 0.004033(99/322)	新台幣兌 0.003289(80/259)	台北外匯 0.002976(76/76)	今天開盤價 0.002584(66/66)	行動代號 0.002506(64/89)	電子產品 0.002467(69/234)	約新台幣 0.00231(59/228)	老樹 0.002271(56/97)	
房地合一 0.015862(478/478)	實價課稅 0.012942(390/390)	合一實價 0.004945(149/149)	暑假期間 0.003949(113/302)	不動產交易 0.00375(111/123)	觀光產業 0.003086(95/384)	合一課稅 0.002755(83/131)	分離課稅 0.002589(78/78)	自用住宅 0.002522(73/167)	稅制改革 0.002356(71/76)	
機械手臂 0.002862(67/100)	國家電影 0.002572(62/87)	電影中心 0.002448(59/59)	人認為 0.002282(63/254)	受到影響 0.002116(49/282)	星展銀行 0.002116(49/71)	衛生福利部 0.002074(46/258)	想吃 0.00195(46/106)	示範樂隊 0.001742(42/56)	競選經費 0.001659(43/112)	
大台中 0.007532(202/218)	競選總部 0.007196(193/358)	參選人林佳龍 0.004437(118/147)	市長胡志強 0.004325(108/654)	市長參選人 0.003505(97/712)	國泰人壽 0.00343(86/159)	台中市長 0.003356(82/622)	願景 0.003281(94/326)	線上報名 0.002834(75/100)	參賽者 0.002498(63/132)	
新鮮事 0.026694(677/1324)	天下新鮮 0.0263(672/1308)	復興航空 0.006703(170/668)	下午5時 0.006072(154/530)	觀光旅遊局 0.003825(100/200)	週四台北 0.003588(89/804)	樓高 0.003115(72/112)	沒問題 0.003115(75/196)	七股海鮮節 0.002603(65/66)	7月31日 0.002248(56/288)	
協會理事長 0.011571(267/388)	受歡迎 0.004953(104/242)	新竹市長 0.002818(64/112)	特別推出 0.002306(59/133)	交叉分析 0.002178(52/88)	審慎樂觀 0.002135(52/148)	醫師表示 0.001922(46/98)	今年特別 0.001836(38/120)	民調中心 0.001836(42/84)	7月21日 0.001794(41/98)	
強陣風 0.006298(155/311)	上市櫃公司 0.002988(70/152)	今年營收 0.002543(64/145)	巴克萊證券 0.002301(57/64)	施工單位 0.00214(52/120)	季毛利率 0.002059(50/122)	臺中花博 0.002059(51/51)	學生們 0.001898(45/176)	傳統文化 0.001898(41/108)	新統計 0.001857(46/120)	
身心障礙 0.007543(207/520)	國家公園 0.003846(98/484)	風景區管理處 0.003324(88/110)	環境教育 0.003025(82/160)	美國國防部 0.002689(71/166)	國家風景區 0.002539(67/140)	雲嘉南 0.002353(64/88)	堅決反對 0.002241(59/114)	停班停課 0.002017(54/54)	島國家 0.001979(53/53)	
103年6月 0.005714(134/604)	都市更新 0.004587(119/342)	工作人員 0.004121(101/512)	美國經濟 0.003343(84/216)	人數為 0.003265(84/136)	空氣品質 0.00311(80/186)	國泰世華 0.003032(78/193)	遊客中心 0.002838(71/137)	空品淨化區 0.002721(70/70)	金融機構 0.002682(65/352)	
中央社翻譯 0.007695(189/318)	消費滿 0.004814(127/248)	今天宣布 0.00292(77/202)	桶裝瓦斯 0.002881(73/84)	證券市場 0.002447(62/98)	海外說明會 0.002368(60/60)	液化石油氣 0.00221(57/62)	公開資訊 0.002052(52/56)	詐騙集團 0.002013(51/76)	文化藝術 0.001973(51/120)	
中華電信 0.030104(932/1046)	台灣大哥大 0.006375(196/198)	集團旗下 0.005184(151/382)	金融機構 0.004733(166/352)	遠傳電信 0.004476(139/182)	公司董事長 0.004122(126/320)	科技公司 0.003928(123/262)	企業社會 0.003381(105/220)	元大寶來 0.003156(97/260)	電信公司 0.002866(90/158)	
總統馬英九 0.024243(579/1040)	現金股利 0.005438(141/282)	雲端服務 0.004293(105/176)	獲利表現 0.003966(96/178)	交通管制 0.003516(85/125)	上海福喜 0.003475(85/85)	配發現金 0.003107(72/144)	中國國台辦 0.002821(67/170)	夢時代 0.002208(56/70)	花蓮縣長 0.002126(50/134)	
冰桶挑戰 0.012119(318/318)	人士說 0.006136(163/238)	凍人協會 0.00484(127/148)	原物料 0.004383(116/190)	凍人募款 0.003506(92/92)	接受挑戰 0.003468(91/132)	台灣高鐵 0.003087(80/252)	資產配置 0.002554(67/152)	捐錢 0.002477(63/88)	挑戰者 0.002363(62/66)	
總統大選 0.003112(78/460)	文化園區 0.00295(71/176)	台中市政府 0.002708(72/312)	印尼總統 0.002344(53/73)	颱風外圍 0.002102(52/137)	從業人員 0.0019(49/122)	憲法法院 0.001859(46/46)	雅加達省長 0.001819(44/60)	民主奮鬥黨 0.001779(44/44)	豪大雨 0.001698(43/148)	
台北市長參選人 0.03036(1273/1282)	參選人連勝文 0.017335(728/728)	國民黨台北市長 0.01343(564/564)	參選人柯文哲 0.008549(360/540)	柯文哲說 0.007477(319/334)	在野整合 0.006715(283/294)	醫師柯文哲 0.006239(262/264)	電子商務 0.005977(256/722)	台大醫師 0.00562(236/236)	參選台北市長 0.004691(197/197)	
8月1日 0.009396(231/438)	世足賽 0.005936(145/400)	自治條例 0.004796(121/238)	附加價值 0.002477(67/214)	管理自治 0.00232(60/86)	踴躍參加 0.00232(56/84)	7月8日 0.00228(60/88)	季稅 0.002241(57/142)	公民提名 0.002202(56/56)	公司為 0.001809(43/88)	
今天表示 0.031091(743/1074)	103年6月 0.017652(423/604)	代表處 0.009858(235/286)	交換意見 0.007584(177/358)	自由貿易 0.005941(143/474)	主席習 0.004761(110/484)	中華民國駐 0.00375(82/162)	大貓熊 0.003329(80/105)	三星電子 0.002907(70/109)	6月23日 0.002823(67/98)	
當地民眾 0.004053(111/174)	營養午餐 0.003391(91/158)	吸金 0.002806(71/170)	業者說 0.002183(54/154)	大陸網友 0.002066(59/92)	帶回家 0.002027(50/152)	重建家園 0.001793(39/200)	聚光型太陽能 0.001793(46/46)	植物工廠 0.001715(45/75)	購物商店 0.001676(41/45)	
台獨黨綱 0.016281(476/491)	高雄市長 0.015335(453/772)	主席蔡英文 0.012228(366/566)	支持者 0.011856(357/526)	市長賴清德 0.01064(313/388)	總統大選 0.009661(279/460)	台南市長 0.009255(274/298)	市長陳菊 0.007499(216/884)	服貿協議 0.007499(217/822)	今天上午 0.007195(218/430)	
工作機會 0.006584(172/320)	黨中央 0.006468(169/490)	洽詢電話 0.005121(142/302)	勞動部 0.004813(124/460)	新產品 0.003465(84/521)	電力公司 0.00335(84/152)	島國前進 0.00335(93/155)	張志軍來 0.003273(90/268)	8月29日 0.003003(75/118)	在野大聯盟 0.002926(77/211)	
認購權證 0.005353(135/240)	世界盃足球賽 0.003813(94/220)	媒體詢問 0.003813(104/280)	週日台北 0.003274(76/370)	法人認為 0.003235(82/206)	競選團隊 0.003197(82/193)	小股東 0.003081(80/202)	獲利了結 0.003042(78/142)	積極布局 0.002773(77/116)	國泰證 0.002773(72/102)	
物價指數 0.007799(209/292)	消費者物價 0.006255(164/226)	行動上網 0.00422(113/143)	主計總處 0.004032(115/372)	雲端運算 0.003429(90/194)	中心主任 0.00309(93/414)	國民黨中常會 0.002901(82/204)	營收成長 0.002864(73/199)	中華電信 0.002788(79/1046)	農會總幹事 0.002487(63/90)	
馬總統 0.076821(2147/2302)	總統說 0.007957(223/350)	總統馬英九 0.007379(228/1040)	人事同意權 0.006366(182/405)	總統表示 0.005643(154/240)	股份有限公司 0.003581(98/288)	電子產品 0.003328(88/234)	馬英九總統 0.003292(85/714)	高等法院 0.002858(79/160)	台聯立委 0.002351(65/140)	
電子商務 0.008231(193/722)	活動期間 0.006017(134/322)	文教基金會 0.003301(85/284)	購物中心 0.003092(76/358)	吳副總統 0.002466(60/82)	民進黨提名 0.002089(49/125)	補充水分 0.002006(49/310)	國際組織 0.002006(52/112)	媒體採訪 0.001588(35/96)	解決方案 0.001546(34/466)	
營收為 0.00461(120/321)	永續發展 0.003332(84/262)	嚴部長 0.003255(84/148)	中共海軍 0.003177(83/100)	勞動部 0.002519(66/460)	新興亞洲 0.002209(56/110)	副主委張顯耀 0.002015(54/149)	財務狀況 0.001976(53/114)	台新銀 0.00186(51/72)	統籌分配 0.001782(46/54)	
台灣省政府 0.003594(90/102)	停車格 0.002955(74/86)	移轉訂價 0.002555(64/64)	接受媒體 0.002356(56/314)	回應說 0.002356(62/144)	業者吳榮和 0.002316(58/58)	小朋友們 0.002156(48/72)	錢林慧君 0.001917(49/62)	大陸稅局 0.001597(40/40)	秘書郭冠英 0.001557(39/39)	
馬政府 0.011125(273/612)	為例 0.009821(251/836)	提供民眾 0.002731(68/168)	順育樂 0.001834(45/45)	總統候選人 0.001834(42/112)	環境商品 0.001549(38/38)	橡木桶洋酒 0.001386(34/34)	想辦法 0.001304(35/146)	政府提出 0.001264(35/108)	國家利益 0.001223(34/121)	
達人 0.011187(287/414)	成交金額 0.008008(206/456)	同業公會 0.005849(151/274)	上市公司 0.005535(139/260)	證券交易所 0.003612(98/152)	上午11時 0.003533(85/404)	商業同業 0.003298(82/190)	證交所表示 0.002866(74/95)	加權股價 0.00263(65/162)	台灣分公司 0.00263(66/76)	
台北股市 0.011627(268/355)	政治人物 0.009442(215/498)	民進黨主席 0.009398(221/598)	股市今天 0.009005(210/247)	參選人柯文哲 0.007912(180/540)	成交金額 0.005464(127/456)	金額新台幣 0.004503(100/191)	台股今天 0.004328(100/146)	股價指數 0.003672(84/234)	指數成為 0.003628(83/84)	
自由經濟 0.017525(770/770)	經濟示範區 0.016112(707/708)	監督條例 0.015702(689/689)	兩岸協議 0.013058(576/581)	協議監督 0.011463(503/503)	特別條例 0.008455(371/392)	示範區特別 0.006746(296/296)	服貿協議 0.006267(284/822)	中國國民黨 0.00613(267/416)	民進黨主席 0.005697(250/598)	
新北市長 0.024327(846/1236)	市長朱立倫 0.022108(764/1004)	新北市 0.015968(552/2388)	市長胡志強 0.011414(388/654)	監察委員 0.011299(380/506)	召開記者會 0.010723(376/822)	訪台 0.010204(362/858)	國民黨團 0.009916(343/555)	市長陳菊 0.009483(323/884)	台中市長 0.008186(281/622)	
經濟發展 0.008765(223/1042)	台灣人民 0.007411(186/464)	民主法治 0.005339(133/149)	兩岸人民 0.00506(128/194)	總統說 0.004622(114/350)	中國人民 0.003427(87/334)	總統表示 0.003347(85/240)	大陸當局 0.003347(84/134)	六四事件 0.003347(84/84)	高雄地區 0.003307(79/246)	
罹難者 0.018433(449/784)	高速公路 0.008627(210/264)	產業發展 0.008464(210/754)	解決方案 0.00411(109/466)	雲端運算 0.0035(84/194)	公益路跑 0.002605(64/64)	近年來 0.002483(57/320)	小火車 0.00232(58/91)	公益團體 0.001872(46/114)	看電視 0.001831(45/118)	
新藥 0.017222(454/454)	大陸市場 0.011456(302/674)	鼓勵民眾 0.004742(125/168)	研究人員 0.003414(92/174)	市場規模 0.003263(81/170)	無線充電 0.003225(86/127)	臨床試驗 0.002883(77/122)	生技產業 0.002769(74/216)	集團總裁 0.002694(66/156)	台灣生技 0.002656(71/85)	
