罹難者 0.020667(628/784)	復興航空 0.014944(451/668)	推播通知 0.010857(332/332)	通知快 0.010791(330/330)	快下載 0.010791(330/330)	重大新聞 0.010726(331/332)	澎湖空難 0.004807(145/226)	報導指出 0.003368(108/498)	自治條例 0.002845(84/238)	復興空難 0.002616(81/81)	
發展協會 0.008141(194/250)	影像較少 0.006839(167/498)	社區發展 0.004234(103/104)	當地民眾 0.003013(75/174)	成為全球 0.002931(67/246)	無人 0.00285(72/540)	弱勢族群 0.002687(64/240)	需要幫助 0.00228(61/108)	自有品牌 0.002239(57/152)	集團總裁 0.002198(49/156)	
主辦單位 0.014702(382/532)	馬英九總統 0.011285(300/714)	高雄市政府 0.007868(192/1468)	公車路線 0.006239(154/200)	交通局長 0.005524(140/251)	相關訊息 0.004292(115/178)	歐洲聯盟 0.003418(86/152)	和平電廠 0.002782(70/70)	搭公車 0.002345(58/72)	學運領袖 0.002186(50/110)	
基隆市長 0.019879(789/789)	議長黃景泰 0.009675(384/384)	市長選舉 0.007005(276/299)	國民黨提名 0.005997(242/266)	參選基隆 0.005669(225/225)	基隆市議長 0.005518(219/219)	基隆市議會 0.003704(147/147)	黨中央 0.003654(141/490)	媒體訪問 0.003376(138/222)	市長參選人 0.003225(127/712)	
台灣觀光 0.005112(124/266)	交通部觀光局 0.004777(120/300)	8月21日 0.003352(83/134)	今年5月 0.002095(50/354)	阿里山森林 0.001928(48/52)	全民國防 0.001928(46/111)	親水公園 0.001802(41/59)	公安機關 0.001634(39/41)	學習梯隊 0.001593(38/38)	民眾認為 0.001425(35/138)	
中央社翻譯 0.008509(190/318)	金酒公司 0.004653(112/116)	專用道 0.003982(94/181)	金酒廈門 0.003563(85/85)	廈門公司 0.003438(83/83)	液晶電視 0.003396(81/190)	采瑞公司 0.002641(63/63)	衛星導航 0.002012(47/53)	北市政府 0.002012(49/188)	告訴記者 0.002012(48/67)	
人力銀行 0.010757(314/324)	調查顯示 0.005482(158/290)	值得注意 0.005275(144/376)	工作機會 0.004413(132/320)	求職者 0.003793(109/264)	社會新鮮人 0.003655(104/144)	徵才活動 0.003551(103/124)	就業中心 0.00331(95/100)	暑假期間 0.003069(93/302)	就業博覽會 0.002103(64/101)	
主計總處 0.010883(266/372)	金融市場 0.003848(88/199)	上午9時 0.003683(88/246)	七股海鮮節 0.002731(66/66)	中國政府 0.002069(52/282)	量化寬鬆 0.001821(44/93)	官員指出 0.001821(45/162)	馬沙溝音樂節 0.001821(44/44)	稽徵機關 0.001738(43/72)	和平穩定 0.001697(44/117)	
短暫陣雨 0.013278(572/572)	午後雷陣雨 0.007707(333/335)	太平洋高壓 0.00715(308/308)	瞬間大雨 0.006244(269/269)	外圍環流 0.006244(269/269)	熱帶性低氣壓 0.006198(267/267)	補充水分 0.006012(261/310)	氣象局表示 0.005734(242/395)	中央氣象局 0.005687(242/604)	注意防曬 0.0052(224/224)	
馬總統 0.041881(1749/2302)	監察委員 0.009958(415/506)	人事同意權 0.009741(405/405)	國民黨團 0.008704(369/555)	監督條例 0.006028(252/689)	中國國民黨 0.005088(205/416)	同意權投票 0.005064(210/210)	條例草案 0.004244(176/348)	兩岸協議 0.004196(171/581)	協議監督 0.004147(171/503)	
研究人員 0.004284(108/174)	試吃 0.003395(82/130)	聯外道路 0.002425(62/84)	今年6月 0.00194(46/328)	近年來 0.00194(43/320)	巨量資料 0.0019(44/103)	可望帶動 0.001859(47/116)	喝酒 0.001819(46/156)	悠遊卡公司 0.001738(44/136)	公共運輸 0.001657(39/190)	
今天上午 0.006383(163/430)	共同決定 0.004168(113/135)	人民決定 0.003567(91/115)	國安會秘書長 0.00338(87/180)	網路投保 0.002929(78/78)	島國前進 0.002892(75/155)	國台辦發言人 0.002816(74/133)	黑箱服貿 0.002704(72/81)	吸金 0.002591(68/170)	台灣未來 0.002403(62/194)	
競選連任 0.004941(126/182)	歡迎民眾 0.003211(79/204)	俄羅斯總統 0.0028(69/114)	人說 0.002717(66/270)	訂票 0.002512(63/104)	自然生態 0.002347(59/138)	柯文哲表示 0.002347(51/166)	早鳥優惠 0.002306(60/71)	一日遊 0.002182(53/110)	化學物質 0.002141(53/152)	
新北市 0.015147(469/2388)	房仲業者 0.005422(169/216)	住商不動產 0.004107(125/125)	生活機能 0.003253(100/184)	實價登錄 0.002695(80/248)	主任徐佳馨 0.002662(81/81)	新成屋 0.002202(68/86)	永慶房產 0.002136(65/65)	房產集團 0.00207(63/63)	信義房屋 0.001939(58/151)	
新高紀錄 0.005644(134/370)	5月營收 0.005184(129/311)	8月2日 0.005142(125/244)	6月營收 0.004933(118/319)	彰化縣長 0.003846(92/174)	客家文化 0.003387(79/254)	召開股東會 0.002467(60/151)	現金股息 0.002425(63/158)	代理縣長 0.002425(56/85)	旅遊旺季 0.002383(61/158)	
中國大陸 0.080009(3930/4584)	國家主席 0.01118(547/624)	大陸國家 0.010789(515/634)	美國總統 0.00665(319/462)	總統歐巴馬 0.005744(286/400)	主席習 0.004674(221/484)	自由貿易 0.003809(188/474)	報導說 0.003603(174/262)	國關係 0.0035(167/174)	大陸國務院 0.003336(155/322)	
地方政府 0.027591(723/1190)	科技大學 0.007861(205/370)	經濟發展 0.006144(158/1042)	保險公司 0.005992(162/406)	開發單位 0.004427(116/122)	同業公會 0.003359(87/274)	官員表示 0.003206(89/444)	環境影響 0.003053(84/160)	當地居民 0.002939(72/356)	通過環評 0.002786(75/94)	
中央氣象局 0.013857(361/604)	公路總局 0.011994(310/324)	提醒民眾 0.009781(257/426)	氣象局表示 0.005745(153/395)	大豪雨 0.003998(101/143)	租賃公司 0.002873(74/79)	豪雨特報 0.002834(76/137)	累積雨量 0.002756(72/127)	低窪地區 0.002756(74/135)	電動巴士 0.002717(70/72)	
應變中心 0.011358(251/470)	實價登錄 0.003372(78/248)	旗魚酥 0.002928(66/66)	大漲 0.002307(55/130)	王女士 0.002041(46/46)	黃姓少年 0.001864(42/42)	北基合併 0.001819(39/50)	環境商品 0.001686(38/38)	消費滿 0.001509(34/248)	汞含量 0.001509(34/34)	
