台灣高鐵 0.00468(115/252)	實價登錄 0.003215(81/248)	汽車公司 0.003134(78/102)	市場競爭 0.002767(67/112)	到現場 0.002686(65/138)	為新台幣 0.002483(55/112)	高雄捷運 0.002361(57/204)	豐田汽車 0.002157(51/67)	高鐵財務 0.002116(52/52)	相關新聞 0.001913(46/116)	
新北市政府 0.010137(233/470)	爭取連任 0.004652(110/196)	資源回收 0.004345(105/238)	櫃買指數 0.003818(84/106)	雲林縣政府 0.002677(63/96)	喜憨兒 0.00237(54/74)	鼓勵民眾 0.002151(51/168)	義賣活動 0.002151(51/77)	旗魚酥 0.002107(49/66)	觀光人潮 0.001931(45/138)	
購物中心 0.009621(232/358)	衛生福利部 0.004623(112/258)	原物料 0.004415(104/190)	電力公司 0.003624(87/152)	核心處理器 0.002916(71/105)	醫師表示 0.002708(69/98)	全國電子 0.002541(61/135)	表現亮眼 0.002374(59/138)	年輕族群 0.002249(52/230)	電競筆電 0.002208(52/61)	
主管機關 0.013848(356/1112)	協會理事長 0.005979(146/388)	北市政府 0.005131(138/188)	台北捷運 0.004938(125/288)	國際機場 0.004861(123/308)	捷運公司 0.004205(111/218)	富邦人壽 0.004051(106/116)	社會責任 0.003935(102/338)	沒人 0.003202(91/364)	相關規定 0.00297(68/272)	
消息人士 0.011266(250/378)	人士透露 0.002828(60/190)	組合基金 0.002121(47/173)	民眾發現 0.001989(44/61)	成長組合 0.001944(45/48)	來回機票 0.0019(37/125)	黃鎮台先生 0.001679(38/38)	測速照相機 0.001503(34/34)	去年3月 0.001458(29/108)	暑假旅遊 0.00137(31/95)	
台灣產業 0.002556(65/228)	新興亞洲 0.002469(56/110)	財務狀況 0.002382(57/114)	國家經濟 0.001906(48/130)	績效獎金 0.001906(46/65)	生活品質 0.001819(44/202)	專家認為 0.001776(39/152)	遷村 0.001689(41/118)	積極推動 0.001559(36/410)	漲幅逾 0.001473(33/84)	
資料顯示 0.004872(116/536)	季獲利 0.003846(87/202)	值得注意 0.002992(69/376)	接受媒體 0.002521(56/314)	台北市政府 0.002308(52/372)	登記參選 0.002308(54/77)	代店 0.002222(48/105)	花蓮縣黨部 0.002051(48/48)	採購經理人 0.001838(44/103)	月付 0.001795(43/62)	
經濟成長 0.022658(790/864)	經濟成長率 0.010826(373/416)	大陸經濟 0.010051(351/492)	全球經濟 0.007783(277/366)	中國大陸 0.005054(179/4584)	經濟合作 0.00313(111/480)	季經濟 0.002901(93/183)	今年經濟 0.002872(100/100)	中國經濟 0.002815(99/197)	成長幅度 0.00247(82/234)	
注中獎 0.010036(237/237)	經濟部長杜紫軍 0.003092(79/134)	今彩 0.003049(75/83)	提出申請 0.002414(59/196)	鑽油 0.002329(53/73)	中國政府 0.002329(52/282)	油平台 0.00216(49/69)	中獎號碼 0.002118(43/187)	和平穩定 0.001948(43/117)	大陸外交部 0.001948(50/74)	
基本工資 0.02753(696/700)	主管機關 0.016874(432/1112)	都市更新 0.006378(166/342)	外籍勞工 0.004714(116/200)	研究中心 0.004714(114/306)	工資審議 0.004358(101/188)	官員表示 0.00408(98/444)	審議委員會 0.003882(102/290)	勞動部 0.003526(92/460)	人士說 0.003288(78/238)	
台塑集團 0.007858(187/292)	中央社翻譯 0.007566(190/318)	審議委員會 0.006521(154/290)	今年7月 0.005476(124/302)	官員表示 0.003553(82/444)	競選團隊 0.00347(83/193)	集團董事長 0.003428(81/472)	消費市場 0.002926(62/120)	七股海鮮節 0.002759(66/66)	購物中心 0.002717(64/358)	
