經濟發展 0.002643(448/1042)	鐵路電氣化 0.001829(310/310)	花東鐵路 0.001734(294/294)	普悠瑪號 0.001687(286/286)	馬英九總統 0.001628(281/714)	大法人 0.001262(215/361)	台灣人民 0.001198(204/464)	社會責任 0.001074(188/338)	國營事業 0.001038(175/210)	島國前進 0.000914(155/155)	
媒體報導 0.003033(553/830)	推薦新聞 0.002448(456/552)	公路總局 0.001437(268/324)	下午4時 0.001361(237/536)	無人 0.001257(229/540)	高速公路 0.001235(224/264)	台塑集團 0.001104(201/292)	災害應變 0.001044(187/384)	教宗方濟 0.001038(190/190)	環保局表示 0.000814(148/154)	
高雄氣爆 0.011063(2368/2368)	高雄市政府 0.006793(1455/1468)	氣爆事件 0.006167(1320/1320)	罹難者 0.003569(763/784)	高雄市長 0.00334(718/772)	市長陳菊 0.00249(529/884)	石化管線 0.002467(528/528)	石化專區 0.002439(522/522)	應變中心 0.002158(465/470)	台獨黨綱 0.00213(448/491)	
郝龍斌 0.004924(970/1432)	主管機關 0.003928(743/1112)	基本工資 0.003613(700/700)	身心障礙 0.002648(508/520)	今天表示 0.002209(424/1074)	障礙者 0.001621(314/314)	人力銀行 0.001585(307/324)	國寶人壽 0.001523(295/295)	公益活動 0.001497(298/340)	台北市政府 0.001409(279/372)	
台北標準 0.015295(3097/3480)	標準時間 0.015221(3109/3482)	時間下午 0.008261(1675/1758)	時間上午 0.007069(1440/1782)	新鮮事 0.006518(1324/1324)	天下新鮮 0.006439(1308/1308)	達志影像 0.004017(819/828)	基金經理人 0.003924(792/824)	2014年6月 0.003485(703/920)	中央社2014年 0.003087(632/854)	
合併營收 0.005128(1277/1277)	智慧型手機 0.003871(954/1126)	季營收 0.003787(943/943)	歷史新高 0.003651(911/928)	年增 0.002723(679/694)	平板電腦 0.002486(616/636)	電子商務 0.002108(514/722)	創新高 0.001888(465/652)	季成長 0.001631(404/430)	創歷史 0.001406(350/376)	
自由經濟 0.003585(770/770)	經濟示範區 0.003297(708/708)	總統馬英九 0.003273(699/1040)	監督條例 0.003208(689/689)	馬總統 0.003022(630/2302)	服貿協議 0.002906(626/822)	兩岸協議 0.002705(581/581)	國民黨團 0.002584(555/555)	協議監督 0.002342(503/503)	監察委員 0.002324(502/506)	
中國大陸 0.008234(1978/4584)	馬總統 0.005426(1298/2302)	兩岸關係 0.004272(1009/1526)	地方政府 0.002711(660/1190)	大陸國家 0.002669(628/634)	國家主席 0.002639(623/624)	主席習 0.002047(484/484)	房地合一 0.002017(478/478)	相關單位 0.001654(387/708)	再生能源 0.001654(393/444)	
新聞相關 0.008176(1925/2914)	相關影音 0.007785(1824/2756)	台北市長參選人 0.005448(1282/1282)	合宜住宅 0.003982(938/944)	社會住宅 0.003366(792/792)	基隆市長 0.003353(789/789)	參選人連勝文 0.003094(728/728)	市長參選人 0.002737(634/712)	國民黨台北市長 0.002397(564/564)	臉書 0.002227(530/1060)	
來台 0.010346(1922/2678)	國台辦主任 0.002647(496/968)	主任張志軍 0.002631(487/954)	兩岸關係 0.002433(449/1526)	新興市場 0.001948(364/942)	民進黨立委 0.001521(287/734)	行政院長江 0.001451(273/728)	長江宜樺 0.001441(274/702)	中央社翻譯 0.001345(249/318)	政治人物 0.001206(222/498)	
中國大陸 0.010269(1817/4584)	7月1日 0.002465(445/602)	2014年7月 0.002426(428/760)	103年7月 0.002157(386/586)	國是會議 0.00195(339/468)	經貿國是 0.001804(314/440)	搭車 0.001367(241/292)	供應鏈 0.001205(221/584)	今天說 0.001132(204/628)	戶政事務所 0.001076(194/200)	
新藥 0.002023(365/454)	購物中心 0.001477(268/358)	大陸市場 0.001363(247/674)	今天上午 0.001342(248/430)	協會理事長 0.001331(241/388)	保險公司 0.001212(220/406)	都市更新 0.001169(219/342)	統一渡假村 0.001087(202/205)	消息人士 0.001082(200/378)	中央公園 0.001055(194/200)	
國家公園 0.001658(352/484)	家扶中心 0.001553(324/353)	12年國教 0.001505(313/404)	十二年國教 0.001337(282/352)	免試入學 0.001318(275/275)	客家文化 0.001136(236/254)	永續發展 0.001059(218/262)	8月1日 0.001049(216/438)	氣候變遷 0.000973(202/360)	台中市政府 0.000954(206/312)	
新北市 0.007525(1476/2388)	中華電信 0.005332(1033/1046)	新北市長 0.004401(844/1236)	市長朱立倫 0.00392(749/1004)	市長胡志強 0.003088(595/654)	台中市長 0.002969(582/622)	訪台 0.002612(503/858)	新北市政府 0.001831(361/470)	召開記者會 0.001784(347/822)	市長陳菊 0.001764(346/884)	
中央氣象局 0.003317(604/604)	短暫陣雨 0.003141(572/572)	氣象局表示 0.002169(395/395)	提醒民眾 0.002136(388/426)	經濟成長 0.002098(374/864)	午後雷陣雨 0.001834(335/335)	補充水分 0.001702(310/310)	太平洋高壓 0.001691(308/308)	台灣經濟 0.001532(289/728)	瞬間大雨 0.001477(269/269)	
