基金經理人 0.019313(786/824)	貨幣政策 0.007016(279/346)	企業獲利 0.00599(244/251)	法人表示 0.00533(217/447)	地緣政治 0.00511(210/218)	歐洲央行 0.005036(209/212)	經濟數據 0.004327(177/206)	資料顯示 0.004181(181/536)	新興市場 0.003741(154/942)	全球股市 0.003716(153/159)	
消息人士 0.006086(196/378)	黨中央 0.005608(170/490)	飛彈擊落 0.003728(117/198)	馬航班機 0.003123(96/98)	馬來西亞航空 0.002931(96/146)	烏克蘭危機 0.002708(84/105)	總統蒲亭 0.002677(85/85)	在野大聯盟 0.002613(77/211)	中央社翻譯 0.002485(79/318)	彰化縣長 0.002485(80/174)	
家扶中心 0.013638(308/353)	網路簡訊 0.006529(146/146)	皇家公主號 0.002415(54/54)	公主遊輪 0.002326(53/54)	不動產統一 0.002057(46/46)	統一登記 0.002057(46/46)	電話號碼 0.001834(42/90)	2013年3月 0.001789(40/104)	省市 0.001655(41/94)	大醫院 0.001476(34/58)	
馬總統 0.08046(2012/2302)	總統馬英九 0.008891(232/1040)	人事同意權 0.006689(170/405)	總統說 0.005407(139/350)	金融海嘯 0.004045(106/272)	就職典禮 0.003925(97/176)	總統表示 0.003725(95/240)	馬英九總統 0.003485(83/714)	新任總統 0.003244(81/140)	大陸政府 0.003004(79/234)	
高速公路 0.009178(213/264)	國泰世華 0.002915(66/193)	不少人 0.002219(47/226)	兩岸民間 0.002132(49/49)	永續經營 0.002001(51/140)	商業模式 0.002001(44/84)	要求市府 0.001914(43/76)	深圳分行 0.001914(44/44)	基福公路 0.001914(44/58)	和平協議 0.001871(44/79)	
成交金額 0.009612(214/456)	上市公司 0.008422(181/260)	證券交易所 0.003845(84/152)	集中市場 0.003113(68/106)	證交所表示 0.003067(71/95)	加權股價 0.00293(68/162)	差別收費 0.002609(57/61)	波段新高 0.00238(52/131)	台灣證券 0.002197(45/73)	台北時間 0.002152(44/98)	
103年7月 0.019921(461/586)	馬英九總統 0.004465(100/714)	公告現值 0.003993(98/142)	政治人物 0.003607(87/498)	金額新台幣 0.003092(72/191)	違規項目 0.002276(53/53)	市長提名人 0.002147(51/105)	雲林縣長 0.001975(48/62)	對策委員會 0.001975(44/56)	選舉對策 0.001804(42/54)	
民進黨主席 0.012347(290/598)	基本工資 0.01129(265/700)	政治人物 0.011121(260/498)	參選人柯文哲 0.008415(197/540)	工資審議 0.00795(188/188)	審議委員會 0.005962(143/290)	物價指數 0.003637(82/292)	自由時報2014年 0.003129(69/316)	競選辦公室 0.002833(68/181)	6月29日 0.002495(55/190)	
快捷巴士 0.006222(169/202)	台灣大道 0.006004(166/246)	局長林良泰 0.004694(129/131)	提出申請 0.00433(120/196)	今年7月 0.004221(125/302)	保險公司 0.003457(89/406)	靜宜大學 0.003384(94/98)	交通局長 0.002875(77/251)	租賃公司 0.00262(73/79)	電動巴士 0.00262(72/72)	
七股海鮮節 0.002803(66/66)	夢時代 0.002463(59/70)	銀髮俱樂部 0.002378(56/56)	國家公園 0.002336(57/484)	期貨市場 0.002251(51/78)	土地徵收 0.002123(53/138)	市民活動中心 0.002081(49/51)	教育部長蔣偉寧 0.001954(45/134)	馬沙溝音樂節 0.001869(44/44)	財團法人 0.001826(36/290)	
基隆市長 0.022386(789/789)	議長黃景泰 0.006923(244/384)	參選基隆 0.006384(225/225)	國民黨提名 0.006185(217/266)	基隆市議會 0.004114(147/147)	黨中央 0.003972(144/490)	市議會議長 0.003689(128/132)	諮詢委員 0.00349(123/144)	市長選舉 0.003348(120/299)	國民黨基隆 0.003348(118/118)	
新北市 0.003528(89/2388)	永慶房產 0.002625(61/65)	房產集團 0.002539(59/63)	大漲 0.002238(60/130)	董事總經理 0.002066(47/70)	中心經理 0.001937(45/45)	送愛 0.001893(43/71)	高峰論壇 0.001807(41/62)	壽險業者 0.001807(42/83)	家扶兒 0.001764(41/62)	
女王頭 0.004732(110/110)	來台 0.002711(66/2678)	聲明指出 0.002237(53/184)	大陸地區 0.002151(52/226)	管理條例 0.002065(51/92)	8月11日 0.002065(52/98)	蘋果公司 0.002065(46/117)	造成嚴重 0.001936(46/196)	代店 0.001936(47/105)	跨領域 0.001721(40/98)	
縣長參選人 0.009885(227/253)	公路總局 0.006708(149/324)	生命財產 0.002428(54/154)	彰化縣長 0.002428(52/174)	外貿協會 0.002295(48/230)	生物科技 0.002163(49/170)	財產安全 0.001898(45/124)	醫療服務 0.00181(47/114)	海外市場 0.001413(31/174)	蓬勃發展 0.001368(28/174)	
103年6月 0.018897(473/604)	道瓊工業 0.006431(162/173)	智慧手機 0.006076(151/348)	指數上漲 0.005957(152/293)	指數下跌 0.005642(139/209)	交換意見 0.004932(116/358)	英國倫敦 0.004853(121/158)	創新高 0.00434(114/652)	費城半導體 0.003985(102/107)	半導體指數 0.003945(99/105)	
經濟成長 0.026249(733/864)	大陸經濟 0.010916(306/492)	經濟成長率 0.010055(276/416)	全球經濟 0.006177(176/366)	都市計畫 0.005422(153/444)	高雄市府 0.004094(116/212)	經濟合作 0.004058(110/480)	今年經濟 0.003555(100/100)	成長幅度 0.003017(86/234)	中國經濟 0.002945(81/197)	
氣候變遷 0.010331(242/360)	生物多樣性 0.006916(164/248)	加密手機 0.004386(105/105)	生態旅遊 0.004091(96/117)	環境保護 0.003838(93/274)	奈米製程 0.003374(79/178)	排放量 0.002699(67/106)	調查報告 0.002699(63/242)	水資源 0.002657(67/190)	再生能源 0.002446(58/444)	
都市計畫 0.005328(135/444)	桃園航空城 0.005126(132/208)	實價課稅 0.005086(125/390)	區段徵收 0.004763(120/170)	南韓總統 0.004763(111/186)	專案小組 0.0044(113/266)	航空城計畫 0.0044(109/114)	總統朴槿惠 0.003835(89/228)	大陸地區 0.002745(68/226)	國際機場 0.002705(72/308)	
行政院長江宜樺 0.004482(107/196)	國際社會 0.00436(104/252)	台北市議員 0.003545(82/208)	今年2月 0.003463(88/266)	資料照片 0.003341(81/164)	調查報告 0.002404(67/242)	新任總統 0.0022(52/140)	法律諮詢 0.002078(51/51)	葉世文涉 0.001997(49/105)	月餅禮盒 0.001915(46/162)	
產業發展 0.005637(134/754)	模範父親 0.004271(100/121)	解決方案 0.003716(84/466)	雲端運算 0.00363(83/194)	到台灣 0.002563(64/276)	巴西世界盃 0.00252(52/100)	汽車零件 0.002477(58/58)	大陸官方 0.002178(52/286)	近年來 0.002136(56/320)	颱風期間 0.001879(42/53)	
大飯店 0.016262(376/448)	大法人 0.008368(196/361)	世足賽 0.004616(108/400)	訪台 0.004443(98/858)	分離主義 0.004357(99/179)	晶華酒店 0.004055(95/140)	台灣觀光 0.003451(82/266)	股王大立光 0.003063(69/131)	旺旺集團 0.002761(63/82)	黃色小鴨 0.002416(56/67)	
主管機關 0.032269(819/1112)	基本工資 0.015314(392/700)	修正草案 0.00547(145/286)	器官捐贈 0.005118(131/131)	基層員工 0.003516(90/95)	員工加薪 0.003438(87/130)	相關規定 0.003087(73/272)	台北外匯 0.002969(76/76)	發展條例 0.002852(74/89)	中小企業發展 0.002813(71/81)	
加權指數 0.005103(148/219)	新台幣兌 0.004681(133/259)	字頭 0.004681(129/188)	國際股市 0.003062(93/101)	做事 0.002886(75/280)	標準普爾 0.002851(79/110)	高檔震盪 0.002675(79/115)	大法人 0.002288(63/361)	香港馬會 0.002147(61/61)	成交比重 0.002147(62/62)	
智慧型手機 0.014925(474/1126)	平板電腦 0.010774(338/636)	十二年國教 0.010584(334/352)	12年國教 0.010394(331/404)	免試入學 0.008714(275/275)	特色招生 0.005292(167/167)	合作夥伴 0.003454(108/298)	基北區 0.003391(107/107)	志願序 0.003232(103/129)	國中會考 0.003042(96/117)	
政務委員 0.007569(184/222)	發言人孫立群 0.00524(127/262)	今年4月 0.004949(106/366)	行政院發言人 0.004658(112/224)	行政院政務 0.004325(106/116)	信義房屋 0.004325(106/151)	房仲業者 0.003785(90/216)	生活機能 0.003618(91/184)	沒問題 0.00341(79/196)	金額為 0.003202(92/182)	
今天表示 0.020932(475/1074)	太陽花 0.014454(334/416)	花學運 0.013(306/382)	國家公園 0.008593(197/484)	大股東 0.006434(145/356)	自由行 0.004892(115/186)	報導指出 0.004804(108/498)	日本政府 0.004495(100/384)	系列活動 0.004275(97/226)	金融服務 0.003702(80/172)	
來台 0.068314(1799/2678)	陸客來 0.004225(119/216)	行動電源 0.003395(88/160)	穩定成長 0.00298(83/200)	台旅遊 0.002641(72/92)	統計局 0.002565(65/98)	市場發展 0.002377(63/118)	台灣民眾 0.002264(58/560)	國家統計 0.002226(57/79)	返家 0.001962(48/138)	
台獨黨綱 0.016666(478/491)	高雄市長 0.014108(398/772)	主席蔡英文 0.013312(375/566)	支持者 0.012483(372/526)	市長賴清德 0.010131(291/388)	總統大選 0.009405(282/460)	台南市長 0.008403(244/298)	鴻海集團 0.008057(236/344)	董事長郭台銘 0.00778(226/256)	服貿協議 0.007607(219/822)	
