房地合一 0.00331(478/478)	臉書 0.002978(423/1060)	新藥 0.002888(422/454)	實價課稅 0.002687(388/390)	翠玉白菜 0.002389(346/346)	故宮博物院 0.002188(316/316)	鐵路電氣化 0.002147(310/310)	花東鐵路 0.002036(294/294)	普悠瑪號 0.001981(286/286)	國立故宮 0.001974(285/285)	
新北市長 0.00586(811/1236)	市長朱立倫 0.005243(731/1004)	新北市 0.004743(662/2388)	市長陳菊 0.002923(390/884)	航空公司 0.002502(352/808)	新北市政府 0.002459(349/470)	召開記者會 0.002386(321/822)	伊波拉病毒 0.002118(292/292)	人力銀行 0.001915(262/324)	訪台 0.001871(254/858)	
相關影音 0.011715(1574/2756)	新聞相關 0.011474(1528/2914)	新北市 0.006782(856/2388)	新興市場 0.002716(356/942)	冰桶挑戰 0.002331(302/318)	國民黨立委 0.002173(284/486)	縣長吳志揚 0.001795(239/374)	副縣長 0.001554(207/562)	財富管理 0.001365(173/218)	成長動能 0.001237(167/402)	
中華電信 0.007369(1034/1046)	中央氣象局 0.004321(604/604)	短暫陣雨 0.004092(572/572)	媒體報導 0.003498(489/830)	氣象局表示 0.002826(395/395)	提醒民眾 0.00274(381/426)	身心障礙 0.002497(350/520)	午後雷陣雨 0.002382(333/335)	補充水分 0.002218(310/310)	太平洋高壓 0.002204(308/308)	
馬總統 0.009315(1297/2302)	郝龍斌 0.008451(1164/1432)	今天表示 0.0028(400/1074)	台北市長郝 0.002336(327/440)	馬英九總統 0.002169(291/714)	達人 0.001727(243/414)	議長黃景泰 0.001509(202/384)	台北市政府 0.001284(177/372)	今年4月 0.001212(168/366)	8月7日 0.001146(158/280)	
民進黨主席 0.002235(290/598)	政治人物 0.001989(263/498)	貿易協議 0.001498(196/339)	中央社翻譯 0.001467(193/318)	服務貿易 0.001444(183/313)	台北國際 0.001321(171/332)	參選人柯文哲 0.001306(171/540)	無人 0.001221(163/540)	資源回收 0.001098(144/238)	靖國神社 0.001045(136/136)	
2014年7月 0.002937(424/760)	自由貿易 0.002848(409/474)	相關單位 0.002765(391/708)	103年8月 0.002634(383/580)	服貿協議 0.002255(331/822)	夥伴協定 0.001751(253/257)	區域經濟 0.001744(247/394)	再生能源 0.0016(227/444)	成交金額 0.001393(191/456)	石化產業 0.001379(206/321)	
智慧型手機 0.003458(480/1126)	103年7月 0.002963(396/586)	平板電腦 0.002577(349/636)	主辦單位 0.00222(315/532)	重大新聞 0.002053(282/332)	推播通知 0.002031(280/332)	快下載 0.002031(276/330)	通知快 0.002009(279/330)	彭博報導 0.001551(220/394)	推薦新聞 0.001514(208/552)	
主管機關 0.004698(727/1112)	基本工資 0.004473(697/700)	審議委員會 0.001739(273/290)	生物多樣性 0.001572(243/248)	購物中心 0.001444(216/358)	大股東 0.001277(201/356)	戶政事務所 0.001277(200/200)	台灣高鐵 0.001264(198/252)	氣候變遷 0.001219(194/360)	物價指數 0.001213(191/292)	
基隆市長 0.005575(789/789)	總統馬英九 0.003922(550/1040)	公路總局 0.002233(318/324)	台灣經濟 0.001929(275/728)	高速公路 0.00159(223/264)	參選基隆 0.00159(225/225)	議長黃景泰 0.001244(182/384)	上午8時 0.001102(154/282)	快速道路 0.001011(137/158)	國民黨提名 0.000968(131/266)	
中國大陸 0.019755(2697/4584)	12年國教 0.002774(377/404)	十二年國教 0.002563(352/352)	推薦新聞 0.002112(291/552)	免試入學 0.002002(275/275)	鴻海集團 0.001799(245/344)	美國總統 0.001711(237/462)	總統歐巴馬 0.001529(203/400)	統一渡假村 0.001493(205/205)	人工生殖 0.001478(203/203)	
兩岸關係 0.008259(1526/1526)	國台辦主任 0.005239(968/968)	主任張志軍 0.005163(954/954)	合宜住宅 0.00505(932/944)	來台 0.00433(830/2678)	訪台 0.00321(597/858)	馬政府 0.002739(515/612)	社會住宅 0.002728(500/792)	經濟發展 0.002587(497/1042)	大陸國台辦 0.002419(447/628)	
來台 0.007502(1234/2678)	中國大陸 0.004868(824/4584)	集體自衛權 0.002287(381/381)	日本政府 0.002065(345/384)	經濟發展 0.001278(218/1042)	研究中心 0.001158(192/306)	報導指出 0.001152(194/498)	美日 0.001152(192/196)	國家主席 0.00114(181/624)	教宗方濟 0.00114(190/190)	
合併營收 0.006888(1277/1277)	季營收 0.005087(943/943)	歷史新高 0.004693(870/928)	地方政府 0.002859(529/1190)	智慧型手機 0.002697(495/1126)	新產品 0.002643(494/521)	年增 0.002179(403/694)	季成長 0.002125(395/430)	法人預估 0.001845(342/342)	季合併 0.001839(341/341)	
主計總處 0.002168(314/372)	國家公園 0.001953(282/484)	消息人士 0.001835(258/378)	外貿協會 0.001445(209/230)	台塑集團 0.001438(209/292)	官員說 0.001202(176/324)	資本市場 0.001098(153/343)	今天下午 0.00107(159/406)	台灣經濟 0.001022(138/728)	歐洲聯盟 0.001008(148/152)	
高雄市政府 0.004434(625/1468)	國是會議 0.003164(446/468)	經貿國是 0.003001(428/440)	實價登錄 0.001476(212/248)	新聞專輯 0.001362(190/388)	國家安全 0.001291(184/422)	數據顯示 0.00127(179/302)	8月2日 0.001185(168/244)	財團法人 0.001135(160/290)	舉行記者會 0.001071(148/308)	
高雄氣爆 0.011584(2359/2368)	氣爆事件 0.006473(1319/1320)	高雄市政府 0.003952(807/1468)	自由經濟 0.003765(767/770)	經濟示範區 0.00348(708/708)	馬總統 0.00347(707/2302)	民進黨立委 0.003268(665/734)	監督條例 0.003205(654/689)	罹難者 0.003087(620/784)	高雄市長 0.003003(613/772)	
台北市長參選人 0.007588(1282/1282)	參選人連勝文 0.004309(728/728)	市長參選人 0.004001(674/712)	國民黨台北市長 0.003338(564/564)	新北市長 0.002267(372/1236)	參選人柯文哲 0.00219(369/540)	台中市長 0.002143(367/622)	競選總部 0.002119(358/358)	市長胡志強 0.002066(352/654)	柯文哲說 0.001977(334/334)	
基金經理人 0.004486(824/824)	經濟成長 0.004399(803/864)	新興市場 0.003016(552/942)	高收益 0.00264(485/485)	經濟成長率 0.002221(406/416)	大陸經濟 0.001884(349/492)	貨幣政策 0.001884(346/346)	收益債 0.001791(329/329)	法人表示 0.001557(285/447)	全球經濟 0.001541(279/366)	
標準時間 0.022063(3395/3482)	台北標準 0.022057(3392/3480)	時間下午 0.011388(1758/1758)	時間上午 0.011032(1701/1782)	新鮮事 0.008577(1324/1324)	天下新鮮 0.008473(1308/1308)	達志影像 0.005111(788/828)	週四台北 0.004975(762/804)	中央社2014年 0.004949(765/854)	2014年6月 0.004794(740/920)	
