中國大陸 0.015449(1737/4584)	推薦新聞 0.003922(450/552)	台塑集團 0.002465(282/292)	家扶中心 0.002421(278/353)	競爭對手 0.001763(200/326)	做事 0.001316(149/280)	嚴部長 0.001298(148/148)	黃埔建軍 0.001298(148/148)	美國國防部 0.001184(137/166)	河靜鋼鐵 0.001123(128/128)	
國是會議 0.004317(468/468)	經貿國是 0.004059(440/440)	基本工資 0.002777(301/700)	審議委員會 0.002454(265/290)	注中獎 0.002186(237/237)	石化產業 0.001919(217/321)	教宗方濟 0.001753(190/190)	工資審議 0.001734(188/188)	勞動部 0.00167(187/460)	投資者 0.001633(174/362)	
年增 0.002293(307/694)	中國大陸 0.002093(270/4584)	電子商務 0.001946(245/722)	大股東 0.001885(254/356)	現金股利 0.001631(216/282)	為例 0.001516(195/836)	市場預期 0.001492(190/358)	金融海嘯 0.001239(160/272)	新興市場 0.0012(169/942)	大陸政府 0.001154(149/234)	
彭博報導 0.002281(250/394)	8月1日 0.001966(195/438)	勞動部 0.001252(136/460)	器官捐贈 0.001215(131/131)	貿易協定 0.001215(133/328)	研究中心 0.001076(124/306)	洽詢電話 0.001066(122/302)	工作機會 0.001048(116/320)	歐洲聯盟 0.00102(112/152)	台灣高鐵 0.000992(107/252)	
社會住宅 0.006395(777/792)	行政院長江 0.004431(529/728)	長江宜樺 0.004225(516/702)	房地合一 0.003944(478/478)	新北市 0.003482(433/2388)	實價課稅 0.003218(390/390)	都市更新 0.002608(311/342)	地方政府 0.002525(311/1190)	民進黨立委 0.00241(294/734)	住宅政策 0.00236(286/286)	
新聞相關 0.013047(1823/2914)	相關影音 0.012523(1743/2756)	新北市長 0.008665(1214/1236)	市長朱立倫 0.006973(983/1004)	基隆市長 0.005586(789/789)	市長參選人 0.00504(712/712)	新北市 0.004757(675/2388)	台中市長 0.004248(603/622)	市長胡志強 0.004212(591/654)	召開記者會 0.003164(458/822)	
新興市場 0.006358(693/942)	經濟成長 0.006001(675/864)	身心障礙 0.00412(468/520)	高收益 0.003852(428/485)	經濟成長率 0.002773(317/416)	障礙者 0.002247(245/314)	大陸經濟 0.002211(243/492)	收益債 0.002167(252/329)	影像較少 0.002042(234/498)	為例 0.002006(228/836)	
主辦單位 0.003559(419/532)	大飯店 0.003111(371/448)	七夕情人節 0.001505(178/184)	8月2日 0.001471(174/244)	購票 0.001446(175/238)	今年4月 0.001429(171/366)	台北國際 0.001387(164/332)	值得注意 0.001184(144/376)	產業發展 0.001184(141/754)	客家文化 0.001057(126/254)	
來台 0.014287(2190/2678)	兩岸關係 0.009907(1522/1526)	國台辦主任 0.006301(968/968)	主任張志軍 0.00621(954/954)	訪台 0.003938(601/858)	經濟發展 0.003268(492/1042)	台灣人民 0.003014(462/464)	總統馬英九 0.002949(456/1040)	服貿協議 0.00289(442/822)	大陸國台辦 0.00289(439/628)	
郝龍斌 0.01025(1103/1432)	新北市 0.007296(784/2388)	主管機關 0.007046(760/1112)	地方政府 0.004889(530/1190)	基本工資 0.003685(392/700)	103年7月 0.003565(389/586)	馬政府 0.003194(345/612)	台北市長郝 0.002917(315/440)	台北市政府 0.002185(235/372)	今天上午 0.00212(238/430)	
臉書 0.004004(451/1060)	鐵路電氣化 0.002765(310/310)	花東鐵路 0.002622(294/294)	普悠瑪號 0.002551(286/286)	科技大學 0.001748(191/370)	協會理事長 0.001659(189/388)	到台東 0.001373(156/192)	網路簡訊 0.001302(146/146)	副主委張顯耀 0.001258(143/149)	經濟發展 0.00124(134/1042)	
