社會住宅 0.007676(781/792)	合宜住宅 0.006077(613/944)	新北市 0.004627(473/2388)	國寶人壽 0.002911(295/295)	住宅政策 0.002822(286/286)	副縣長 0.002437(250/562)	都市計畫 0.002289(232/444)	地方政府 0.002111(218/1190)	租金補貼 0.002042(210/222)	中央公園 0.001894(190/200)	
行動裝置 0.002928(262/422)	國際油價 0.002187(192/207)	空氣品質 0.00184(164/186)	中油公司 0.001795(160/212)	無鉛汽油 0.00166(148/148)	來台灣 0.001425(123/286)	做公益 0.001391(115/262)	近年來 0.001043(94/320)	浮動油價 0.000942(84/84)	國民黨中常會 0.000931(80/204)	
地方政府 0.006552(626/1190)	罹難者 0.00442(429/784)	新北市 0.003629(333/2388)	都市更新 0.002662(256/342)	數據顯示 0.001477(142/302)	永續發展 0.001435(133/262)	都市計畫 0.001269(121/444)	開發單位 0.001269(122/122)	營收為 0.001248(114/321)	公共設施 0.001238(121/176)	
合宜住宅 0.003462(321/944)	工作人員 0.003278(300/512)	協會理事長 0.002596(240/388)	自由經濟 0.002239(199/770)	求職者 0.002239(215/264)	經濟示範區 0.002131(200/708)	地方法院 0.002055(192/218)	特別條例 0.002001(183/392)	發展協會 0.001763(164/250)	氣候變遷 0.001558(141/360)	
臉書 0.005087(452/1060)	經濟成長 0.004323(391/864)	下午4時 0.002369(213/536)	壽險公司 0.002325(210/273)	新產品 0.002302(204/521)	台北捷運 0.001954(171/288)	經濟成長率 0.001887(165/416)	大陸經濟 0.001875(167/492)	捷運公司 0.001763(158/218)	值得注意 0.001662(142/376)	
中國大陸 0.024255(3584/4584)	國家主席 0.004211(624/624)	大陸國家 0.004151(620/634)	美國總統 0.003118(462/462)	集體自衛權 0.002571(381/381)	總統歐巴馬 0.002538(378/400)	主席習 0.002396(355/484)	消息人士 0.002376(349/378)	今天說 0.002031(297/628)	民進黨立委 0.00189(280/734)	
郝龍斌 0.013072(1432/1432)	高雄市長 0.004866(531/772)	馬總統 0.004811(530/2302)	新北市長 0.004418(498/1236)	台獨黨綱 0.004382(482/491)	主席蔡英文 0.004081(442/566)	台北市長郝 0.004017(440/440)	台灣人民 0.003834(417/464)	支持者 0.003442(366/526)	總統說 0.003195(349/350)	
台北市長參選人 0.012385(1282/1282)	參選人連勝文 0.007033(728/728)	高雄市政府 0.00598(605/1468)	國民黨台北市長 0.005449(564/564)	參選人柯文哲 0.003594(369/540)	柯文哲說 0.003227(332/334)	在野整合 0.00284(294/294)	醫師柯文哲 0.002551(264/264)	台大醫師 0.00228(236/236)	黨中央 0.002(204/490)	
中華電信 0.010149(1045/1046)	新北市 0.004501(457/2388)	主辦單位 0.003354(354/532)	十二年國教 0.002187(235/352)	無人 0.002148(217/540)	亞太電信 0.002071(213/223)	台灣大 0.002022(206/214)	統一渡假村 0.001954(201/205)	台灣大哥大 0.001925(198/198)	觀光旅遊局 0.00176(180/200)	
航空公司 0.005988(683/808)	中央氣象局 0.005227(604/604)	短暫陣雨 0.00495(572/572)	復興航空 0.003704(442/668)	氣象局表示 0.003418(395/395)	提醒民眾 0.003418(393/426)	午後雷陣雨 0.002882(335/335)	補充水分 0.002683(310/310)	太平洋高壓 0.002665(308/308)	麥德姆颱風 0.002553(285/322)	
基金經理人 0.005972(803/824)	彭博報導 0.00283(380/394)	主計總處 0.002748(370/372)	貨幣政策 0.002533(342/346)	新興市場 0.002214(290/942)	經濟成長 0.00211(298/864)	企業獲利 0.001864(251/251)	受訪者 0.001686(237/294)	法人表示 0.001612(217/447)	美國經濟 0.001604(215/216)	
台塑集團 0.003(280/292)	國家公園 0.00285(261/484)	發表聲明 0.002271(203/404)	運動中心 0.001843(172/172)	做事 0.00181(172/280)	系列活動 0.001586(147/226)	器官捐贈 0.001403(131/131)	河靜鋼鐵 0.001371(128/128)	外銷訂單 0.001221(114/118)	一般民眾 0.001103(100/240)	
來台 0.015248(1490/2678)	馬總統 0.008791(842/2302)	房地合一 0.004892(478/478)	大飯店 0.003971(386/448)	成交金額 0.002958(291/456)	實價課稅 0.002651(261/390)	勞動部 0.002149(209/460)	行政院長江 0.001883(182/728)	長江宜樺 0.00175(175/702)	上市公司 0.00175(170/260)	
台中市長 0.00384(383/622)	新興市場 0.003431(342/942)	103年6月 0.003291(314/604)	市長胡志強 0.002962(297/654)	審議委員會 0.002683(270/290)	基本工資 0.002543(252/700)	電子商務 0.002533(254/722)	產業發展 0.002473(244/754)	議長黃景泰 0.002084(209/384)	大台中 0.002074(207/218)	
高雄氣爆 0.017657(2364/2368)	氣爆事件 0.009868(1320/1320)	高雄市政府 0.00613(831/1468)	2014年8月 0.004014(523/796)	氣爆意外 0.00299(400/402)	李長榮化工 0.002706(362/362)	石化氣爆 0.002318(310/310)	發生氣爆 0.002258(302/302)	氣爆傷亡 0.002048(274/274)	罹難者 0.002004(265/784)	
今天表示 0.004405(522/1074)	自由貿易 0.003606(432/474)	電子商務 0.002757(345/722)	中國大陸 0.002557(313/4584)	大陸市場 0.002307(284/674)	市場需求 0.002232(266/440)	貿易協定 0.002174(268/328)	鴻海集團 0.001882(222/344)	董事長郭台銘 0.001807(214/256)	太陽花 0.001799(217/416)	
新北市 0.005244(499/2388)	新北市長 0.004885(459/1236)	智慧型手機 0.004685(444/1126)	訪台 0.004062(381/858)	市長朱立倫 0.003862(368/1004)	市長陳菊 0.003514(339/884)	重大新聞 0.00344(325/332)	推播通知 0.003387(323/332)	通知快 0.003387(318/330)	快下載 0.003377(322/330)	
基隆市長 0.007875(789/789)	媒體報導 0.00524(526/830)	時間上午 0.004871(500/1782)	市長參選人 0.003953(402/712)	翠玉白菜 0.003454(346/346)	故宮博物院 0.003134(314/316)	上午6時 0.003014(307/624)	國立故宮 0.002845(285/285)	推薦新聞 0.002785(281/552)	國民黨提名 0.002465(249/266)	
