身心障礙 0.004467(372/520)	求職者 0.002522(212/264)	工作人員 0.00251(206/512)	障礙者 0.00209(174/314)	大飯店 0.002066(172/448)	工作機會 0.001609(138/320)	台北捷運 0.001393(107/288)	電信業者 0.001369(112/284)	捷運公司 0.001225(101/218)	森林遊樂區 0.001153(93/113)	
新藥 0.005614(435/454)	大陸市場 0.003332(251/674)	弱勢家庭 0.002961(223/316)	通訊軟體 0.001448(120/188)	購票 0.001423(110/238)	女學生 0.001333(104/128)	做事 0.00123(95/280)	無人 0.001218(98/540)	臨床試驗 0.001154(89/122)	今年7月 0.001115(86/302)	
台獨黨綱 0.005558(455/491)	高雄市長 0.004655(376/772)	支持者 0.004003(312/526)	市長賴清德 0.003877(301/388)	主席蔡英文 0.003852(310/566)	台南市長 0.002999(236/298)	總統大選 0.002911(243/460)	服貿協議 0.002497(203/822)	國道收費員 0.002058(164/164)	都市更新 0.002033(158/342)	
今天表示 0.006257(498/1074)	103年6月 0.003767(310/604)	協會理事長 0.002974(244/388)	新產品 0.002453(193/521)	人才招募 0.002342(189/197)	自由貿易 0.002268(194/474)	7月1日 0.002131(175/602)	生物多樣性 0.00197(160/248)	交換意見 0.001611(135/358)	太陽花 0.001499(123/416)	
合併營收 0.005755(460/1277)	重大新聞 0.004145(332/332)	通知快 0.00412(330/330)	快下載 0.00412(327/330)	推播通知 0.004107(331/332)	創新高 0.003208(260/652)	數據顯示 0.002497(207/302)	新車 0.002322(186/358)	代表處 0.001985(161/286)	競選總部 0.001673(136/358)	
地方政府 0.006546(570/1190)	復興航空 0.005632(489/668)	103年7月 0.004742(425/586)	2014年7月 0.003423(295/760)	航空公司 0.003342(284/808)	澎湖空難 0.001723(157/226)	國泰人壽 0.001596(138/159)	社會責任 0.001573(136/338)	達志2014年 0.001561(132/258)	罹難者 0.001307(112/784)	
台北市長參選人 0.009052(826/1282)	參選人連勝文 0.008026(728/728)	國民黨台北市長 0.006218(564/564)	臉書 0.005535(499/1060)	參選人柯文哲 0.003958(364/540)	柯文哲說 0.003506(317/334)	在野整合 0.002348(222/294)	競選總幹事 0.002051(185/188)	資本市場 0.001709(155/343)	連勝文競選 0.001654(150/150)	
馬英九總統 0.00345(295/714)	黨中央 0.002944(259/490)	在野大聯盟 0.002173(196/211)	今年4月 0.001909(160/366)	爭取連任 0.001587(136/196)	中共中央 0.001564(135/272)	人受傷 0.001288(111/330)	監察委員 0.001277(108/506)	縣長選舉 0.001219(106/106)	國民黨提名 0.001185(102/266)	
行政院長江 0.00582(443/728)	長江宜樺 0.005755(439/702)	103年8月 0.005181(402/580)	民進黨立委 0.004306(339/734)	中獎號碼 0.00244(187/187)	江宜樺 0.002362(173/300)	發展協會 0.002245(168/250)	彰化縣長 0.001644(128/174)	號碼為 0.001553(121/137)	考試委員 0.00137(108/247)	
中華電信 0.009795(830/1046)	推薦新聞 0.005338(443/552)	集團旗下 0.001907(154/382)	黃埔建軍 0.001764(146/148)	公司董事長 0.001716(142/320)	金融機構 0.001656(142/352)	都市計畫 0.001645(140/444)	嚴部長 0.001621(138/148)	河靜鋼鐵 0.001525(128/128)	科技公司 0.001347(109/262)	
再生能源 0.005255(441/444)	市長參選人 0.003095(257/712)	台北國際 0.002328(193/332)	解決方案 0.00216(181/466)	民調結果 0.002052(172/326)	太陽光電 0.002028(168/174)	綠建築 0.00174(147/196)	國際市場 0.001704(142/254)	變形金剛 0.001608(133/182)	業者表示 0.001596(134/346)	
兩岸關係 0.014008(1519/1526)	國台辦主任 0.008939(968/968)	主任張志軍 0.008809(954/954)	來台 0.006787(750/2678)	訪台 0.005587(608/858)	大陸國台辦 0.004155(444/628)	陸委會主委 0.003657(396/396)	主委王郁琦 0.003601(390/390)	和平發展 0.003518(376/390)	台灣民眾 0.003001(333/560)	
台灣經濟 0.0044(401/728)	家扶中心 0.003727(329/353)	鐵路電氣化 0.00348(310/310)	花東鐵路 0.0033(294/294)	普悠瑪號 0.00321(286/286)	大飯店 0.002223(197/448)	到台東 0.002155(192/192)	交通部觀光局 0.001964(180/300)	工作人員 0.001661(148/512)	103年6月 0.001661(144/604)	
季營收 0.006893(942/943)	歷史新高 0.006315(872/928)	合併營收 0.005964(815/1277)	智慧型手機 0.00353(480/1126)	季成長 0.002909(402/430)	年增 0.002683(370/694)	法人預估 0.0025(342/342)	新高紀錄 0.00231(317/370)	6月營收 0.002273(311/319)	5月營收 0.002259(309/311)	
台中市長 0.003402(313/622)	搭車 0.002458(222/292)	交通局長 0.00237(217/251)	快捷巴士 0.002217(202/202)	公車路線 0.002195(200/200)	市長胡志強 0.002118(181/654)	台灣大 0.002063(195/214)	台灣大道 0.001953(182/246)	專用道 0.00192(173/181)	台灣大哥大 0.001909(172/198)	
自由經濟 0.007572(637/770)	經濟示範區 0.00685(580/708)	監督條例 0.005079(426/689)	兩岸協議 0.003856(330/581)	協議監督 0.00346(294/503)	國寶人壽 0.003436(295/295)	特別條例 0.00304(260/392)	貿易協議 0.00247(208/339)	示範區特別 0.002411(204/296)	幸福人壽 0.002178(187/187)	
合宜住宅 0.010025(939/944)	社會住宅 0.007727(731/792)	總統馬英九 0.006039(563/1040)	相關單位 0.004788(453/708)	冰桶挑戰 0.003399(318/318)	涉貪 0.003153(296/343)	八德合宜 0.002875(269/269)	副縣長 0.002811(255/562)	地方政府 0.002597(242/1190)	住宅政策 0.002319(216/286)	
相關影音 0.020668(1684/2756)	新聞相關 0.020619(1676/2914)	智慧型手機 0.006028(503/1126)	平板電腦 0.004411(361/636)	國家公園 0.003823(313/484)	縣長吳志揚 0.002781(227/374)	下午4時 0.002744(227/536)	國民黨立委 0.002585(205/486)	合作夥伴 0.002107(167/298)	桃園機場 0.002107(168/370)	
國是會議 0.004559(445/468)	經貿國是 0.004304(421/440)	區域經濟 0.002611(251/394)	飛彈擊落 0.002019(198/198)	人工生殖 0.001999(197/203)	氣候變遷 0.001846(176/360)	好戰分子 0.001683(165/165)	經濟發展 0.001581(160/1042)	官員表示 0.001571(155/444)	美國總統 0.001418(134/462)	
中央氣象局 0.006742(604/604)	短暫陣雨 0.006385(572/572)	提醒民眾 0.004499(401/426)	氣象局表示 0.004409(395/395)	午後雷陣雨 0.00374(335/335)	補充水分 0.003461(310/310)	太平洋高壓 0.003438(308/308)	麥德姆颱風 0.003193(294/322)	瞬間大雨 0.003003(269/269)	外圍環流 0.003003(269/269)	
標準時間 0.03403(3482/3482)	台北標準 0.03401(3480/3480)	時間上午 0.017416(1781/1782)	時間下午 0.017181(1758/1758)	新鮮事 0.01294(1324/1324)	天下新鮮 0.012783(1308/1308)	達志影像 0.008053(824/828)	2014年6月 0.007975(822/920)	週四台北 0.007594(775/804)	中央社2014年 0.007584(790/854)	
來台 0.017848(1504/2678)	郝龍斌 0.01364(1141/1432)	基本工資 0.004763(407/700)	台北市長郝 0.003889(331/440)	民進黨主席 0.002423(208/598)	台北市政府 0.002246(203/372)	工資審議 0.002222(188/188)	政治人物 0.002151(182/498)	參選人柯文哲 0.002128(176/540)	運動中心 0.00195(164/172)	
馬總統 0.021647(2153/2302)	國民黨團 0.005539(555/555)	人事同意權 0.004042(405/405)	監察委員 0.003882(392/506)	經濟成長 0.003673(373/864)	條例草案 0.003024(306/348)	中國國民黨 0.002974(294/416)	監督條例 0.002525(263/689)	立法院黨團 0.002415(242/242)	兩岸協議 0.002306(228/581)	
媒體報導 0.003523(295/830)	今天下午 0.003111(250/406)	公路總局 0.002864(236/324)	國營事業 0.00238(201/210)	暑假期間 0.002133(173/302)	投資者 0.00198(159/362)	都市計畫 0.001862(150/444)	公共建設 0.001803(145/258)	開發單位 0.001391(115/122)	無人 0.001214(101/540)	
基金經理人 0.006641(812/824)	新興市場 0.004506(551/942)	高收益 0.003966(485/485)	貨幣政策 0.00283(346/346)	經濟成長 0.002797(346/864)	收益債 0.002691(329/329)	彭博報導 0.002347(294/394)	法人表示 0.002241(274/447)	企業獲利 0.002004(243/251)	主計總處 0.00193(237/372)	
高雄氣爆 0.019298(2368/2368)	高雄市政府 0.011368(1400/1468)	氣爆事件 0.010757(1320/1320)	石化管線 0.004303(528/528)	石化專區 0.004254(522/522)	應變中心 0.00383(470/470)	氣爆意外 0.003276(402/402)	李長榮化工 0.00295(362/362)	2014年8月 0.002803(342/796)	石化產業 0.002616(321/321)	
供應鏈 0.003008(256/584)	今天說 0.002862(232/628)	鴻海集團 0.002838(239/344)	董事長郭台銘 0.002716(223/256)	集團董事長 0.002268(182/472)	現金股利 0.002013(168/282)	鴻海董事長 0.001686(142/188)	環境教育 0.001674(139/160)	法人指出 0.001467(119/274)	季業績 0.001467(121/315)	
基隆市長 0.008863(789/789)	議長黃景泰 0.004314(384/384)	市長參選人 0.00328(291/712)	副總統吳敦義 0.003022(269/356)	市長選舉 0.002966(259/299)	參選基隆 0.002528(225/225)	基隆市議長 0.00246(219/219)	統一渡假村 0.002258(201/205)	主辦單位 0.002202(197/532)	台塑集團 0.001977(178/292)	
主管機關 0.007563(645/1112)	電子商務 0.007153(577/722)	產業發展 0.005473(456/754)	伊波拉病毒 0.003528(292/292)	基本工資 0.003443(282/700)	資源回收 0.002658(217/238)	解決方案 0.001824(143/466)	就業機會 0.001704(137/432)	人士說 0.001583(129/238)	修正草案 0.001571(127/286)	
中國大陸 0.03136(3733/4584)	國家主席 0.005232(624/624)	大陸國家 0.005006(601/634)	集體自衛權 0.003195(379/381)	美國總統 0.002499(304/462)	總統歐巴馬 0.002172(254/400)	主席習 0.002054(247/484)	日本政府 0.001903(221/384)	報導指出 0.001652(199/498)	大法人 0.001585(188/361)	
新興市場 0.004546(353/942)	國際油價 0.002581(198/207)	空氣品質 0.002234(170/186)	中油公司 0.002157(169/212)	無鉛汽油 0.001901(148/148)	網路簡訊 0.001875(146/146)	消費者物價 0.001721(132/226)	物價指數 0.001618(124/292)	中心主任 0.001438(113/414)	7月15日 0.001425(113/172)	
新北市 0.020962(1894/2388)	新北市長 0.013026(1193/1236)	市長朱立倫 0.01053(957/1004)	房地合一 0.005254(478/478)	新北市政府 0.004463(393/470)	市長胡志強 0.00443(390/654)	罹難者 0.004397(388/784)	實價課稅 0.004287(390/390)	市長陳菊 0.003803(345/884)	保險公司 0.003232(293/406)	
台北市長參選人 0.005772(443/1282)	發表聲明 0.0031(227/404)	金管會主委 0.002776(212/230)	主委曾銘宗 0.002659(205/226)	新台幣兌 0.002348(184/259)	消息人士 0.002231(180/378)	總統朴槿惠 0.001881(134/228)	服貿協議 0.001868(140/822)	認購權證 0.00166(125/240)	電力公司 0.001634(124/152)	
達人 0.002741(217/414)	8月1日 0.00269(209/438)	社福團體 0.002374(187/218)	台灣高鐵 0.001844(148/252)	器官捐贈 0.001655(131/131)	高鐵公司 0.001617(127/168)	昨天上午 0.001377(106/222)	中共海軍 0.001137(90/100)	加油打氣 0.001061(86/192)	公司表示 0.001036(83/290)	
12年國教 0.004409(382/404)	十二年國教 0.003946(344/352)	免試入學 0.003182(275/275)	航空公司 0.003032(267/808)	經濟發展 0.002175(186/1042)	特色招生 0.001932(167/167)	台灣人民 0.001921(164/464)	中央社翻譯 0.001759(152/318)	總統說 0.001689(155/350)	長榮航空 0.00162(143/186)	
