中華電信 0.010128(756/1046)	慈善基金會 0.002474(183/255)	金融機構 0.002269(163/352)	集團旗下 0.002119(159/382)	近年來 0.001832(134/320)	國際機場 0.001777(130/308)	公司董事長 0.001777(133/320)	弱勢家庭 0.001722(121/316)	小股東 0.001627(117/202)	科技公司 0.001572(110/262)	
推薦新聞 0.004488(351/552)	活動期間 0.003248(261/322)	做公益 0.002979(234/262)	投資者 0.002391(188/362)	主辦單位 0.00188(165/532)	路跑活動 0.001637(128/148)	運動中心 0.001547(122/172)	合作備忘錄 0.001394(116/178)	7月1日 0.001317(104/602)	網購 0.001304(92/136)	
今天表示 0.005608(419/1074)	新北市政府 0.003199(233/470)	議長黃景泰 0.002894(208/384)	中央公園 0.002672(193/200)	購物中心 0.002589(184/358)	接受媒體 0.002243(166/314)	數據顯示 0.002008(145/302)	實價登錄 0.001869(135/248)	全國電子 0.001869(133/135)	媒體訪問 0.001842(135/222)	
中央氣象局 0.007454(604/604)	短暫陣雨 0.007059(572/572)	氣象局表示 0.004875(395/395)	提醒民眾 0.004863(390/426)	基本工資 0.004739(380/700)	午後雷陣雨 0.004134(335/335)	太平洋高壓 0.003801(308/308)	補充水分 0.003764(307/310)	瞬間大雨 0.00332(269/269)	外圍環流 0.00332(269/269)	
受訪者 0.002155(146/294)	今天宣布 0.001831(133/202)	系列活動 0.001803(128/226)	公司表示 0.001704(120/290)	營收為 0.001676(118/321)	中共中央 0.001606(114/272)	民調顯示 0.00138(98/194)	一般民眾 0.001338(90/240)	聲明表示 0.001338(94/156)	無障礙 0.001169(85/150)	
馬總統 0.012341(871/2302)	媒體報導 0.007117(509/830)	為例 0.004039(275/836)	年增 0.003996(281/694)	創新高 0.003474(245/652)	社會住宅 0.003234(230/792)	業者表示 0.002683(190/346)	高速公路 0.002401(172/264)	當地居民 0.002259(162/356)	新車 0.002146(155/358)	
經濟成長 0.008758(823/864)	經濟成長率 0.004384(413/416)	大陸經濟 0.003758(354/492)	彭博報導 0.003737(363/394)	新產品 0.00328(310/521)	指數上漲 0.002813(262/293)	全球經濟 0.002452(241/366)	指數下跌 0.002166(205/209)	成長動能 0.00207(203/402)	中國大陸 0.002038(189/4584)	
租金補貼 0.002256(170/222)	今天上午 0.002134(148/430)	陳震遠 0.00204(151/151)	海軍陸戰隊 0.001959(141/172)	科技大學 0.00154(123/370)	陳震武 0.001499(111/111)	現金股利 0.001472(110/282)	做事 0.001445(104/280)	住宅政策 0.001405(96/286)	雲端服務 0.00131(94/176)	
身心障礙 0.005749(431/520)	障礙者 0.003833(280/314)	供應鏈 0.003136(233/584)	台塑集團 0.002452(184/292)	都市更新 0.001983(148/342)	身障者 0.001715(130/148)	北市政府 0.001689(132/188)	通訊軟體 0.001648(123/188)	季業績 0.001555(118/315)	法人指出 0.001461(109/274)	
公路總局 0.00313(238/324)	官員表示 0.002934(223/444)	好戰分子 0.002152(165/165)	新聞專輯 0.002126(164/388)	8月1日 0.001917(147/438)	戶政事務所 0.0018(130/200)	世界盃足球賽 0.001617(127/220)	保險公司 0.001604(124/406)	7月1日 0.001317(94/602)	總統歐巴馬 0.0012(91/400)	
標準時間 0.038699(3482/3482)	台北標準 0.038676(3480/3480)	時間上午 0.019811(1782/1782)	時間下午 0.019544(1758/1758)	新鮮事 0.014708(1324/1324)	天下新鮮 0.014541(1308/1308)	2014年6月 0.009472(841/920)	達志影像 0.008727(786/828)	中央社2014年 0.008671(791/854)	週四台北 0.008538(764/804)	
鐵路電氣化 0.004086(310/310)	花東鐵路 0.003875(294/294)	普悠瑪號 0.00377(286/286)	到台東 0.002122(160/192)	修正草案 0.001608(118/286)	普悠瑪列車 0.001516(115/115)	外銷訂單 0.001503(114/118)	弱勢團體 0.001305(95/140)	台北到 0.001173(88/104)	年減 0.00116(79/207)	
