飛彈擊落 0.002974(198/198)	搭車 0.002944(197/292)	台灣大道 0.002719(180/246)	快捷巴士 0.002553(173/202)	台北國際 0.002178(143/332)	局長林良泰 0.001953(131/131)	7月1日 0.001908(121/602)	加密手機 0.001577(105/105)	調查發現 0.001562(109/210)	馬航班機 0.001472(98/98)	
今天表示 0.008001(521/1074)	再生能源 0.006685(442/444)	103年7月 0.006428(433/586)	馬政府 0.003434(223/612)	為例 0.003403(241/836)	7月31日 0.002768(185/288)	太陽光電 0.002571(170/174)	人士說 0.00239(155/238)	太陽花 0.001982(126/416)	壽險公司 0.001982(122/273)	
基隆市長 0.008859(789/789)	黨中央 0.005143(459/490)	議長黃景泰 0.004312(384/384)	市長選舉 0.003234(291/299)	國民黨提名 0.002987(266/266)	參選基隆 0.002527(225/225)	基隆市議長 0.002459(219/219)	台北市長參選人 0.002437(226/1282)	郝龍斌 0.002381(206/1432)	在野大聯盟 0.002369(211/211)	
來台 0.021571(1996/2678)	兩岸關係 0.016254(1508/1526)	國台辦主任 0.010482(968/968)	主任張志軍 0.010331(954/954)	訪台 0.009291(858/858)	大陸國台辦 0.0068(628/628)	新北市 0.005544(500/2388)	新北市長 0.005263(492/1236)	市長陳菊 0.00496(451/884)	台灣民眾 0.004451(412/560)	
文教基金會 0.003172(203/284)	洽詢電話 0.002252(149/302)	工作人員 0.002173(128/512)	勞動部 0.002141(133/460)	工作機會 0.001998(130/320)	農曆七月 0.001982(123/127)	駐美 0.001745(110/122)	弱勢族群 0.001554(100/240)	做事 0.001538(107/280)	美代表 0.001538(96/104)	
市長參選人 0.006032(399/712)	同業公會 0.003351(221/274)	科技大學 0.003092(204/370)	解決方案 0.002757(173/466)	民調結果 0.002742(174/326)	台灣市場 0.002528(159/286)	生物多樣性 0.002452(159/248)	經濟發展 0.00227(146/1042)	運動中心 0.002102(142/172)	大賣場 0.001965(126/164)	
推播通知 0.004979(332/332)	重大新聞 0.004949(332/332)	通知快 0.004949(329/330)	快下載 0.004949(328/330)	國寶人壽 0.004424(295/295)	成交金額 0.002925(187/456)	高雄市政府 0.00285(189/1468)	幸福人壽 0.002805(186/187)	上市公司 0.002685(183/260)	公車路線 0.00213(146/200)	
經濟成長 0.007965(558/864)	電子商務 0.00739(499/722)	經濟發展 0.003738(260/1042)	產業發展 0.003494(238/754)	注中獎 0.003408(237/237)	經濟成長率 0.003249(225/416)	大陸經濟 0.003163(215/492)	積極推動 0.002818(194/410)	中獎號碼 0.002689(187/187)	台灣人民 0.002344(166/464)	
人才招募 0.002886(191/197)	推薦新聞 0.002357(154/552)	做公益 0.002146(143/262)	海軍陸戰隊 0.001934(124/172)	全民國防 0.001677(111/111)	穿戴裝置 0.001421(94/234)	不少人 0.001375(100/226)	學員們 0.0013(82/114)	雲端運算 0.001239(78/194)	汽車公司 0.001224(81/102)	
標準時間 0.042218(3482/3482)	台北標準 0.042157(3480/3480)	時間下午 0.021291(1758/1758)	時間上午 0.021267(1754/1782)	新鮮事 0.016053(1324/1324)	天下新鮮 0.015859(1308/1308)	達志影像 0.009979(820/828)	2014年6月 0.009979(830/920)	中央社2014年 0.0097(793/854)	週四台北 0.00936(768/804)	
馬總統 0.027491(1740/2302)	馬英九總統 0.005441(343/714)	統一渡假村 0.00318(201/205)	總統說 0.002816(186/350)	人事同意權 0.002689(175/405)	鹿港文創 0.002515(159/159)	創會館 0.002389(151/151)	達人 0.00231(146/414)	總統表示 0.00193(114/240)	值得注意 0.001788(111/376)	
大飯店 0.004907(422/448)	來台 0.004161(365/2678)	購物中心 0.00345(292/358)	觀光產業 0.002448(205/384)	活動期間 0.002238(201/322)	七夕情人節 0.00204(178/184)	台灣觀光 0.001888(161/266)	人工生殖 0.001644(141/203)	陸客來 0.001585(143/216)	晶華酒店 0.001515(127/140)	
中華電信 0.009004(610/1046)	身心障礙 0.007505(517/520)	障礙者 0.004029(275/314)	氣候變遷 0.003186(223/360)	台灣大 0.003011(207/214)	台灣大哥大 0.002836(197/198)	開賣 0.002386(169/207)	觀光旅遊局 0.00224(155/200)	遠傳電信 0.001978(139/182)	認購權證 0.001876(129/240)	
十二年國教 0.004832(350/352)	12年國教 0.004625(335/404)	免試入學 0.003808(275/275)	協會理事長 0.003171(231/388)	特色招生 0.002312(167/167)	彭博報導 0.002243(168/394)	網路簡訊 0.002022(146/146)	新北市 0.00162(105/2388)	國中會考 0.00162(117/117)	公民團體 0.001509(109/274)	
新北市長 0.009415(603/1236)	媒體報導 0.008464(554/830)	市長朱立倫 0.00805(524/1004)	相關單位 0.006103(403/708)	當地居民 0.003174(206/356)	朱立倫表示 0.003159(206/206)	朱立倫今天 0.002346(153/153)	新北市政府 0.002208(138/470)	原物料 0.001963(129/190)	到台灣 0.001917(118/276)	
合宜住宅 0.010889(939/944)	社會住宅 0.009204(791/792)	國民黨團 0.006206(542/555)	新北市 0.004404(386/2388)	監察委員 0.004079(355/506)	住宅政策 0.003324(286/286)	八德合宜 0.003126(269/269)	副縣長 0.003103(267/562)	桃園縣政府 0.003033(262/354)	立法院黨團 0.002812(242/242)	
自由經濟 0.008879(766/770)	經濟示範區 0.008084(694/708)	監督條例 0.007945(689/689)	服貿協議 0.006723(580/822)	兩岸協議 0.006596(569/581)	協議監督 0.0058(503/503)	特別條例 0.004128(359/392)	民進黨主席 0.003529(303/598)	示範區特別 0.003413(296/296)	馬總統 0.002964(265/2302)	
相關影音 0.027431(1801/2756)	新聞相關 0.027354(1782/2914)	國民黨立委 0.004679(304/486)	國家公園 0.004327(279/484)	沒人 0.003119(204/364)	縣長吳志揚 0.003089(205/374)	副縣長 0.002676(177/562)	人受傷 0.002554(163/330)	桃園機場 0.002324(159/370)	桃園縣長 0.002126(141/240)	
新北市 0.012915(870/2388)	高雄市長 0.005546(365/772)	台獨黨綱 0.004694(318/491)	支持者 0.00444(291/526)	主席蔡英文 0.004051(275/566)	總統大選 0.003588(250/460)	市長賴清德 0.003468(231/388)	台南市長 0.00299(201/298)	服貿協議 0.0029(196/822)	房仲業者 0.002736(182/216)	
無人 0.004331(334/540)	103年6月 0.004011(313/604)	區域經濟 0.003811(295/394)	消息人士 0.003612(261/378)	夥伴協定 0.003372(253/257)	新聞專輯 0.002332(170/388)	跨太平洋 0.002239(168/168)	美國國務卿 0.002226(163/250)	交換意見 0.002026(148/358)	國務卿凱瑞 0.001999(151/226)	
台中市長 0.005219(352/622)	市長胡志強 0.005031(348/654)	冰桶挑戰 0.004584(318/318)	競選總部 0.003907(265/358)	公益活動 0.003878(272/340)	參選人柯文哲 0.003345(233/540)	政治人物 0.003114(217/498)	民進黨主席 0.003114(214/598)	大台中 0.002941(205/218)	大法人 0.002696(191/361)	
國是會議 0.004482(298/468)	經貿國是 0.004151(279/440)	都市計畫 0.002286(144/444)	好戰分子 0.002076(136/165)	官員表示 0.001685(113/444)	交通部觀光局 0.001444(96/300)	安全部隊 0.001218(80/89)	台灣觀光 0.001203(82/266)	美國官員 0.001158(75/136)	發動空襲 0.001053(70/83)	
台北捷運 0.003654(242/288)	下午4時 0.003451(216/536)	捷運公司 0.003389(216/218)	新產品 0.003108(197/521)	社會企業 0.002093(132/158)	者家屬 0.002062(134/258)	大陸地區 0.00189(121/226)	金酒公司 0.001812(116/116)	國際大廠 0.001359(87/150)	8月15日 0.001328(82/216)	
基金經理人 0.007825(820/824)	新興市場 0.005159(544/942)	高收益 0.004634(485/485)	貨幣政策 0.003229(336/346)	收益債 0.003143(329/329)	法人表示 0.002627(277/447)	經濟成長 0.002589(258/864)	企業獲利 0.00236(244/251)	經濟復甦 0.002121(222/222)	歐洲央行 0.002025(212/212)	
年增 0.004442(277/694)	業者表示 0.003435(212/346)	為例 0.00302(194/836)	副總統吳敦義 0.002317(148/356)	呼籲民眾 0.002221(137/250)	市場預期 0.002205(141/358)	舉行記者會 0.002093(128/308)	區段徵收 0.001997(126/170)	消費滿 0.001805(109/248)	新車 0.001726(110/358)	
臉書 0.009186(611/1060)	中心主任 0.002549(174/414)	人力銀行 0.002353(156/324)	陳震遠 0.002278(151/151)	陳震武 0.001674(111/111)	調查顯示 0.001629(110/290)	公路總局 0.001508(96/324)	上班上課 0.001493(101/146)	嚴重影響 0.001343(92/186)	拓寬工程 0.001237(83/163)	
主計總處 0.004081(279/372)	工作人員 0.003118(216/512)	求職者 0.0024(171/264)	環保局表示 0.002156(151/154)	成長動能 0.002069(142/402)	國家公園 0.002041(148/484)	財富管理 0.00194(134/218)	嚴部長 0.001681(121/148)	103年6月 0.001653(122/604)	報告指出 0.00148(105/344)	
房地合一 0.006831(464/478)	新藥 0.006415(431/454)	大陸市場 0.005685(390/674)	實價課稅 0.005537(373/390)	創新高 0.003989(271/652)	鴻海集團 0.003453(234/344)	董事長郭台銘 0.003379(226/256)	8月1日 0.002813(189/438)	鴻海董事長 0.002798(188/188)	集團董事長 0.002441(170/472)	
石化專區 0.007943(522/522)	台塑集團 0.004321(287/292)	石化產業 0.003576(232/321)	石化管線 0.003439(220/528)	大股東 0.003317(214/356)	國際油價 0.002937(199/207)	中油公司 0.002693(179/212)	市場需求 0.002343(157/440)	無鉛汽油 0.002252(148/148)	河靜鋼鐵 0.001948(128/128)	
基本工資 0.006193(399/700)	工資審議 0.002918(188/188)	物價指數 0.002763(177/292)	暑假期間 0.002577(170/302)	消費者物價 0.002297(147/226)	審議委員會 0.002282(143/290)	作業系統 0.002158(136/167)	遠通電收 0.001987(128/128)	小股東 0.001971(130/202)	觀光工廠 0.001847(123/174)	
罹難者 0.006641(428/784)	行動裝置 0.00401(250/422)	中共中央 0.003227(219/272)	保險公司 0.002757(178/406)	公司表示 0.002021(134/290)	字頭 0.001676(102/188)	新台幣兌 0.00166(107/259)	台灣高鐵 0.001582(103/252)	事件發生 0.00141(89/300)	官員表示 0.001379(83/444)	
台北股市 0.004872(345/355)	航空公司 0.004829(353/808)	家扶中心 0.004261(301/353)	推薦新聞 0.004162(304/552)	股市今天 0.003352(238/247)	成交金額 0.0025(180/456)	長榮航空 0.002102(146/186)	台股今天 0.002074(146/146)	工業指數 0.001776(125/125)	小跌 0.00169(118/180)	
復興航空 0.007293(481/668)	伊波拉病毒 0.004373(292/292)	航空公司 0.003085(207/808)	澎湖空難 0.001872(131/226)	罹難者 0.001737(125/784)	馬公機場 0.001617(108/108)	集會遊行 0.001543(103/103)	考試委員 0.001363(91/247)	台灣本島 0.001258(78/134)	復興空難 0.001213(81/81)	
新北市政府 0.003961(254/470)	客家文化 0.003065(197/254)	外籍勞工 0.002908(184/200)	產業發展 0.00261(166/754)	當地民眾 0.001934(118/174)	石化管線 0.001792(104/528)	現金股利 0.001714(110/282)	新北市 0.001541(104/2388)	高市府 0.001415(90/336)	無人 0.001195(76/540)	
高雄氣爆 0.022706(2365/2368)	氣爆事件 0.012684(1320/1320)	台北市長參選人 0.009676(1002/1282)	高雄市政府 0.008379(867/1468)	參選人連勝文 0.005592(572/728)	2014年8月 0.004881(504/796)	應變中心 0.004516(470/470)	國民黨台北市長 0.004459(467/564)	氣爆意外 0.003844(398/402)	災害應變 0.00369(384/384)	
智慧型手機 0.007292(470/1126)	平板電腦 0.005337(351/636)	中央社翻譯 0.002622(175/318)	合作夥伴 0.002482(162/298)	股份有限公司 0.001908(124/288)	財團法人 0.001521(96/290)	電子產品 0.001458(96/234)	穿戴式裝置 0.001458(94/198)	機械手臂 0.001443(94/100)	管理委員會 0.001381(88/188)	
總統馬英九 0.00923(578/1040)	長江宜樺 0.007729(471/702)	行政院長江 0.007648(477/728)	民進黨立委 0.00639(412/734)	江宜樺 0.00334(205/300)	勞動力發展 0.001888(113/152)	中國政府 0.001856(102/282)	調查報告 0.001694(108/242)	7月1日 0.001662(107/602)	南韓總統 0.001501(98/186)	
中央氣象局 0.008489(604/604)	短暫陣雨 0.008039(572/572)	氣象局表示 0.005552(395/395)	提醒民眾 0.005552(391/426)	午後雷陣雨 0.004666(333/335)	補充水分 0.004357(310/310)	太平洋高壓 0.004329(308/308)	瞬間大雨 0.003781(269/269)	外圍環流 0.003781(269/269)	熱帶性低氣壓 0.003753(267/267)	
合併營收 0.011258(1277/1277)	季營收 0.008313(943/943)	歷史新高 0.00774(875/928)	智慧型手機 0.004214(502/1126)	季成長 0.0035(397/430)	年增 0.00328(368/694)	法人預估 0.003015(342/342)	季合併 0.003006(341/341)	主管機關 0.002909(334/1112)	5月營收 0.002742(311/311)	
地方政府 0.009904(659/1190)	永續發展 0.003134(205/262)	產業發展 0.002145(155/754)	經濟部工業局 0.002008(130/216)	修正草案 0.001841(123/286)	防空識別區 0.001674(108/189)	電力公司 0.001522(96/152)	貿易協定 0.001522(99/328)	雲端運算 0.001445(96/194)	解決方案 0.001415(102/466)	
翠玉白菜 0.005282(346/346)	故宮博物院 0.004763(312/316)	國立故宮 0.004289(281/285)	投資者 0.003358(223/362)	國立博物館 0.002855(187/187)	8月7日 0.002351(159/280)	神品至寶展 0.002275(149/149)	發表聲明 0.002091(132/404)	赴日 0.002076(134/218)	創下歷史 0.001878(123/248)	
中國大陸 0.039376(3715/4584)	大陸國家 0.006529(613/634)	國家主席 0.006466(610/624)	2014年7月 0.004621(432/760)	集體自衛權 0.004038(381/381)	美國總統 0.003466(327/462)	日本政府 0.003328(308/384)	主席習 0.002714(263/484)	總統歐巴馬 0.002714(255/400)	報導說 0.002109(205/262)	
今天說 0.003815(248/628)	發展協會 0.00314(200/250)	競選連任 0.001476(97/182)	電子商務 0.001413(88/722)	共同管道 0.001335(84/125)	公共建設 0.001319(86/258)	社區發展 0.001272(83/104)	跨領域 0.00124(76/98)	今天宣布 0.001178(77/202)	專家認為 0.001131(66/152)	
郝龍斌 0.017608(1129/1432)	高雄市政府 0.005963(381/1468)	新興市場 0.005603(360/942)	台北市長郝 0.005242(335/440)	國家安全 0.003547(221/422)	弱勢家庭 0.00295(193/316)	台北市政府 0.002841(177/372)	戶政事務所 0.002276(154/200)	國營事業 0.002009(131/210)	台灣民眾 0.001962(128/560)	
鐵路電氣化 0.004715(310/310)	花東鐵路 0.004472(294/294)	普悠瑪號 0.004289(282/286)	發言人陳以信 0.004031(256/285)	社會責任 0.003544(236/338)	企業社會 0.002464(166/220)	到台東 0.002418(161/192)	陳以信表示 0.002418(161/169)	台灣經濟 0.002342(154/728)	國民黨發言人 0.002327(154/185)	
