中國大陸 0.017205(1194/4584)	國家主席 0.008717(613/624)	社會住宅 0.008173(560/792)	大陸國家 0.008044(547/634)	美國總統 0.004981(337/462)	都市更新 0.004681(332/342)	總統歐巴馬 0.003922(269/400)	主席習 0.003478(231/484)	氣候變遷 0.003163(219/360)	總統朴槿惠 0.002619(183/228)	
石化專區 0.007441(522/522)	石化管線 0.007042(491/528)	歷史新高 0.004419(312/928)	石化產業 0.003992(279/321)	地方政府 0.002851(195/1190)	高市府 0.002723(186/336)	都市計畫 0.002595(178/444)	議長黃景泰 0.002039(147/384)	呼籲民眾 0.001796(127/250)	經濟部長杜紫軍 0.001796(120/134)	
身心障礙 0.006747(427/520)	市長胡志強 0.005646(349/654)	台中市長 0.00552(350/622)	障礙者 0.004058(264/314)	大台中 0.003287(210/218)	今天下午 0.002454(156/406)	胡市長 0.002454(155/161)	歷史新高 0.002391(148/928)	參選人林佳龍 0.002312(147/147)	近年來 0.002281(143/320)	
推薦新聞 0.003103(201/552)	海軍陸戰隊 0.002527(158/172)	嚴部長 0.002367(148/148)	黃埔建軍 0.002367(148/148)	國防部長嚴明 0.001888(121/141)	相關單位 0.001728(104/708)	電信業者 0.001712(109/284)	人才招募 0.001712(106/197)	江院長 0.001536(100/166)	實價登錄 0.00152(96/248)	
再生能源 0.003859(229/444)	行動裝置 0.002572(150/422)	字頭 0.002367(137/188)	變形金剛 0.002178(124/182)	新台幣兌 0.002109(132/259)	8月20日 0.001715(106/200)	加權指數 0.001475(85/219)	網路投保 0.001338(78/78)	就業市場 0.001235(69/150)	蓬勃發展 0.001218(74/174)	
達人 0.004542(261/414)	公益活動 0.00361(212/340)	暑假期間 0.003322(199/302)	成交金額 0.003305(191/456)	上市公司 0.002847(168/260)	觀光產業 0.002356(136/384)	通訊軟體 0.002(115/188)	同業公會 0.001661(103/274)	今年4月 0.001576(91/366)	美國商會 0.001542(92/106)	
人受傷 0.002916(156/330)	8月1日 0.002469(135/438)	報告指出 0.002218(118/344)	來台灣 0.002075(117/286)	當地居民 0.00195(112/356)	送禮 0.001682(98/190)	人死亡 0.001682(95/280)	媒體詢問 0.001682(98/280)	人才招募 0.00161(91/197)	上市櫃公司 0.001521(86/152)	
2014年7月 0.007028(428/760)	103年8月 0.006895(417/580)	國家公園 0.005602(337/484)	選舉委員會 0.002321(140/140)	農曆七月 0.002105(127/127)	環境教育 0.001757(111/160)	小股東 0.001741(115/202)	競選連任 0.001724(102/182)	南投縣政府 0.001459(85/132)	台北市議員 0.001426(79/208)	
伊波拉病毒 0.005092(291/292)	創新高 0.00434(247/652)	營收為 0.002118(119/321)	7月營收 0.001715(96/251)	富邦人壽 0.001698(94/116)	預計明年 0.001698(101/214)	上午9時 0.001435(81/246)	產能利用率 0.001313(76/194)	貿易協議 0.001313(73/339)	專家學者 0.001173(66/186)	
馬總統 0.028143(1634/2302)	家扶中心 0.005001(291/353)	總統馬英九 0.003679(212/1040)	總統說 0.003594(212/350)	發展協會 0.002747(164/250)	人事同意權 0.002628(148/405)	媒體報導 0.002458(146/830)	總統表示 0.002323(137/240)	資源回收 0.001967(111/238)	觀光旅遊 0.001848(118/342)	
集體自衛權 0.005384(377/381)	工作人員 0.003641(254/512)	日本政府 0.002985(216/384)	研究中心 0.002742(196/306)	防空識別區 0.002699(189/189)	美日 0.002642(186/196)	美國國防部 0.002328(160/166)	日本首相 0.002228(150/204)	彈道飛彈 0.002185(153/153)	網路簡訊 0.002085(146/146)	
