新北市長 0.01214(723/1236)	總統馬英九 0.010344(604/1040)	市長朱立倫 0.009978(605/1004)	行政院長江 0.0076(453/728)	民進黨立委 0.007583(459/734)	長江宜樺 0.007401(449/702)	103年8月 0.007018(407/580)	推播通知 0.005521(332/332)	重大新聞 0.005521(332/332)	通知快 0.005488(329/330)	
社會住宅 0.005346(316/792)	官員表示 0.003783(223/444)	好戰分子 0.002741(163/165)	武裝分子 0.001934(115/115)	聖戰士 0.001866(110/111)	高雄捷運 0.001816(112/204)	美國官員 0.001765(104/136)	電子票證 0.001732(104/164)	島國前進 0.001681(93/155)	今年1月 0.001631(100/236)	
自由經濟 0.0098(715/770)	經濟示範區 0.009007(653/708)	監督條例 0.007818(579/689)	兩岸協議 0.006957(505/581)	國是會議 0.006342(462/468)	協議監督 0.005904(437/503)	經貿國是 0.00585(436/440)	服貿協議 0.005672(415/822)	特別條例 0.004551(328/392)	今天說 0.003472(251/628)	
主計總處 0.004143(221/372)	大法人 0.003489(190/361)	陳震遠 0.002744(151/151)	經濟發展 0.002417(135/1042)	原物料 0.002308(123/190)	空氣品質 0.002162(125/186)	陳震武 0.002017(111/111)	營收達 0.001781(99/239)	商業營業額 0.001708(95/99)	就業機會 0.001508(89/432)	
縣長參選人 0.002456(132/253)	水資源 0.002226(114/190)	日本政府 0.00213(114/384)	6月30日 0.001324(65/252)	蓬勃發展 0.001228(64/174)	台灣國際 0.001209(63/200)	新興亞洲 0.001094(57/110)	違規項目 0.001017(53/53)	目前全球 0.000998(51/126)	整合行銷 0.00096(53/80)	
人力銀行 0.005657(314/324)	調查發現 0.003248(174/210)	調查顯示 0.002537(150/290)	社會新鮮人 0.001898(104/144)	美國國防部 0.001369(81/166)	國關係 0.001314(70/174)	金額新台幣 0.001241(71/191)	精品業者 0.001205(66/66)	今年5月 0.001186(67/354)	今天報導 0.00115(70/244)	
台北市長參選人 0.011912(816/1282)	參選人連勝文 0.0106(728/728)	國民黨台北市長 0.008223(564/564)	參選人柯文哲 0.005409(373/540)	柯文哲說 0.00487(334/334)	在野整合 0.004287(294/294)	醫師柯文哲 0.003791(260/264)	台大醫師 0.003383(232/236)	參選台北市長 0.002872(197/197)	競選總幹事 0.002712(186/188)	
兩岸關係 0.017429(1513/1526)	國台辦主任 0.011136(968/968)	主任張志軍 0.010975(954/954)	來台 0.00826(728/2678)	訪台 0.005142(445/858)	大陸國台辦 0.004993(431/628)	和平發展 0.004452(387/390)	民進黨主席 0.003854(340/598)	台灣民眾 0.00375(322/560)	中國大陸 0.00344(312/4584)	
罹難者 0.005784(321/784)	公路總局 0.005766(309/324)	代表處 0.003261(178/286)	股份有限公司 0.002708(145/288)	新聞專輯 0.002358(118/388)	購票 0.001769(100/238)	電子產品 0.00175(93/234)	台灣省政府 0.001676(89/102)	中華民國駐 0.001382(78/162)	高等法院 0.001179(63/160)	
身心障礙 0.009065(510/520)	障礙者 0.005535(310/314)	勞動力發展 0.002626(148/152)	身障者 0.001987(112/148)	發展署 0.001668(94/98)	彰化縣長 0.001508(83/174)	海峽兩岸 0.001473(81/350)	8月29日 0.001437(83/118)	就業中心 0.001437(80/100)	請民眾 0.001366(79/170)	
創新高 0.00449(243/652)	國際機場 0.002993(160/308)	成長動能 0.002862(156/402)	值得注意 0.002619(153/376)	主要原因 0.002469(135/250)	主辦單位 0.002189(122/532)	打造出 0.002151(115/188)	財富管理 0.002151(118/218)	金酒公司 0.002095(113/116)	7月營收 0.001796(97/251)	
相關單位 0.005552(309/708)	衛生福利部 0.002364(115/258)	舉行記者會 0.002364(133/308)	選舉委員會 0.002199(122/140)	當地居民 0.002162(120/356)	農曆七月 0.002034(112/127)	加密手機 0.001924(105/105)	總統大選 0.001503(88/460)	實價登錄 0.001466(83/248)	8月8日 0.001301(74/140)	
航空公司 0.007357(421/808)	家扶中心 0.006111(352/353)	達人 0.004328(253/414)	長榮航空 0.003047(179/186)	投資者 0.002943(166/362)	當地居民 0.002389(144/356)	發展協會 0.002354(136/250)	馬來西亞航空 0.002285(133/146)	飛彈擊落 0.001974(113/198)	馬航班機 0.001697(98/98)	
注中獎 0.004411(237/237)	中獎號碼 0.00348(187/187)	號碼為 0.00255(137/137)	台中市政府 0.002029(112/312)	台灣彩券 0.00188(101/101)	近年來 0.001787(104/320)	開賣 0.001731(87/207)	今彩 0.001545(83/83)	女學生 0.001508(80/128)	食品安全 0.001452(81/168)	
中央氣象局 0.009355(604/604)	短暫陣雨 0.00886(572/572)	新北市 0.008705(557/2388)	新北市長 0.007202(459/1236)	提醒民眾 0.006227(400/426)	氣象局表示 0.006118(395/395)	市長陳菊 0.005653(370/884)	市長胡志強 0.005592(358/654)	市長朱立倫 0.005561(352/1004)	午後雷陣雨 0.005158(333/335)	
