影像較少 0.003565(174/498)	今年7月 0.003258(154/302)	8月15日 0.001906(98/216)	購物中心 0.001865(84/358)	環境保護 0.001455(75/274)	爭取連任 0.001455(73/196)	金融商品 0.001414(72/110)	移轉訂價 0.001311(64/64)	大台南 0.001291(65/124)	消費市場 0.001188(60/120)	
翠玉白菜 0.006133(346/346)	區域經濟 0.005672(326/394)	故宮博物院 0.005566(315/316)	國立故宮 0.005052(285/285)	夥伴協定 0.004555(257/257)	經濟整合 0.004396(250/303)	代表處 0.004325(246/286)	國立博物館 0.003315(187/187)	跨太平洋 0.002978(168/168)	神品至寶展 0.002641(149/149)	
基隆市長 0.013682(789/789)	議長黃景泰 0.006659(384/384)	市長選舉 0.003919(218/299)	參選基隆 0.003902(225/225)	基隆市議長 0.003798(219/219)	基隆市議會 0.002549(147/147)	國民黨提名 0.00241(135/266)	市議會議長 0.002289(132/132)	媒體訪問 0.002185(129/222)	接受媒體 0.002081(120/314)	
基本工資 0.012739(698/700)	主管機關 0.01126(606/1112)	電子商務 0.008596(460/722)	產業發展 0.004271(241/754)	工資審議 0.003431(188/188)	陳震遠 0.002756(151/151)	修正草案 0.002519(137/286)	就業機會 0.002354(134/432)	審議委員會 0.002172(121/290)	陳震武 0.002026(111/111)	
中國大陸 0.04727(3820/4584)	國家主席 0.00776(624/624)	大陸國家 0.007474(600/634)	集體自衛權 0.004738(381/381)	美國總統 0.004029(322/462)	總統歐巴馬 0.003246(257/400)	推薦新聞 0.002836(226/552)	創新高 0.002823(230/652)	主席習 0.002699(215/484)	日本政府 0.002637(210/384)	
103年6月 0.009946(474/604)	社會責任 0.00426(212/338)	發展協會 0.003371(163/250)	高雄地區 0.003143(153/246)	沒人 0.002998(152/364)	企業社會 0.002854(143/220)	交換意見 0.00273(134/358)	求職者 0.002606(128/264)	工作人員 0.00213(99/512)	經濟部長張家祝 0.001696(85/318)	
新聞相關 0.035787(2095/2914)	相關影音 0.033786(2013/2756)	高雄市長 0.008601(506/772)	台獨黨綱 0.008395(491/491)	主席蔡英文 0.007045(429/566)	支持者 0.005779(338/526)	國民黨立委 0.005523(315/486)	市長賴清德 0.005523(331/388)	縣長吳志揚 0.005113(295/374)	台南市長 0.004736(276/298)	
新北市政府 0.004411(233/470)	人工生殖 0.003746(194/203)	8月2日 0.002795(151/244)	解決方案 0.002719(151/466)	大股東 0.002491(132/356)	自由貿易 0.002453(126/474)	七夕情人節 0.002187(117/184)	今天表示 0.00213(118/1074)	國際市場 0.002111(102/254)	報導指出 0.002092(106/498)	
大飯店 0.004445(222/448)	購物中心 0.004009(204/358)	國際機場 0.003751(182/308)	全國電子 0.0026(128/135)	難求 0.002183(108/218)	今天下午 0.002004(102/406)	片提供 0.00133(63/75)	夢時代 0.001191(59/70)	公會理事長 0.001171(54/272)	晶華酒店 0.001171(54/140)	
人力銀行 0.005871(276/324)	災害應變 0.003783(182/384)	調查顯示 0.002997(139/290)	金融海嘯 0.002357(111/272)	社會新鮮人 0.001985(96/144)	社福團體 0.001592(77/218)	大陸政府 0.001571(78/234)	社保基金 0.001447(70/82)	董事長張忠謀 0.001199(58/134)	競爭激烈 0.001178(52/186)	
環保局表示 0.0027(143/154)	台灣經濟 0.002607(135/728)	記者會表示 0.002382(126/210)	高美濕地 0.002138(114/114)	發言人陳以信 0.002082(103/285)	開罰 0.00195(107/208)	污染防治 0.001763(94/94)	水污染 0.001688(90/90)	營收達 0.001669(94/239)	風景區管理處 0.001613(86/110)	
新興市場 0.007669(378/942)	資本市場 0.003044(147/343)	暑假期間 0.003024(151/302)	櫃買中心 0.002803(139/209)	觀光產業 0.002002(98/384)	打造出 0.001862(95/188)	主辦單位 0.001862(93/532)	中心表示 0.001862(92/148)	富邦人壽 0.001722(85/116)	投資者 0.001322(67/362)	
經濟部工業局 0.002812(132/216)	新台幣兌 0.001716(82/259)	財團法人 0.001675(72/290)	國防部長嚴明 0.001633(84/141)	台北外匯 0.001571(76/76)	工作人員 0.001551(72/512)	亞洲國家 0.001509(72/172)	福利基金會 0.001489(72/120)	當地時間 0.001489(72/250)	觀光旅遊局 0.001427(71/200)	
新鮮事 0.015285(721/1324)	天下新鮮 0.015097(716/1308)	復興航空 0.006131(295/668)	中央社翻譯 0.003649(175/318)	下午5時 0.003232(147/530)	週四台北 0.002002(94/804)	永續發展 0.001981(93/262)	大陸遊客 0.001606(76/86)	今年4月 0.001418(69/366)	大陸地區 0.001356(62/226)	
合宜住宅 0.008702(436/944)	103年7月 0.008095(411/586)	社會住宅 0.005312(263/792)	應變中心 0.004606(242/470)	副總統吳敦義 0.004214(221/356)	地方政府 0.003959(207/1190)	住宅政策 0.003842(197/286)	桃園縣政府 0.002372(115/354)	合宜住宅案 0.002352(118/193)	八德合宜 0.001921(99/269)	
今天說 0.007242(356/628)	達人 0.002905(153/414)	醫護人員 0.002239(106/156)	觀光產業 0.001574(69/384)	政府機關 0.001453(73/156)	奈米製程 0.001453(71/178)	想說 0.001432(69/144)	國家發展 0.001432(65/208)	產險公司 0.001311(66/76)	今天宣布 0.001231(69/202)	
推播通知 0.006698(331/332)	通知快 0.006678(330/330)	快下載 0.006678(329/330)	重大新聞 0.006638(331/332)	報導指出 0.002024(107/498)	自由貿易 0.001397(69/474)	電子商務 0.001356(67/722)	精品業者 0.001336(66/66)	統一集團 0.001255(59/103)	相關訊息 0.001194(61/178)	
媒體報導 0.009333(521/830)	官員表示 0.002957(158/444)	好戰分子 0.002883(155/165)	聖戰士 0.002051(111/111)	金酒公司 0.001996(108/116)	安全部隊 0.001626(87/89)	8月21日 0.001589(84/134)	金酒廈門 0.001571(85/85)	美國官員 0.001553(84/136)	廈門公司 0.001534(83/83)	
航空公司 0.012982(650/808)	長榮航空 0.003141(155/186)	公車路線 0.003121(153/200)	近年來 0.002601(123/320)	彰化縣長 0.002561(129/174)	7月1日 0.002501(119/602)	交通局長 0.002341(118/251)	立法院長王金平 0.002181(113/308)	農曆七月 0.002061(105/127)	合作關係 0.001901(95/260)	
值得注意 0.003119(146/376)	大陸市場 0.002599(131/674)	水資源 0.002539(125/190)	國際社會 0.002059(104/252)	工作機會 0.001899(89/320)	旅遊旺季 0.001879(101/158)	資料照片 0.001619(78/164)	市場需求 0.001559(82/440)	今年2月 0.0014(67/266)	永續經營 0.00132(69/140)	
供應鏈 0.004951(242/584)	社會住宅 0.003723(181/792)	季業績 0.002355(116/315)	法人指出 0.002254(116/274)	產業發展 0.002133(116/754)	中共中央 0.002113(112/272)	相關產品 0.001932(91/194)	線上報名 0.00163(82/100)	國泰人壽 0.00161(80/159)	就業機會 0.001489(77/432)	
合併營收 0.012737(1277/1277)	智慧型手機 0.004808(495/1126)	季營收 0.004628(468/943)	年增 0.00373(376/694)	歷史新高 0.0037(378/928)	季合併 0.003401(341/341)	5月營收 0.003102(311/311)	6月營收 0.003102(311/319)	供應鏈 0.002733(273/584)	市場需求 0.002673(265/440)	
網路簡訊 0.002845(146/146)	運動中心 0.002436(124/172)	受歡迎 0.001832(90/242)	機會獲得 0.001657(89/120)	海峽兩岸 0.001618(84/350)	兒童福利 0.001462(75/75)	福利聯盟 0.001364(70/70)	方便民眾 0.001364(75/93)	回饋金 0.001345(69/136)	馬術治療 0.001345(69/69)	
行動裝置 0.005117(286/422)	台灣經濟 0.004868(257/728)	產業發展 0.003833(194/754)	成交金額 0.003795(199/456)	穿戴裝置 0.00368(186/234)	科技大學 0.003431(179/370)	解決方案 0.002703(150/466)	石化產業 0.002473(130/321)	縣長參選人 0.002434(130/253)	上市公司 0.002396(127/260)	
高雄市政府 0.012172(631/1468)	家扶中心 0.006799(353/353)	做公益 0.003101(161/262)	國家安全 0.002889(151/422)	都市計畫 0.002523(131/444)	呼籲民眾 0.002311(126/250)	弱勢家庭 0.002157(111/316)	8月27日 0.001734(90/146)	獨居老人 0.001695(89/114)	飛彈擊落 0.001599(81/198)	
自由經濟 0.010799(516/770)	經濟示範區 0.009717(464/708)	特別條例 0.004245(207/392)	示範區特別 0.003537(174/296)	成長動能 0.003184(152/402)	台北國際 0.002747(138/332)	財富管理 0.002393(116/218)	台灣省政府 0.002102(102/102)	解決問題 0.002081(99/356)	台灣前途 0.001956(95/264)	
新北市長 0.013867(1214/1236)	市長朱立倫 0.011053(975/1004)	台北市長參選人 0.009469(839/1282)	參選人連勝文 0.008295(728/728)	新北市 0.00784(671/2388)	市長參選人 0.007304(648/712)	台中市長 0.006985(610/622)	市長胡志強 0.006677(580/654)	國民黨台北市長 0.006427(564/564)	參選人柯文哲 0.004102(356/540)	
國道收費員 0.003269(164/164)	搭車 0.00287(145/292)	7月1日 0.002631(140/602)	遠通電收 0.002093(105/128)	收費員自救會 0.001834(92/92)	交通部長葉匡時 0.001814(95/184)	遠通公司 0.001794(90/90)	資源回收 0.001774(92/238)	中央銀行 0.001635(83/188)	今天上午 0.001535(82/430)	
國泰世華 0.003049(154/193)	房地產市場 0.002871(147/232)	電信業者 0.002198(108/284)	保險公司 0.001881(98/406)	大陸官方 0.001762(96/286)	一日遊 0.001623(79/110)	歡迎民眾 0.001346(67/204)	高產值 0.001287(65/65)	世華銀行 0.001228(59/93)	香港馬會 0.001208(61/61)	
集團董事長 0.002234(113/472)	董事長趙藤雄 0.002214(117/168)	國會議員 0.00204(105/236)	遠雄集團 0.00204(109/203)	中心主任 0.001573(80/414)	來自星星 0.001573(81/108)	容積移轉 0.001515(78/78)	台北車站 0.001496(80/132)	小跌 0.001418(76/180)	副縣長 0.001321(65/562)	
基金經理人 0.010716(732/824)	貨幣政策 0.003901(271/346)	企業獲利 0.003538(243/251)	法人表示 0.003016(211/447)	資料顯示 0.002828(188/536)	地緣政治 0.002741(188/218)	經濟數據 0.002741(190/206)	經濟復甦 0.002726(187/222)	歐洲央行 0.002625(178/212)	全球股市 0.00219(151/159)	
歷史新高 0.009131(490/928)	新藥 0.008231(450/454)	今天表示 0.007478(408/1074)	氣候變遷 0.006045(324/360)	台北股市 0.005677(308/355)	大陸市場 0.004887(264/674)	股市今天 0.00406(219/247)	大法人 0.003619(191/361)	生物多樣性 0.00294(159/248)	成交金額 0.002591(138/456)	
無人 0.006367(318/540)	人受傷 0.005005(248/330)	鴻海董事長 0.003764(188/188)	今天下午 0.002743(145/406)	董事長郭台銘 0.002683(134/256)	國寶人壽 0.002623(131/295)	人死亡 0.002463(131/280)	美國國務卿 0.002383(121/250)	國務卿凱瑞 0.002202(108/226)	軍事行動 0.002002(97/134)	
保險公司 0.003769(188/406)	馬總統 0.00365(185/2302)	人士說 0.003392(171/238)	再生能源 0.003234(164/444)	今天舉行 0.002103(97/176)	就職典禮 0.001905(96/176)	穩定成長 0.001825(89/200)	文教基金會 0.001786(93/284)	遊客中心 0.001706(87/137)	官員表示 0.001686(78/444)	
標準時間 0.050998(3482/3482)	台北標準 0.050969(3480/3480)	時間上午 0.02607(1782/1782)	時間下午 0.025734(1757/1758)	2014年6月 0.012977(872/920)	達志影像 0.012083(823/828)	中央社2014年 0.01182(811/854)	2014年7月 0.011014(756/760)	週四台北 0.009535(653/804)	新鮮事 0.008656(603/1324)	
