基隆市長 0.006973(370/789)	冰桶挑戰 0.006001(313/318)	參選基隆 0.004287(225/225)	無人 0.003906(198/540)	新產品 0.003791(194/521)	消費滿 0.00261(136/248)	凍人協會 0.00242(127/148)	諮詢委員 0.002267(122/144)	國民黨基隆 0.002248(118/118)	國安會諮詢 0.002077(109/109)	
來台 0.031634(1743/2678)	觀光產業 0.004071(224/384)	台北捷運 0.003766(206/288)	陸客來 0.0033(184/216)	捷運公司 0.003031(168/218)	協會理事長 0.002744(146/388)	電子票證 0.002672(150/164)	舉行記者會 0.002278(124/308)	高雄捷運 0.002027(116/204)	台灣旅客 0.001865(104/108)	
相關單位 0.009232(444/708)	當地居民 0.006184(292/356)	合宜住宅 0.005754(271/944)	主計總處 0.005046(238/372)	地方法院 0.002963(133/218)	涉貪 0.002791(131/343)	遠雄集團 0.00277(129/203)	台灣高鐵 0.002727(129/252)	今年4月 0.002727(134/366)	近年來 0.00262(121/320)	
新北市 0.013246(725/2388)	代表處 0.003009(169/286)	強陣風 0.002952(155/311)	陳震遠 0.002858(151/151)	陳震武 0.002101(111/111)	住商不動產 0.002063(104/125)	加密手機 0.001987(105/105)	中華民國駐 0.001892(102/162)	財團法人 0.001779(95/290)	房仲業者 0.001741(103/216)	
合併營收 0.015333(1276/1277)	季營收 0.011323(943/943)	季成長 0.004899(409/430)	年增 0.004275(362/694)	法人預估 0.004106(342/342)	季合併 0.004094(341/341)	歷史新高 0.003782(312/928)	創歷史 0.002954(244/376)	資本支出 0.002738(225/305)	創下歷史 0.002726(227/248)	
郝龍斌 0.023668(1355/1432)	台灣經濟 0.007855(447/728)	台北市長郝 0.007279(419/440)	12年國教 0.006668(379/404)	十二年國教 0.006144(352/352)	發言人陳以信 0.00487(278/285)	免試入學 0.0048(275/275)	媒體報導 0.004521(262/830)	今天上午 0.003282(180/430)	馬總統 0.00295(172/2302)	
中國大陸 0.050153(3760/4584)	大陸國家 0.008315(625/634)	國家主席 0.008275(624/624)	高雄市長 0.00488(366/772)	主席習 0.004827(363/484)	集體自衛權 0.004615(353/381)	支持者 0.004191(320/526)	台獨黨綱 0.003886(297/491)	主席蔡英文 0.003726(280/566)	美國總統 0.00362(270/462)	
資源回收 0.002075(92/238)	8月1日 0.001747(83/438)	沒錢 0.001507(69/128)	顧問公司 0.001507(66/124)	世足賽 0.001442(64/400)	香港馬會 0.001333(61/61)	海運快遞 0.001201(55/72)	開會討論 0.00118(52/92)	內容包括 0.001136(49/114)	曾銘宗表示 0.001136(51/102)	
主管機關 0.0159(743/1112)	今天表示 0.011737(531/1074)	基本工資 0.008695(402/700)	太陽花 0.003323(157/416)	醫師柯文哲 0.003193(150/264)	花學運 0.003085(143/382)	台大醫師 0.002934(138/236)	參選台北市長 0.001791(82/197)	附加價值 0.001683(79/214)	吸金 0.001575(72/170)	
石化專區 0.009111(522/522)	石化管線 0.008134(470/528)	國是會議 0.008116(464/468)	經貿國是 0.007593(437/440)	石化產業 0.002548(152/321)	地方政府 0.002304(130/1190)	經濟部長杜紫軍 0.001903(113/134)	市長陳菊 0.00185(103/884)	中央公園 0.001815(111/200)	石化工業區 0.001763(101/106)	
中央社翻譯 0.004028(274/318)	消息人士 0.002902(200/378)	分離主義 0.002651(179/179)	官員表示 0.002369(160/444)	美國總統 0.002354(160/462)	歐洲聯盟 0.002221(148/152)	總統歐巴馬 0.002014(130/400)	國會議員 0.00194(132/236)	飛彈擊落 0.001703(116/198)	武裝分子 0.001703(115/115)	
