自由經濟 0.011382(500/770)	經濟示範區 0.010561(452/708)	推薦新聞 0.007208(309/552)	特別條例 0.004813(218/392)	示範區特別 0.003741(166/296)	做事 0.002874(137/280)	解決問題 0.002281(97/356)	產業園區 0.002258(99/180)	台灣前途 0.002122(96/264)	季財報 0.002122(88/162)	
身心障礙 0.005866(277/520)	供民眾 0.002161(94/188)	系列產品 0.001764(81/165)	路跑活動 0.00172(77/148)	明年度 0.001588(70/94)	旅遊旺季 0.001544(69/158)	財政健全 0.0015(64/126)	財富管理 0.001389(62/218)	控股公司 0.001301(60/112)	銀髮俱樂部 0.001235(56/56)	
地方政府 0.014036(678/1190)	集體自衛權 0.007361(349/381)	日本政府 0.006176(301/384)	社會住宅 0.005843(279/792)	美日 0.003805(186/196)	公益活動 0.002766(132/340)	呼籲民眾 0.002537(124/250)	7月1日 0.002121(100/602)	7月30日 0.00208(103/158)	環保局表示 0.001747(87/154)	
人工生殖 0.004796(203/203)	官員表示 0.002386(101/444)	行政院長江宜樺 0.001914(79/196)	不孕夫妻 0.001866(79/83)	花蓮縣長 0.001866(78/134)	台北市議員 0.001866(83/208)	募款晚會 0.001725(72/75)	客家文化 0.001607(67/254)	救人 0.001489(58/190)	電動機車 0.001489(65/80)	
新北市 0.005906(284/2388)	房仲業者 0.003184(167/216)	生活機能 0.002583(131/184)	住商不動產 0.002503(125/125)	受到影響 0.001842(98/282)	實價登錄 0.001542(85/248)	公告現值 0.001542(77/142)	建議民眾 0.001382(72/102)	沒錢 0.001362(67/128)	新成屋 0.001342(64/86)	
公路總局 0.005621(302/324)	股價指數 0.004234(234/234)	新台幣兌 0.003759(210/259)	成交金額 0.003613(198/456)	台北股市 0.003394(188/355)	加權指數 0.003248(179/219)	指數上漲 0.003175(183/293)	道瓊工業 0.003157(173/173)	指數下跌 0.002738(146/209)	創新高 0.002555(147/652)	
彭博報導 0.008901(384/394)	注中獎 0.005437(237/237)	值得注意 0.00351(147/376)	今天公布 0.002317(105/262)	人士說 0.002248(99/238)	中央社陳昱婷 0.002065(90/91)	中心主任 0.002065(93/414)	知情人士 0.001835(82/176)	今彩 0.001767(76/83)	彭博訪調 0.001606(70/70)	
郝龍斌 0.02222(1122/1432)	復興航空 0.009523(492/668)	罹難者 0.008406(434/784)	台北市長郝 0.006192(313/440)	航空公司 0.004938(248/808)	台北市政府 0.002802(152/372)	澎湖空難 0.002724(147/226)	龍斌說 0.002626(126/140)	龍斌表示 0.002391(121/122)	今天上午 0.002293(115/430)	
國際油價 0.004504(207/207)	中油公司 0.004004(183/212)	強陣風 0.003373(156/311)	無鉛汽油 0.003221(148/148)	創下歷史 0.002785(125/248)	資源回收 0.002677(125/238)	中國人民 0.002546(125/334)	營收達 0.002176(96/239)	就職典禮 0.002002(94/176)	商業營業額 0.00198(90/99)	
新北市政府 0.005228(250/470)	發展協會 0.004183(201/250)	再生能源 0.003585(170/444)	實價課稅 0.002753(131/390)	主辦單位 0.002198(100/532)	弱勢團體 0.002006(92/140)	社區發展 0.001942(95/104)	沒問題 0.001601(81/196)	產業發展 0.001579(80/754)	機會獲得 0.001473(71/120)	
智慧型手機 0.014683(825/1126)	中華電信 0.012665(717/1046)	平板電腦 0.007949(432/636)	電信業者 0.004948(272/284)	台灣大 0.003787(212/214)	台灣大哥大 0.003537(198/198)	合作夥伴 0.00334(188/298)	台塑集團 0.003233(178/292)	遠傳電信 0.002715(152/182)	電信公司 0.00268(150/158)	
服務中心 0.00376(168/326)	台灣市場 0.002842(128/286)	變形金剛 0.00273(123/182)	台灣高鐵 0.00235(102/252)	原物料 0.002283(102/190)	農曆七月 0.001947(84/127)	高鐵公司 0.001902(84/168)	參賽者 0.00188(82/132)	線上報名 0.001768(77/100)	清算行 0.001746(78/78)	
中國大陸 0.033526(2950/4584)	合併營收 0.014454(1277/1277)	季營收 0.010674(943/943)	歷史新高 0.006259(549/928)	季成長 0.004494(400/430)	創新高 0.004313(376/652)	年增 0.004267(387/694)	法人預估 0.003871(342/342)	季合併 0.00386(341/341)	供應鏈 0.003305(282/584)	
社會住宅 0.004214(183/792)	陳震遠 0.003349(151/151)	物價指數 0.00326(151/292)	消費者物價 0.003039(134/226)	陳震武 0.002462(111/111)	觀光旅遊 0.002329(107/342)	月餅禮盒 0.002196(94/162)	世界遺產 0.001996(90/90)	租金補貼 0.001575(64/222)	亞太地區 0.001575(64/222)	
障礙者 0.00576(259/314)	下午4時 0.005187(228/536)	消息人士 0.004833(220/378)	身心障礙 0.003774(155/520)	身障者 0.003156(143/148)	者家屬 0.002428(105/258)	受害者 0.002362(97/176)	中國政府 0.001986(88/282)	實價登錄 0.001655(72/248)	沒有人 0.001457(56/320)	
冰桶挑戰 0.006676(318/318)	凍人協會 0.002624(127/148)	台北捷運 0.00254(118/288)	捷運公司 0.002477(122/218)	電力公司 0.002246(109/152)	凍人募款 0.001932(92/92)	高美濕地 0.00168(80/114)	台北市政府 0.001533(58/372)	接受挑戰 0.001449(73/132)	募款活動 0.001428(70/104)	
中央氣象局 0.010515(604/604)	短暫陣雨 0.009958(572/572)	提醒民眾 0.006998(404/426)	氣象局表示 0.006877(395/395)	午後雷陣雨 0.005797(333/335)	補充水分 0.005397(310/310)	太平洋高壓 0.005362(308/308)	瞬間大雨 0.004683(269/269)	外圍環流 0.004683(269/269)	熱帶性低氣壓 0.004648(267/267)	
訪台 0.01216(666/858)	今天表示 0.010902(584/1074)	房地合一 0.00857(460/478)	召開記者會 0.006497(355/822)	市長陳菊 0.006404(349/884)	大陸國台辦 0.005312(288/628)	太陽花 0.004479(252/416)	實價課稅 0.004368(234/390)	花學運 0.004035(226/382)	張志軍訪 0.003517(198/370)	
工作機會 0.003602(153/320)	勞動部 0.003281(142/460)	台中市政府 0.003166(142/312)	洽詢電話 0.002937(129/302)	外籍勞工 0.002707(110/200)	模範父親 0.002432(109/121)	7月31日 0.002271(93/288)	經濟部長張家祝 0.002111(97/318)	廈門公司 0.001904(83/83)	開罰 0.001491(65/208)	
電子產品 0.003024(136/234)	美國商會 0.002374(104/106)	金融海嘯 0.002352(107/272)	股份有限公司 0.002329(108/288)	大陸政府 0.001814(88/234)	特任副主委 0.001814(81/81)	移送調查局 0.00159(71/71)	國家安全 0.001568(71/422)	工作疑點 0.001501(67/67)	副主委張顯耀 0.001456(67/149)	
高雄氣爆 0.028317(2352/2368)	高雄市政府 0.017195(1421/1468)	氣爆事件 0.015872(1320/1320)	應變中心 0.005652(470/470)	氣爆意外 0.004834(402/402)	李長榮化工 0.004353(362/362)	2014年8月 0.003812(327/796)	石化管線 0.003776(310/528)	石化氣爆 0.003728(310/310)	發生氣爆 0.003631(302/302)	
8月1日 0.007145(292/438)	主委曾銘宗 0.005023(214/226)	金管會主委 0.004693(206/230)	網路簡訊 0.003443(146/146)	官員說 0.002618(108/324)	美國國防部 0.002335(96/166)	曾銘宗表示 0.00224(95/102)	海外市場 0.001722(69/174)	食品安全 0.001368(59/168)	攻擊直升機 0.001344(59/95)	
新高紀錄 0.002719(128/370)	5月營收 0.00265(112/311)	6月營收 0.002582(118/319)	法說 0.002125(88/166)	預估值 0.002102(95/183)	疾病管制 0.001965(86/86)	管制署 0.001714(75/76)	現金股息 0.001439(64/158)	相關問題 0.001394(51/116)	台日通 0.001371(60/60)	
兩岸關係 0.023633(1461/1526)	國台辦主任 0.013859(851/968)	主任張志軍 0.013162(810/954)	來台 0.010196(629/2678)	台獨黨綱 0.007959(491/491)	高雄市長 0.007943(493/772)	服貿協議 0.006597(410/822)	和平發展 0.006111(377/390)	主席蔡英文 0.005706(347/566)	大陸國台辦 0.005528(340/628)	
主管機關 0.009463(423/1112)	相關單位 0.009398(424/708)	當地居民 0.004656(210/356)	統一渡假村 0.004373(201/205)	幸福人壽 0.004068(187/187)	國寶人壽 0.003611(167/295)	鹿港文創 0.003459(159/159)	創會館 0.003285(151/151)	觀光工廠 0.003002(141/174)	7月10日 0.002306(102/148)	
基隆市長 0.013984(789/789)	基本工資 0.00475(273/700)	國民黨提名 0.004236(240/266)	參選基隆 0.003988(225/225)	工資審議 0.003332(188/188)	議長黃景泰 0.003173(182/384)	都市計畫 0.002854(163/444)	主辦單位 0.002659(153/532)	黨中央 0.002588(140/490)	市長選舉 0.002446(134/299)	
翠玉白菜 0.007577(346/346)	故宮博物院 0.006854(315/316)	伊波拉病毒 0.006394(292/292)	國立故宮 0.006241(285/285)	國立博物館 0.004095(187/187)	審議委員會 0.003613(167/290)	神品至寶展 0.003263(149/149)	赴日 0.002935(136/218)	營收為 0.002825(132/321)	電子報2014年 0.002694(121/226)	
新藥 0.009824(441/454)	大陸市場 0.00652(298/674)	罹難者 0.003372(148/784)	公共建設 0.002248(97/258)	8月31日 0.001979(81/144)	來自星星 0.001934(86/108)	市場規模 0.001844(82/170)	報告顯示 0.001799(75/150)	臨床試驗 0.001664(74/122)	新創公司 0.001596(71/84)	
主計總處 0.005818(250/372)	新產品 0.005562(240/521)	馬政府 0.005259(222/612)	中央社翻譯 0.004259(182/318)	為例 0.002793(124/836)	成為全球 0.002723(115/246)	今年7月 0.002537(104/302)	物聯網 0.002467(104/188)	國會議員 0.002397(100/236)	業者表示 0.002327(105/346)	
解決方案 0.0062(253/466)	台灣經濟 0.006177(267/728)	產業發展 0.002984(120/754)	綠建築 0.00282(122/196)	國際市場 0.002541(106/254)	量身 0.002471(107/180)	7月7日 0.002471(104/170)	雲端運算 0.002075(88/194)	季營運 0.002028(89/237)	集團旗下 0.001911(80/382)	
監督條例 0.009214(595/689)	馬總統 0.008822(574/2302)	經濟發展 0.00879(563/1042)	兩岸協議 0.00799(505/581)	協議監督 0.00675(432/503)	台灣經濟 0.005635(361/728)	發言人陳以信 0.004144(263/285)	民進黨主席 0.004034(257/598)	服貿協議 0.003893(251/822)	貿易協議 0.003893(251/339)	
推播通知 0.007656(331/332)	重大新聞 0.007656(331/332)	通知快 0.00761(330/330)	快下載 0.00761(330/330)	成交金額 0.004589(202/456)	上市公司 0.003321(144/260)	解決問題 0.003067(137/356)	國寶人壽 0.002975(128/295)	報導指出 0.002629(103/498)	無人 0.002076(87/540)	
影像較少 0.006234(261/498)	達志2014年 0.00335(146/258)	活動期間 0.003164(138/322)	發表聲明 0.003141(136/404)	中獎號碼 0.002768(116/187)	當地民眾 0.00235(99/174)	號碼為 0.001954(84/137)	中央軍委 0.001908(84/126)	公共自行車 0.001419(61/100)	8月20日 0.001419(57/200)	
經濟成長 0.016158(724/864)	今天說 0.00818(366/628)	經濟成長率 0.006141(277/416)	大陸經濟 0.005199(233/492)	全球經濟 0.003653(169/366)	經濟合作 0.002286(99/480)	今年經濟 0.002174(99/100)	新車 0.002107(97/358)	文化園區 0.001838(91/176)	成長幅度 0.001771(77/234)	
協會理事長 0.004824(211/388)	民進黨主席 0.004711(206/598)	政治人物 0.004598(201/498)	大股東 0.004057(176/356)	參選人柯文哲 0.003832(169/540)	約新台幣 0.003426(155/228)	報導指出 0.002232(105/498)	金融服務 0.001984(92/172)	商業銀行 0.001668(78/157)	公共運輸 0.001578(71/190)	
新聞相關 0.043506(2010/2914)	相關影音 0.043398(1992/2756)	103年8月 0.009038(434/580)	縣長吳志揚 0.006838(316/374)	國民黨立委 0.006687(307/486)	副縣長 0.004918(221/562)	桃園縣長 0.004659(212/240)	桃園機場 0.003818(178/370)	受訪表示 0.003451(145/302)	縣長葉世文 0.002977(141/306)	
國民黨團 0.010578(545/555)	監察委員 0.00592(301/506)	條例草案 0.005765(298/348)	立法院黨團 0.004678(242/242)	監察院人事 0.004328(223/227)	人事同意權 0.004231(231/405)	同意權案 0.003824(197/197)	中國國民黨 0.00361(184/416)	國道收費員 0.003183(164/164)	戶政事務所 0.002795(141/200)	
103年7月 0.00919(411/586)	教宗方濟 0.004148(190/190)	公車路線 0.003296(156/200)	新聞專輯 0.002773(127/388)	文教基金會 0.002139(103/284)	交通局長 0.002096(94/251)	當地時間 0.001965(90/250)	天主教教宗 0.001703(78/78)	年減 0.001681(77/207)	中國市場 0.001419(71/186)	
台北市長參選人 0.020869(1282/1282)	參選人連勝文 0.011851(728/728)	國民黨台北市長 0.009181(564/564)	參選人柯文哲 0.006023(371/540)	柯文哲說 0.005437(334/334)	在野整合 0.004705(291/294)	醫師柯文哲 0.004298(264/264)	台大醫師 0.003842(236/236)	黨中央 0.003402(217/490)	在野大聯盟 0.00324(201/211)	
總統馬英九 0.013401(591/1040)	航空公司 0.01152(510/808)	投資者 0.005301(232/362)	長榮航空 0.003832(167/186)	運動中心 0.003511(154/172)	合作關係 0.00257(109/260)	主辦單位 0.002364(107/532)	7月1日 0.002318(98/602)	受歡迎 0.002111(88/242)	沒人 0.001974(82/364)	
來台 0.037017(1791/2678)	觀光產業 0.005758(280/384)	陸客來 0.003661(182/216)	暑假期間 0.003455(174/302)	太陽光電 0.002941(143/174)	器官捐贈 0.002694(131/131)	弱勢家庭 0.002221(109/316)	穩定成長 0.001995(95/200)	今年度 0.001974(100/268)	感染者 0.001933(91/150)	
加密手機 0.002256(105/105)	業者說 0.001547(71/154)	馬術治療 0.001483(69/69)	沒人 0.00144(71/364)	外貿協會 0.001397(70/230)	金融機構 0.001203(57/352)	專業人才 0.001096(55/76)	附近居民 0.001075(54/124)	社會企業 0.00101(46/158)	聯亞光電 0.00101(47/50)	
行政院長江 0.012207(532/728)	長江宜樺 0.011929(515/702)	民進黨立委 0.006949(294/734)	行動裝置 0.005466(236/422)	董事長郭台銘 0.005374(227/256)	鴻海集團 0.00498(220/344)	江宜樺 0.004887(208/300)	集團董事長 0.004424(196/472)	陸委會主委 0.004262(185/396)	主委王郁琦 0.004239(188/390)	
同業公會 0.004322(183/274)	商業同業 0.004037(169/190)	今年6月 0.003301(146/328)	開賣 0.003159(129/207)	派人 0.00228(104/162)	8月15日 0.00228(92/216)	競選連任 0.002256(92/182)	區域經濟 0.00209(89/394)	金融市場 0.001876(76/199)	發表聲明 0.001686(75/404)	
