注中獎 0.005653(237/237)	今年4月 0.00551(235/366)	生物多樣性 0.005414(228/248)	公共建設 0.002433(100/258)	相關訊息 0.002194(95/178)	氣候變遷 0.002123(92/360)	新台幣兌 0.002004(82/259)	台北外匯 0.001813(76/76)	生態旅遊 0.001694(68/117)	專用道 0.001694(70/181)	
103年8月 0.010529(479/580)	黨中央 0.00664(297/490)	彰化縣長 0.003912(171/174)	立法院長王金平 0.002729(116/308)	民進黨立委 0.00257(110/734)	手機遊戲 0.002274(99/122)	登錄興櫃 0.002206(97/111)	黨部主委 0.002092(88/226)	線上遊戲 0.002047(96/134)	縣長卓伯源 0.002047(91/134)	
為例 0.00938(408/836)	集體自衛權 0.008191(360/381)	新產品 0.007275(317/521)	年增 0.006681(294/694)	馬政府 0.005056(233/612)	日本政府 0.004942(217/384)	台北國際 0.004393(188/332)	美日 0.003615(154/196)	市場預期 0.003295(147/358)	今年5月 0.003226(144/354)	
行政院長江 0.012219(554/728)	長江宜樺 0.011161(493/702)	推薦新聞 0.010081(450/552)	民進黨立委 0.006998(320/734)	江宜樺 0.004928(216/300)	黃埔建軍 0.00333(148/148)	總統大選 0.00279(126/460)	恢復正常 0.002228(101/236)	國軍官兵 0.002093(95/129)	嚴部長 0.002093(91/148)	
經濟成長 0.010557(443/864)	相關單位 0.00978(425/708)	人力銀行 0.006147(265/324)	戶政事務所 0.004365(193/200)	客家文化 0.004319(193/254)	大陸經濟 0.004296(181/492)	經濟成長率 0.004136(179/416)	縣長參選人 0.003222(143/253)	企業社會 0.003016(136/220)	全球經濟 0.002879(132/366)	
自由經濟 0.008376(360/770)	經濟示範區 0.007908(342/708)	人工生殖 0.00475(203/203)	特別條例 0.004492(195/392)	新聞專輯 0.004422(189/388)	示範區特別 0.003463(153/296)	世界盃足球賽 0.002901(121/220)	消費滿 0.002597(115/248)	解決問題 0.002433(92/356)	巴西世界盃 0.002246(97/100)	
中國大陸 0.055855(3983/4584)	國家主席 0.00872(624/624)	大陸國家 0.008706(630/634)	美國總統 0.005883(419/462)	總統歐巴馬 0.004695(333/400)	馬英九總統 0.003815(274/714)	主席習 0.003312(238/484)	自由貿易 0.003116(224/474)	貿易協定 0.003088(211/328)	區域經濟 0.002879(208/394)	
媒體報導 0.013657(545/830)	實價登錄 0.002962(120/248)	美國經濟 0.002913(117/216)	當地居民 0.002546(100/356)	人士指出 0.001934(72/370)	社保基金 0.001713(70/82)	相關新聞 0.001665(64/116)	手機市場 0.001518(66/192)	訂票 0.00142(59/104)	台北車站 0.001395(58/132)	
伊波拉病毒 0.006337(291/292)	家扶中心 0.004471(210/353)	基本工資 0.004471(210/700)	高速公路 0.004145(186/264)	大股東 0.003429(151/356)	再生能源 0.00293(137/444)	海軍陸戰隊 0.002626(118/172)	報導指出 0.002322(107/498)	行政院長江宜樺 0.001975(94/196)	8月1日 0.001888(86/438)	
郝龍斌 0.028482(1212/1432)	台北市長郝 0.007873(334/440)	台北市政府 0.006204(271/372)	台北捷運 0.006087(248/288)	下午4時 0.005123(219/536)	捷運公司 0.004865(202/218)	龍斌說 0.00329(140/140)	認購權證 0.003102(132/240)	龍斌表示 0.002867(122/122)	液晶電視 0.002844(117/190)	
監督條例 0.00806(454/689)	兩岸協議 0.00708(378/581)	服貿協議 0.006766(347/822)	協議監督 0.006008(331/503)	自由經濟 0.005232(282/770)	經濟示範區 0.004381(234/708)	民進黨主席 0.003919(198/598)	自由貿易 0.003383(186/474)	貿易協議 0.003087(166/339)	主計總處 0.002865(156/372)	
