季營收 0.012666(486/943)	資本市場 0.005158(202/343)	防空識別區 0.004188(165/189)	季成長 0.004035(155/430)	創歷史 0.003728(145/376)	法人預估 0.003422(132/342)	櫃買中心 0.003013(115/209)	旅遊旺季 0.002911(112/158)	資本支出 0.00286(112/305)	國際金融 0.002809(112/165)	
達人 0.006575(255/414)	成交金額 0.006294(241/456)	上市公司 0.004375(168/260)	台北國際 0.004298(170/332)	發言人陳以信 0.004068(157/285)	台灣經濟 0.003991(150/728)	創下歷史 0.003249(129/248)	交通部觀光局 0.002559(103/300)	新台幣兌 0.002379(91/259)	考試委員 0.002354(93/247)	
台獨黨綱 0.010682(477/491)	主席蔡英文 0.010124(447/566)	高雄市長 0.009433(423/772)	支持者 0.007917(343/526)	市長賴清德 0.007627(346/388)	總統大選 0.007359(334/460)	台灣經濟 0.00669(295/728)	台南市長 0.006489(291/298)	民進黨主席 0.006266(269/598)	服貿協議 0.004906(217/822)	
媒體報導 0.013702(548/830)	投資者 0.004064(162/362)	舉行記者會 0.003271(135/308)	月餅禮盒 0.003246(133/162)	蛋黃酥 0.002825(117/117)	公民團體 0.002825(111/274)	競選總幹事 0.002503(103/188)	立法院臨時會 0.002478(100/301)	江院長 0.002354(93/166)	台聯黨團 0.002156(84/151)	
發表聲明 0.001888(72/404)	功能障礙 0.001888(72/72)	公共運輸 0.001809(65/190)	大腸桿菌群超標 0.001783(68/68)	高收益債 0.001756(66/144)	外籍勞工 0.001573(60/200)	協會理事長 0.001547(56/388)	勃起功能 0.001521(58/58)	今年6月 0.001442(52/328)	董氏基金會 0.001337(48/92)	
航空公司 0.015946(642/808)	長榮航空 0.004207(167/186)	人士說 0.003955(158/238)	新車 0.003855(153/358)	高架化 0.00262(102/131)	7月1日 0.002142(84/602)	鐵路高架 0.002142(86/97)	線上報名 0.00199(75/100)	服務中心 0.001638(67/326)	投資說明會 0.001587(63/63)	
公司表示 0.004666(188/290)	台灣高鐵 0.003444(136/252)	恢復正常 0.003094(120/236)	今年4月 0.002271(93/366)	高鐵公司 0.002021(81/168)	投入救援 0.001996(81/90)	國民黨中央 0.001947(76/184)	作戰區 0.001922(75/126)	昨天上午 0.001872(72/222)	事故發生 0.001597(62/122)	
人力銀行 0.006796(303/324)	接受媒體 0.004854(211/314)	調查顯示 0.003748(164/290)	媒體訪問 0.003409(150/222)	壽險公司 0.003206(147/273)	議長黃景泰 0.003093(135/384)	受訪者 0.00289(130/294)	好戰分子 0.002845(124/165)	市長選舉 0.002687(114/299)	太陽光電 0.002574(112/174)	
保險公司 0.00706(294/406)	官員表示 0.006774(291/444)	戶政事務所 0.003769(163/200)	審議委員會 0.002839(118/290)	7月1日 0.002457(104/602)	上午11時 0.002218(90/404)	房地合一 0.002147(104/478)	大螢幕 0.001956(83/136)	中央軍委 0.001861(73/126)	分離課稅 0.001861(78/78)	
來台 0.037662(1739/2678)	石化專區 0.011318(522/522)	石化管線 0.004619(207/528)	觀光產業 0.00425(200/384)	陸客來 0.00399(185/216)	永續發展 0.003144(148/262)	台旅遊 0.001995(92/92)	石化產業 0.001952(89/321)	穩定成長 0.001865(85/200)	台觀光 0.001843(84/112)	
國寶人壽 0.007683(295/295)	市場需求 0.006642(262/440)	幸福人壽 0.004871(187/187)	縣長參選人 0.003646(140/253)	大陸市場 0.003256(127/674)	障礙者 0.003204(118/314)	今年3月 0.002657(102/370)	經濟部長張家祝 0.002422(92/318)	資產配置 0.002266(86/152)	業績成長 0.002084(77/230)	
經濟成長 0.012018(654/864)	103年8月 0.006484(358/580)	大陸經濟 0.006338(349/492)	經濟成長率 0.005863(317/416)	中國大陸 0.004749(272/4584)	教宗方濟 0.00347(190/190)	全球經濟 0.003196(178/366)	經濟合作 0.002082(114/480)	開發銀行 0.002082(115/119)	中心主任 0.002009(109/414)	
新產品 0.008151(325/521)	物價指數 0.006983(276/292)	基本工資 0.006958(275/700)	消費者物價 0.005358(213/226)	工資審議 0.004774(188/188)	請民眾 0.002667(106/170)	成為全球 0.00259(104/246)	審議委員會 0.002362(100/290)	國際大廠 0.002133(85/150)	全球市場 0.001956(75/174)	
