臉書 0.015006(537/1060)	台北市長參選人 0.012923(452/1282)	解決方案 0.00473(163/466)	公益活動 0.004223(146/340)	國際市場 0.00321(118/254)	近年來 0.003013(110/320)	季營運 0.002534(86/237)	食品安全 0.002253(76/168)	教育訓練 0.002253(80/118)	未來發展 0.001999(64/246)	
郝龍斌 0.031911(1292/1432)	台北市長郝 0.009672(383/440)	台北市政府 0.004453(184/372)	台灣民眾 0.003018(116/560)	客家文化 0.002647(103/254)	公共建設 0.002647(109/258)	國家公園 0.002375(101/484)	經濟部長張家祝 0.002276(93/318)	龍斌表示 0.002251(88/122)	森林公園 0.002251(90/152)	
氣候變遷 0.008848(326/360)	應變中心 0.006669(249/470)	生物多樣性 0.002663(97/248)	人士指出 0.001775(59/370)	國際大 0.001479(55/82)	9月1日 0.001372(45/156)	今年3月 0.001372(50/370)	森林步道 0.001291(48/50)	水資源 0.001237(47/190)	政務副主委 0.00121(45/49)	
營收為 0.003482(120/321)	國營事業 0.002226(78/210)	系列產品 0.001998(70/165)	衛生福利部 0.001798(61/258)	綠建築 0.001684(58/196)	接受調查 0.001627(58/106)	社會企業 0.001599(56/158)	住房專案 0.001599(54/91)	特別預算 0.001484(54/89)	登錄興櫃 0.001456(52/111)	
大陸官方 0.003826(143/286)	中共中央 0.003432(129/272)	新高紀錄 0.003376(120/370)	房地產市場 0.003292(114/232)	上午10時 0.003263(119/340)	5月營收 0.003123(107/311)	6月營收 0.00301(102/319)	訪台 0.00287(102/858)	人士透露 0.002842(103/190)	中國國家 0.002757(101/206)	
加密手機 0.002824(104/105)	國家公園 0.002662(103/484)	台灣國際 0.002501(90/200)	弱勢團體 0.002367(93/140)	工作人員 0.002044(73/512)	服務中心 0.001883(69/326)	台北市立 0.001802(64/114)	今年暑假 0.001802(70/116)	七股海鮮節 0.001775(66/66)	移轉訂價 0.001721(64/64)	
國寶人壽 0.007702(292/295)	亞太電信 0.005126(191/223)	戶政事務所 0.005073(191/200)	幸福人壽 0.004915(187/187)	7月1日 0.003654(142/602)	資料顯示 0.002944(104/536)	今天上午 0.002813(106/430)	6月30日 0.002786(108/252)	觀光旅遊 0.002418(98/342)	值得注意 0.002182(85/376)	
馬總統 0.042996(1538/2302)	媒體報導 0.015907(569/830)	主辦單位 0.007583(274/532)	人事同意權 0.004506(155/405)	新台幣兌 0.002693(99/259)	執行力 0.002665(94/170)	人士指出 0.002308(81/370)	上市櫃公司 0.002198(82/152)	台北外匯 0.002088(76/76)	今天開盤價 0.001814(66/66)	
合宜住宅 0.020636(932/944)	今天表示 0.009368(440/1074)	桃園縣政府 0.006518(297/354)	社會住宅 0.006253(271/792)	副縣長 0.006231(277/562)	涉貪 0.005965(275/343)	八德合宜 0.005943(269/269)	住宅政策 0.005921(264/286)	地方政府 0.004618(213/1190)	遠雄集團 0.004485(203/203)	
電子商務 0.015328(628/722)	產業發展 0.011557(481/754)	成長動能 0.003625(150/402)	就業機會 0.003358(135/432)	積極推動 0.002701(112/410)	產學合作 0.002701(109/158)	資通訊 0.002458(102/148)	財富管理 0.002458(101/218)	育成中心 0.002312(98/126)	產業創新 0.002287(95/107)	
國民黨團 0.008574(544/555)	監察委員 0.00665(421/506)	馬總統 0.005616(336/2302)	條例草案 0.005281(334/348)	監督條例 0.005043(305/689)	議長黃景泰 0.004136(257/384)	兩岸協議 0.003961(252/581)	立法院黨團 0.00385(242/242)	人事同意權 0.003834(250/405)	協議監督 0.003627(220/503)	
基隆市長 0.00731(286/789)	諮詢委員 0.003144(123/144)	國安會諮詢 0.002786(109/109)	嘉義市長 0.002709(106/106)	委員謝立功 0.002479(97/97)	手機遊戲 0.002326(93/122)	市長選舉 0.002249(90/299)	市長參選人 0.002173(91/712)	生態旅遊 0.002096(84/117)	線上遊戲 0.002019(83/134)	
標準時間 0.060812(3424/3482)	台北標準 0.06044(3413/3480)	時間下午 0.031087(1758/1758)	時間上午 0.030238(1714/1782)	新鮮事 0.023426(1324/1324)	天下新鮮 0.023143(1308/1308)	中央社2014年 0.014916(842/854)	2014年6月 0.014491(831/920)	週四台北 0.013589(773/804)	下午5時 0.008971(507/530)	
雲端服務 0.003641(142/176)	產業發展 0.003534(140/754)	通訊軟體 0.003159(115/188)	新台幣兌 0.002945(108/259)	解決方案 0.002811(102/466)	雲端運算 0.00257(93/194)	字頭 0.00257(99/188)	加權指數 0.002302(87/219)	請民眾 0.002088(80/170)	近年來 0.001901(73/320)	
