馬總統 0.040662(1451/2302)	人事同意權 0.00445(154/405)	總統說 0.003107(109/350)	疾病管制 0.002295(83/86)	管制署 0.002071(76/76)	登革熱疫情 0.001931(69/71)	證券市場 0.001819(63/98)	願景 0.001651(58/326)	積水容器 0.001623(59/59)	獨立書店 0.001595(58/60)	
警方表示 0.002859(98/132)	系列產品 0.002573(101/165)	人受傷 0.001887(68/330)	新竹市長 0.00183(62/112)	海外說明會 0.001715(60/60)	金融危機 0.001515(52/100)	成長力道 0.001487(49/130)	合作關係 0.001487(45/260)	控股公司 0.001401(48/112)	造成嚴重 0.001201(46/196)	
身心障礙 0.006809(245/520)	模範父親 0.003066(113/121)	營收達 0.002605(96/239)	觀光工廠 0.002496(93/174)	行動電源 0.002252(82/160)	世界展望會 0.002225(82/82)	社會責任 0.002116(87/338)	選舉委員會 0.001954(73/140)	月正成長 0.001791(60/95)	發生嚴重 0.001709(61/162)	
兩岸關係 0.01175(753/1526)	國台辦主任 0.010334(666/968)	主任張志軍 0.009945(642/954)	高雄市長 0.008326(535/772)	台獨黨綱 0.007611(489/491)	訪台 0.00719(468/858)	大陸國台辦 0.00677(430/628)	主席蔡英文 0.005976(379/566)	支持者 0.004949(323/526)	市長賴清德 0.004763(311/388)	
成交金額 0.006088(210/456)	防空識別區 0.005235(185/189)	上市公司 0.004467(157/260)	預估值 0.004268(152/183)	通訊軟體 0.003357(116/188)	證券交易所 0.002532(86/152)	資料顯示 0.002049(65/536)	證交所表示 0.001963(63/95)	供民眾 0.001935(68/188)	加權股價 0.001935(67/162)	
人力銀行 0.008038(312/324)	罹難者 0.007883(308/784)	保險公司 0.007729(294/406)	8月1日 0.005642(208/438)	調查顯示 0.003839(143/290)	戶政事務所 0.003813(145/200)	調查發現 0.00353(135/210)	7月1日 0.002654(91/602)	社會新鮮人 0.002499(99/144)	中心主任 0.002345(90/414)	
弱勢家庭 0.0061(214/316)	服務中心 0.00582(204/326)	觀光景點 0.00277(93/214)	觀光旅遊局 0.002659(91/200)	慈善基金會 0.001987(71/255)	手機市場 0.001959(68/192)	一級主管 0.001903(65/86)	自行車道 0.001875(68/152)	旅遊行程 0.001679(53/142)	補充保費 0.001651(58/59)	
103年8月 0.012773(471/580)	雲端運算 0.004739(176/194)	產業發展 0.004058(159/754)	解決方案 0.003432(124/466)	雲端服務 0.00335(125/176)	國際金融 0.00286(105/165)	來自星星 0.002261(80/108)	8月20日 0.001934(73/200)	8月14日 0.001852(71/132)	難求 0.001825(70/218)	
合宜住宅 0.006968(290/944)	台灣高鐵 0.006294(252/252)	地方法院 0.003472(136/218)	空氣品質 0.003397(138/186)	台北地檢署 0.003372(135/154)	涉貪 0.003147(126/343)	高鐵公司 0.003122(137/168)	高雄市府 0.003072(120/212)	八德合宜 0.002972(121/269)	遠雄集團 0.002823(115/203)	
季營收 0.012625(938/943)	合併營收 0.010983(817/1277)	季成長 0.005478(403/430)	年增 0.004967(370/694)	法人預估 0.004603(342/342)	歷史新高 0.004388(325/928)	台灣經濟 0.003634(267/728)	創歷史 0.003325(244/376)	智慧型手機 0.003028(248/1126)	資本支出 0.003028(226/305)	
森林遊樂區 0.002164(80/113)	醫療團隊 0.002137(76/92)	北原礦業 0.001758(65/65)	水源水質 0.001731(63/67)	中國大陸 0.00165(69/4584)	幹細胞 0.001515(56/92)	嘉義縣政府 0.001461(53/68)	鐵路高架 0.001353(53/97)	主辦單位 0.001326(51/532)	回饋金 0.001326(50/136)	
議員參選人 0.001965(70/121)	都市更新 0.001824(66/342)	代理縣長 0.001824(66/85)	市議員參選人 0.00174(60/98)	香港馬會 0.001712(61/61)	財團法人 0.001656(62/290)	主管表示 0.001544(52/132)	運分析 0.00146(52/52)	今年2月 0.001347(45/266)	約新台幣 0.001291(49/228)	
新北市 0.031703(1239/2388)	合宜住宅 0.01515(564/944)	營建署長 0.005275(203/207)	副縣長 0.004964(200/562)	地方政府 0.0046(179/1190)	八德合宜 0.00356(139/269)	住宅政策 0.003508(125/286)	北市政府 0.003197(120/188)	生活機能 0.003093(115/184)	馬政府 0.003015(119/612)	
營收為 0.003525(128/321)	台灣政府 0.002322(89/114)	指標建案 0.001734(61/66)	市府團隊 0.001706(63/170)	電視節目 0.001567(56/124)	年輕世代 0.001511(55/128)	藍光 0.001259(46/133)	家扶基金會 0.001231(44/61)	研發中心 0.001203(45/95)	成為台灣 0.001119(37/226)	
實價登錄 0.00341(125/248)	人認為 0.003015(104/254)	生命財產 0.002254(78/154)	網路投保 0.002198(78/78)	航空公司 0.001944(67/808)	財產安全 0.001888(63/124)	七月一日 0.001634(57/110)	皇家公主號 0.001522(54/54)	公主遊輪 0.001465(52/54)	民眾到 0.001381(46/92)	
今天表示 0.01848(691/1074)	房地合一 0.012933(476/478)	實價課稅 0.006548(239/390)	注中獎 0.006413(237/237)	太陽花 0.005899(227/416)	花學運 0.00552(207/382)	行政院長江 0.004248(150/728)	合一實價 0.004032(149/149)	長江宜樺 0.003518(131/702)	交易所得 0.002625(97/97)	
高雄氣爆 0.032825(2324/2368)	氣爆事件 0.018158(1286/1320)	高雄市政府 0.011884(850/1468)	2014年8月 0.006797(487/796)	應變中心 0.006641(470/470)	災害應變 0.005426(384/384)	李長榮化工 0.005115(362/362)	新興市場 0.004706(333/942)	石化氣爆 0.004381(310/310)	發生氣爆 0.00414(293/302)	
基金經理人 0.011387(808/824)	新興市場 0.005052(366/942)	貨幣政策 0.004163(292/346)	企業獲利 0.003401(235/251)	台北股市 0.00326(232/355)	法人表示 0.003118(224/447)	地緣政治 0.003034(216/218)	歐洲央行 0.002879(203/212)	經濟數據 0.002752(195/206)	資產管理 0.002723(194/216)	
新聞相關 0.06416(2286/2914)	相關影音 0.061309(2201/2756)	國民黨立委 0.009361(338/486)	縣長吳志揚 0.008635(305/374)	桃園縣長 0.006455(226/240)	副縣長 0.006036(206/562)	桃園機場 0.005002(183/370)	縣長葉世文 0.004499(158/306)	日本政府 0.003884(127/384)	受訪表示 0.003717(125/302)	
石化專區 0.013001(522/522)	石化管線 0.01178(464/528)	經濟發展 0.008319(329/1042)	石化產業 0.007821(306/321)	認購權證 0.003163(128/240)	經濟部長杜紫軍 0.002939(112/134)	台灣民眾 0.00279(107/560)	石化工業區 0.002366(94/106)	地方政府 0.002316(95/1190)	法人認為 0.002092(87/206)	
主辦單位 0.00227(81/532)	勞動力發展 0.002186(74/152)	快速道路 0.001962(73/158)	公共運輸 0.001822(69/190)	提供中央社 0.001822(65/65)	機會獲得 0.001682(68/120)	有效降低 0.001654(55/122)	新北市府 0.001598(57/160)	中央社103年 0.001542(55/55)	回應表示 0.001402(48/146)	
頒獎典禮 0.0033(125/172)	社福團體 0.003101(111/218)	美國經濟 0.002987(103/216)	爭取連任 0.00293(103/196)	國內生產 0.002731(98/146)	金融市場 0.002731(92/199)	僑教中心 0.002646(94/111)	生產毛額 0.002589(93/133)	上午11時 0.002305(82/404)	兒童福利 0.002077(73/75)	
金融海嘯 0.003076(110/272)	大陸政府 0.002698(97/234)	信義房屋 0.002509(95/151)	達人 0.002347(88/414)	投資公司 0.002185(84/142)	7月19日 0.002131(79/108)	民間投資 0.001862(61/140)	競爭激烈 0.001835(64/186)	台灣分公司 0.001835(68/76)	金額為 0.001808(71/182)	
監督條例 0.01126(689/689)	兩岸協議 0.009381(575/581)	國民黨團 0.00907(555/555)	協議監督 0.008221(503/503)	監察委員 0.006897(428/506)	馬總統 0.006635(416/2302)	條例草案 0.005491(338/348)	立法院臨時會 0.004903(301/301)	自由經濟 0.004756(291/770)	中國國民黨 0.004674(283/416)	
自治條例 0.004701(169/238)	彰化縣政府 0.002365(89/220)	共同管道 0.002309(81/125)	回饋社會 0.002142(72/190)	管理自治 0.001975(71/86)	亞洲市場 0.001947(63/132)	編列預算 0.001947(70/180)	副縣長 0.001864(67/562)	目前全球 0.001753(62/126)	青年朋友 0.001697(61/92)	
當地居民 0.004057(163/356)	國家公園 0.003769(148/484)	加密手機 0.002748(105/105)	農曆七月 0.002408(91/127)	統計局 0.00233(88/98)	歐洲聯盟 0.002303(93/152)	遊客中心 0.002199(85/137)	國民黨中央 0.001963(77/184)	市場競爭 0.001911(70/112)	國家統計 0.001885(70/79)	
地方政府 0.016683(671/1190)	公益活動 0.006799(276/340)	集團董事長 0.004516(172/472)	鴻海集團 0.00424(160/344)	凍人協會 0.003287(133/148)	海軍陸戰隊 0.002986(123/172)	交通運輸 0.002559(99/142)	人才招募 0.002484(99/197)	董事長郭台銘 0.002409(98/256)	公會理事長 0.002183(81/272)	
航空公司 0.014588(533/808)	相關單位 0.01245(464/708)	議長黃景泰 0.005548(206/384)	科技大學 0.00544(198/370)	長榮航空 0.004601(171/186)	媒體訪問 0.004114(153/222)	經濟發展 0.00406(145/1042)	當地居民 0.003329(107/356)	接受媒體 0.003329(122/314)	研究人員 0.00314(118/174)	
新藥 0.012427(444/454)	大陸市場 0.009216(323/674)	公司表示 0.00324(113/290)	服貿協議 0.003212(107/822)	今天上午 0.003016(116/430)	國防部長嚴明 0.002346(85/141)	臨床試驗 0.002123(76/122)	市場規模 0.001955(69/170)	風景區管理處 0.001871(65/110)	自由貿易 0.001871(69/474)	
宏達電 0.003787(138/211)	奈米製程 0.003387(126/178)	外銷訂單 0.002987(112/118)	旅遊旺季 0.001787(63/158)	精品業者 0.00176(66/66)	慈善基金會 0.001734(71/255)	晶圓代工 0.001707(66/127)	無線充電 0.001707(67/127)	回饋社會 0.001627(62/190)	金融業者 0.0016(60/66)	
台北市長參選人 0.023447(1282/1282)	參選人連勝文 0.013315(728/728)	國民黨台北市長 0.010315(564/564)	參選人柯文哲 0.006694(366/540)	柯文哲說 0.006109(334/334)	在野整合 0.005377(294/294)	醫師柯文哲 0.004829(264/264)	家扶中心 0.004737(257/353)	台大醫師 0.004316(236/236)	參選台北市長 0.003603(197/197)	
基隆市長 0.017155(789/789)	總統馬英九 0.013894(637/1040)	歷史新高 0.010698(489/928)	國民黨提名 0.004892(226/266)	參選基隆 0.004892(225/225)	議長黃景泰 0.003849(177/384)	黨中央 0.002979(142/490)	市長選舉 0.002783(119/299)	基隆市議會 0.00274(127/147)	諮詢委員 0.002631(120/144)	
好戰分子 0.003951(162/165)	官員表示 0.003679(149/444)	和平發展 0.002222(88/390)	總統歐巴馬 0.002198(90/400)	美國總統 0.002173(81/462)	美國國務院 0.002124(86/132)	安全部隊 0.002099(86/89)	夥伴關係 0.00205(83/193)	美國官員 0.001951(74/136)	好戰份子 0.001901(76/80)	
翠玉白菜 0.009444(346/346)	故宮博物院 0.008543(312/316)	國立故宮 0.007779(285/285)	民進黨主席 0.007561(268/598)	政治人物 0.006005(202/498)	國立博物館 0.005104(187/187)	參選人柯文哲 0.004749(174/540)	神品至寶展 0.004067(149/149)	做公益 0.003931(148/262)	赴日 0.003412(130/218)	
彭博報導 0.009477(374/394)	伊波拉病毒 0.00736(292/292)	中央社翻譯 0.004587(177/318)	陳震遠 0.003806(151/151)	新高紀錄 0.003176(128/370)	5月營收 0.0031(126/311)	中獎號碼 0.003025(125/187)	6月營收 0.003025(123/319)	陳震武 0.002798(111/111)	8月7日 0.002773(110/280)	
中央氣象局 0.012121(604/604)	短暫陣雨 0.011479(572/572)	提醒民眾 0.007947(401/426)	氣象局表示 0.007927(395/395)	午後雷陣雨 0.006723(333/335)	補充水分 0.006221(310/310)	太平洋高壓 0.006181(308/308)	外圍環流 0.005398(269/269)	瞬間大雨 0.005358(267/269)	熱帶性低氣壓 0.005358(267/267)	
代表處 0.005666(215/286)	環保局表示 0.003951(151/154)	資源回收 0.003561(137/238)	開罰 0.002599(101/208)	遠雄建設 0.002547(98/146)	污染防治 0.002105(79/94)	七夕情人節 0.002079(84/184)	女學生 0.002053(80/128)	政府環保局 0.002001(78/112)	監察委員 0.002001(70/506)	
中華電信 0.014484(637/1046)	客家文化 0.005821(254/254)	台北國際 0.005248(224/332)	台灣大 0.004904(214/214)	台灣大哥大 0.004538(198/198)	大飯店 0.004492(201/448)	遠傳電信 0.003759(161/182)	電信公司 0.003369(148/158)	8月2日 0.003232(147/244)	馬總統 0.002727(119/2302)	
電子商務 0.014939(560/722)	產業發展 0.006619(259/754)	影像較少 0.006305(241/498)	國泰世華 0.004893(189/193)	就業機會 0.003166(119/432)	遠通電收 0.002747(105/128)	做事 0.002564(95/280)	積極推動 0.002564(97/410)	世華銀行 0.002433(93/93)	創新研發 0.002407(90/106)	
推播通知 0.008742(332/332)	重大新聞 0.008742(332/332)	通知快 0.00869(330/330)	快下載 0.00869(330/330)	新產品 0.005714(222/521)	台北捷運 0.005582(213/288)	捷運公司 0.004793(186/218)	主委王郁琦 0.004635(170/390)	陸委會主委 0.004503(173/396)	報導指出 0.003476(127/498)	
消息人士 0.004618(207/378)	國際社會 0.003962(173/252)	台中市政府 0.003464(154/312)	中共中央 0.002672(115/272)	飛彈擊落 0.0024(101/198)	烏克蘭危機 0.002377(105/105)	馬航班機 0.002219(98/98)	馬來西亞航空 0.002015(90/146)	一般民眾 0.001924(89/240)	總統蒲亭 0.001924(85/85)	
網路簡訊 0.003948(146/146)	沒人 0.003759(136/364)	月餅禮盒 0.003569(132/162)	請民眾 0.002921(105/170)	大股東 0.002866(107/356)	台塑化 0.002055(77/80)	穿戴裝置 0.002028(79/234)	蛋黃酥 0.001974(75/117)	鹿港天后宮 0.001758(64/104)	送禮 0.001623(70/190)	
運動中心 0.004574(158/172)	原物料 0.00304(106/190)	貿易協議 0.002229(75/339)	服務貿易 0.001882(63/313)	目前台灣 0.001795(60/224)	國民運動 0.001795(57/73)	安全問題 0.001534(46/140)	法律諮詢 0.001476(51/51)	台股指數 0.00139(48/129)	民進黨議員 0.001361(49/126)	
今天上午 0.004989(178/430)	金酒公司 0.003038(110/116)	金酒廈門 0.002369(85/85)	廈門公司 0.002314(83/83)	7月1日 0.002202(86/602)	合作關係 0.001812(67/260)	高產值 0.001812(65/65)	公益路跑 0.001784(64/64)	采瑞公司 0.001756(63/63)	機車騎士 0.0017(60/115)	
高雄市政府 0.009262(339/1468)	人工生殖 0.005629(203/203)	大法人 0.005352(195/361)	國家安全 0.004326(157/422)	房地產市場 0.003827(138/232)	大陸官方 0.003439(121/286)	馬英九總統 0.002746(105/714)	不孕夫妻 0.002191(79/83)	政治人物 0.002163(86/498)	股王大立光 0.001941(72/131)	
管理委員會 0.00324(111/188)	宣布參選 0.003066(103/273)	外交部發言人 0.003037(113/146)	監督管理 0.00298(103/108)	財團法人 0.00269(101/290)	區域經濟 0.002314(84/394)	夥伴協定 0.002314(78/257)	跨太平洋 0.002314(83/168)	中國政府 0.002199(75/282)	經貿關係 0.00217(73/149)	
大股東 0.004171(142/356)	8月15日 0.003466(126/216)	報導指出 0.003269(121/498)	服務品質 0.003213(119/268)	生技產業 0.002424(77/216)	嚴重影響 0.00217(82/186)	金融服務 0.002001(79/172)	商業銀行 0.001888(73/157)	生態旅遊 0.001719(60/117)	生物多樣性 0.001663(59/248)	
市場需求 0.006084(230/440)	舉行記者會 0.003603(136/308)	大陸市場 0.003055(123/674)	今年3月 0.002559(99/370)	線上報名 0.002167(82/100)	業績成長 0.002011(78/230)	營收可望 0.001985(76/209)	海外不動產 0.001932(74/78)	打房 0.00188(74/124)	小跌 0.001828(73/180)	
中國大陸 0.056093(3974/4584)	大陸國家 0.008619(605/634)	國家主席 0.007627(540/624)	集體自衛權 0.00465(326/381)	美國總統 0.004437(314/462)	自由貿易 0.004239(296/474)	貿易協定 0.003998(279/328)	經濟發展 0.003884(273/1042)	總統歐巴馬 0.003884(276/400)	主席習 0.003261(226/484)	
公路總局 0.006166(231/324)	統一渡假村 0.005365(201/205)	國際機場 0.004778(180/308)	鹿港文創 0.004244(159/159)	創會館 0.00403(151/151)	業者表示 0.002162(88/346)	體驗活動 0.002055(75/232)	生物多樣性 0.001949(76/248)	渡假村鹿港文 0.001788(67/67)	騎腳踏車 0.001522(57/82)	
搭車 0.005086(209/292)	洽詢電話 0.004646(194/302)	快捷巴士 0.004328(176/202)	台灣大道 0.004132(172/246)	7月1日 0.003203(128/602)	局長林良泰 0.003203(131/131)	勞動部 0.002861(111/460)	靜宜大學 0.002396(98/98)	工作機會 0.002323(97/320)	成交金額 0.002103(89/456)	
國際油價 0.005464(203/207)	中油公司 0.004611(174/212)	行動裝置 0.004478(170/422)	無鉛汽油 0.003945(148/148)	到高雄 0.002585(101/240)	無人 0.002505(92/540)	浮動油價 0.002239(84/84)	週日台北 0.002212(82/370)	國內油價 0.002186(82/82)	今天下午 0.002079(80/406)	
氣候變遷 0.005829(219/360)	臉書 0.005612(207/1060)	中心主任 0.002793(98/414)	生物多樣性 0.002684(97/248)	無人 0.002034(78/540)	美國海軍 0.002034(72/122)	高美濕地 0.001979(72/114)	影響台灣 0.001979(74/252)	滯留鋒面 0.001708(63/177)	世界遺產 0.001654(61/90)	
十二年國教 0.007065(285/352)	主辦單位 0.006464(258/532)	特色招生 0.004009(160/167)	國寶人壽 0.003332(133/295)	今天說 0.003132(121/628)	新北市 0.002781(105/2388)	12年國教 0.002731(112/404)	官員說 0.002506(101/324)	基北區 0.002481(101/107)	7月31日 0.002255(89/288)	
自由經濟 0.013228(478/770)	經濟示範區 0.011986(447/708)	財富管理 0.004778(178/218)	成長動能 0.004281(149/402)	黃埔建軍 0.004087(148/148)	氣爆意外 0.004032(150/402)	特別條例 0.004005(145/392)	示範區特別 0.003093(108/296)	主要原因 0.002955(104/250)	解決問題 0.002817(103/356)	
來台 0.051009(2196/2678)	兩岸關係 0.017103(746/1526)	主任張志軍 0.007271(312/954)	國台辦主任 0.007017(302/968)	觀光產業 0.006878(299/384)	麥德姆颱風 0.004409(188/322)	陸客來 0.004247(185/216)	自由行 0.002955(125/186)	旅遊品質 0.002493(110/110)	來台灣 0.002331(104/286)	
為例 0.008598(321/836)	年增 0.007946(278/694)	市場預期 0.004172(139/358)	新車 0.003434(122/358)	業者表示 0.003093(103/346)	今年5月 0.003037(103/354)	經濟部長張家祝 0.002554(87/318)	醫療器材 0.002327(80/212)	醫護人員 0.002242(79/156)	業者指出 0.001589(57/156)	
媒體報導 0.012307(480/830)	合併營收 0.01177(460/1277)	再生能源 0.011055(435/444)	太陽光電 0.004341(171/174)	彰化縣長 0.004239(165/174)	罹難者 0.00309(121/784)	季合併 0.002962(115/341)	縣長卓伯源 0.002349(89/134)	預計今年 0.002273(91/280)	太陽能發電 0.002273(90/90)	
主管機關 0.014863(552/1112)	推薦新聞 0.00918(341/552)	基本工資 0.008169(298/700)	資本市場 0.005219(189/343)	障礙者 0.004017(139/314)	身心障礙 0.003962(157/520)	修正草案 0.003579(132/286)	身障者 0.003142(115/148)	櫃買中心 0.002842(105/209)	成為台灣 0.002678(102/226)	
