十二年國教 0.008676(349/352)	12年國教 0.008478(351/404)	免試入學 0.006817(275/275)	特色招生 0.00414(167/167)	級分 0.003049(122/130)	基北區 0.002653(107/107)	志願序 0.002529(102/129)	國中會考 0.00243(98/117)	選填志願 0.002082(85/112)	特招考試 0.001859(75/75)	
電子商務 0.015595(563/722)	產業發展 0.008946(340/754)	教宗方濟 0.005198(190/190)	經濟部工業局 0.00383(136/216)	就業機會 0.003748(140/432)	宏達電 0.003338(120/211)	積極推動 0.002763(97/410)	美國經濟 0.002545(90/216)	中國領空 0.002463(90/90)	新興產業 0.002408(91/138)	
媒體報導 0.015048(540/830)	推薦新聞 0.011128(409/552)	為例 0.008168(305/836)	年增 0.007785(288/694)	台灣經濟 0.007428(279/728)	新車 0.007099(260/358)	新北市政府 0.004989(173/470)	歷史新高 0.004276(159/928)	市場預期 0.004139(155/358)	黃埔建軍 0.004057(148/148)	
受訪者 0.003891(141/294)	總統大選 0.003211(122/460)	民調顯示 0.003102(115/194)	無人 0.002449(94/540)	中國政府 0.002449(90/282)	結果顯示 0.002259(77/192)	舉行總統 0.002259(83/83)	新民調 0.002177(80/117)	台塑化 0.002068(76/80)	民意調查 0.001878(67/108)	
集體自衛權 0.010449(373/381)	短暫陣雨 0.00572(201/572)	日本政府 0.005692(207/384)	美日 0.004899(171/196)	人士說 0.004361(155/238)	補充水分 0.0032(112/310)	金額新台幣 0.002605(95/191)	安倍晉三 0.002605(98/120)	行動電源 0.002379(82/160)	報導指出 0.00235(87/498)	
台北市長參選人 0.017331(826/1282)	參選人連勝文 0.009589(461/728)	參選人柯文哲 0.007679(369/540)	國民黨台北市長 0.007553(360/564)	柯文哲說 0.004952(237/334)	醫師柯文哲 0.004889(232/264)	台大醫師 0.004574(215/236)	大法人 0.003882(186/361)	競選總幹事 0.003882(187/188)	柯文哲表示 0.003483(166/166)	
高雄市長 0.012206(557/772)	台獨黨綱 0.010799(491/491)	主席蔡英文 0.009413(427/566)	市長賴清德 0.00794(359/388)	市長陳菊 0.007368(317/884)	支持者 0.007192(336/526)	台南市長 0.006488(290/298)	總統大選 0.005828(270/460)	服貿協議 0.005125(235/822)	兩岸政策 0.004531(209/215)	
新鮮事 0.020447(697/1324)	天下新鮮 0.020183(698/1308)	復興航空 0.009652(327/668)	下午5時 0.004489(153/530)	器官捐贈 0.003843(131/131)	張志軍來 0.002787(94/268)	週四台北 0.00267(94/804)	島國前進 0.002494(86/155)	樓高 0.002435(87/112)	參賽者 0.002083(67/132)	
高收益 0.011224(485/485)	收益債 0.007614(329/329)	今天下午 0.003634(168/406)	經濟成長 0.003448(140/864)	資產配置 0.003402(148/152)	新興市場 0.003356(150/942)	投資組合 0.003217(136/156)	基金經理人 0.003194(133/824)	季經濟 0.003032(128/183)	收益債券 0.002916(125/126)	
運動中心 0.004124(135/172)	桶裝瓦斯 0.002214(74/84)	國關係 0.002032(67/174)	今天報導 0.002002(68/244)	文化大學 0.001759(55/102)	今天召開 0.001698(51/210)	國民運動 0.001698(55/73)	新技術 0.001668(53/138)	台灣產業 0.001456(51/228)	寄送 0.001274(41/72)	
大飯店 0.005556(183/448)	發言人陳以信 0.005526(192/285)	台灣經濟 0.00519(162/728)	兼發言人 0.003511(117/138)	國民黨文傳 0.003389(112/141)	副主委兼 0.002992(99/119)	記者會表示 0.002534(87/210)	北市政府 0.002504(80/188)	兩岸服貿 0.002229(71/293)	專用道 0.002107(69/181)	
